,group,variable,month,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO A. < 15,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO A. < 15,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO B. 15 A 19,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO B. 15 A 19,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO C. 20 - 34,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO C. 20 - 34,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO D. 35 - 49,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO D. 35 - 49,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO E. 50 Y +,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO E. 50 Y +,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,
ACACIO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2016-01-01,0,0,1,0,0,1,1,0,0,0,3
ACHACACHI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2016-01-01,1,0,4,0,8,1,1,1,0,0,16
ACHOCALLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2016-01-01,0,0,0,0,5,4,0,1,0,0,10
AIQUILE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2016-01-01,0,0,6,1,8,0,2,0,0,0,17
ALALAY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2016-01-01,0,0,0,0,1,0,1,0,0,0,2
ALTO BENI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2016-01-01,0,0,0,0,1,0,1,0,0,0,2
ANCORAIMES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2016-01-01,0,0,1,1,7,1,0,1,0,0,11
ANDAMARCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2016-01-01,1,0,0,0,0,0,0,1,0,0,2
ANZALDO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2016-01-01,0,0,0,0,2,0,1,0,0,0,3
APOLO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2016-01-01,0,0,1,0,4,0,1,0,0,0,6
ARANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2016-01-01,0,0,0,0,3,0,0,0,0,0,3
ARBIETO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2016-01-01,0,0,3,0,7,0,8,0,0,0,18
ARQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2016-01-01,0,0,1,0,2,0,1,0,0,0,4
ASCENCION DE GUARAYOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2016-01-01,0,0,7,0,12,0,1,0,0,0,20
ATOCHA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2016-01-01,0,0,0,0,3,0,0,0,0,0,3
AYATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2016-01-01,0,0,1,0,1,0,1,0,0,0,3
AYO AYO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2016-01-01,0,0,0,0,1,0,0,0,0,0,1
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2016-01-01,1,0,2,1,17,0,3,0,0,0,24
AZURDUY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2016-01-01,0,0,2,1,0,3,0,1,0,0,7
BATALLAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2016-01-01,0,0,1,1,4,0,0,0,0,0,6
BAURES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2016-01-01,0,0,0,0,2,0,0,0,0,0,2
BELLA FLOR,consultas prenatales,nuevas a partir del 5to mes de embarazo,2016-01-01,0,0,1,0,0,0,0,0,0,0,1
BERMEJO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2016-01-01,0,0,2,0,11,0,2,0,0,0,15
BETANZOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2016-01-01,0,0,2,0,5,1,2,2,0,0,12
BOLIVAR,consultas prenatales,nuevas a partir del 5to mes de embarazo,2016-01-01,0,0,0,0,1,0,0,1,0,0,2
BOLPEBRA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2016-01-01,0,0,0,1,0,0,0,0,0,0,1
BOYUIBE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2016-01-01,0,0,0,0,1,0,0,0,0,0,1
