,group,variable,month,MUJERES CON 4TA CONSULTA PRENATAL A. < 15,MUJERES CON 4TA CONSULTA PRENATAL A. < 15,MUJERES CON 4TA CONSULTA PRENATAL B. 15 A 19,MUJERES CON 4TA CONSULTA PRENATAL B. 15 A 19,MUJERES CON 4TA CONSULTA PRENATAL C. 20 - 34,MUJERES CON 4TA CONSULTA PRENATAL C. 20 - 34,MUJERES CON 4TA CONSULTA PRENATAL D. 35 - 49,MUJERES CON 4TA CONSULTA PRENATAL D. 35 - 49,MUJERES CON 4TA CONSULTA PRENATAL E. 50 Y +,MUJERES CON 4TA CONSULTA PRENATAL E. 50 Y +,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,
ACACIO,consultas prenatales,mujeres con 4ta consulta prenatal,2016-01-01,0,0,2,0,3,1,0,2,0,0,8
ACHACACHI,consultas prenatales,mujeres con 4ta consulta prenatal,2016-01-01,0,0,10,0,25,1,7,1,0,0,44
ACHOCALLA,consultas prenatales,mujeres con 4ta consulta prenatal,2016-01-01,0,0,2,1,4,9,4,4,0,0,24
AIQUILE,consultas prenatales,mujeres con 4ta consulta prenatal,2016-01-01,0,0,0,0,12,0,0,0,0,0,12
ALALAY,consultas prenatales,mujeres con 4ta consulta prenatal,2016-01-01,0,0,1,0,0,0,1,0,0,0,2
ALCALA,consultas prenatales,mujeres con 4ta consulta prenatal,2016-01-01,0,0,0,0,1,0,0,1,0,0,2
ALTO BENI,consultas prenatales,mujeres con 4ta consulta prenatal,2016-01-01,0,0,4,0,7,1,0,0,0,0,12
ANCORAIMES,consultas prenatales,mujeres con 4ta consulta prenatal,2016-01-01,0,0,7,0,6,1,5,0,0,0,19
ANDAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2016-01-01,0,0,0,0,1,2,1,0,0,0,4
ANTEQUERA,consultas prenatales,mujeres con 4ta consulta prenatal,2016-01-01,0,0,0,0,2,0,1,1,0,0,4
ANZALDO,consultas prenatales,mujeres con 4ta consulta prenatal,2016-01-01,0,0,0,0,1,0,1,0,0,0,2
APOLO,consultas prenatales,mujeres con 4ta consulta prenatal,2016-01-01,0,0,3,0,11,1,6,1,0,0,22
ARAMPAMPA,consultas prenatales,mujeres con 4ta consulta prenatal,2016-01-01,0,0,0,0,0,2,0,0,0,0,2
ARANI,consultas prenatales,mujeres con 4ta consulta prenatal,2016-01-01,0,0,1,0,8,0,0,0,0,0,9
ARBIETO,consultas prenatales,mujeres con 4ta consulta prenatal,2016-01-01,0,0,1,0,19,0,2,0,0,0,22
ARQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2016-01-01,0,0,0,0,6,0,3,0,0,0,9
ASCENCION DE GUARAYOS,consultas prenatales,mujeres con 4ta consulta prenatal,2016-01-01,1,0,8,0,22,0,2,0,0,0,33
ATOCHA,consultas prenatales,mujeres con 4ta consulta prenatal,2016-01-01,0,0,1,0,3,0,1,0,0,0,5
AUCAPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2016-01-01,0,0,0,0,0,0,1,0,0,0,1
AYATA,consultas prenatales,mujeres con 4ta consulta prenatal,2016-01-01,0,0,1,0,4,1,0,0,0,0,6
AYO AYO,consultas prenatales,mujeres con 4ta consulta prenatal,2016-01-01,0,0,2,0,3,0,0,0,0,0,5
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,mujeres con 4ta consulta prenatal,2016-01-01,1,0,3,0,19,0,4,0,0,0,27
AZURDUY,consultas prenatales,mujeres con 4ta consulta prenatal,2016-01-01,0,0,2,1,4,0,2,0,0,0,9
BATALLAS,consultas prenatales,mujeres con 4ta consulta prenatal,2016-01-01,0,0,2,0,17,0,4,0,0,0,23
BAURES,consultas prenatales,mujeres con 4ta consulta prenatal,2016-01-01,0,0,0,0,5,0,1,0,0,0,6
BELEN DE URMIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2016-01-01,0,0,0,0,0,1,1,0,0,0,2
BELLA FLOR,consultas prenatales,mujeres con 4ta consulta prenatal,2016-01-01,0,1,0,0,2,0,0,0,0,0,3
BERMEJO,consultas prenatales,mujeres con 4ta consulta prenatal,2016-01-01,1,0,16,0,35,0,11,0,0,0,63
BETANZOS,consultas prenatales,mujeres con 4ta consulta prenatal,2016-01-01,0,0,12,1,16,2,7,2,0,0,40
