,group,variable,month,NUEVAS ANTES DEL 5TO MES DE EMBARAZO A. < 15,NUEVAS ANTES DEL 5TO MES DE EMBARAZO A. < 15,NUEVAS ANTES DEL 5TO MES DE EMBARAZO B. 15 A 19,NUEVAS ANTES DEL 5TO MES DE EMBARAZO B. 15 A 19,NUEVAS ANTES DEL 5TO MES DE EMBARAZO C. 20 - 34,NUEVAS ANTES DEL 5TO MES DE EMBARAZO C. 20 - 34,NUEVAS ANTES DEL 5TO MES DE EMBARAZO D. 35 - 49,NUEVAS ANTES DEL 5TO MES DE EMBARAZO D. 35 - 49,NUEVAS ANTES DEL 5TO MES DE EMBARAZO E. 50 Y +,NUEVAS ANTES DEL 5TO MES DE EMBARAZO E. 50 Y +,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,
ACACIO,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,1,0,1,0,0,1,0,0,3
ACHACACHI,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,6,0,16,1,2,0,0,0,25
ACHOCALLA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,6,4,10,11,1,1,0,0,33
AIQUILE,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,7,0,16,1,7,0,0,0,31
ALALAY,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,0,0,0,0,1,0,0,0,1
ALCALA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,1,0,4,0,1,0,0,0,6
ALTO BENI,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,5,0,13,0,2,0,0,0,20
ANCORAIMES,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,1,1,5,0,1,2,0,0,10
ANDAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,2,0,1,1,0,0,0,0,4
ANTEQUERA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,0,0,2,1,0,0,0,0,3
ANZALDO,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,1,1,2,0,0,0,0,0,4
APOLO,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,5,0,22,5,2,0,0,0,34
ARAMPAMPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,0,0,0,1,4,1,0,0,6
ARANI,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,4,0,13,0,1,0,0,0,18
ARBIETO,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,5,0,9,0,4,0,0,0,18
ARQUE,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,2,0,6,0,0,0,0,0,8
ASCENCION DE GUARAYOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,10,0,18,0,2,0,0,0,30
ATOCHA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,1,0,1,0,5,0,0,0,0,0,7
AUCAPATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,0,0,0,0,1,0,0,0,1
AYATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,1,0,3,0,1,0,0,0,5
AYO AYO,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,1,0,2,0,6,0,1,0,0,0,10
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,1,0,3,0,22,0,3,0,0,0,29
AZURDUY,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,1,2,11,2,4,0,0,0,20
BATALLAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,6,1,12,1,1,0,0,0,21
BAURES,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,3,0,3,0,0,0,0,0,6
BELEN DE ANDAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,0,0,1,0,0,0,0,0,1
BELEN DE URMIRI,consultas prenatales,nuevas antes del 5to mes de embarazo,2016-01-01,0,0,0,0,1,1,0,0,0,0,2
