,group,variable,month,REPETIDAS A. < 15,REPETIDAS A. < 15,REPETIDAS B. 15 A 19,REPETIDAS B. 15 A 19,REPETIDAS C. 20 - 34,REPETIDAS C. 20 - 34,REPETIDAS D. 35 - 49,REPETIDAS D. 35 - 49,REPETIDAS E. 50 Y +,REPETIDAS E. 50 Y +,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,
ACACIO,consultas prenatales,repetidas,2016-01-01,1,0,6,0,9,5,4,2,0,0,27
ACHACACHI,consultas prenatales,repetidas,2016-01-01,1,0,40,2,101,1,18,2,0,0,165
ACHOCALLA,consultas prenatales,repetidas,2016-01-01,0,0,8,10,44,54,6,7,0,0,129
AIQUILE,consultas prenatales,repetidas,2016-01-01,1,0,55,3,146,1,39,0,0,0,245
ALALAY,consultas prenatales,repetidas,2016-01-01,1,0,2,2,2,1,2,1,0,0,11
ALCALA,consultas prenatales,repetidas,2016-01-01,0,0,6,0,7,0,0,1,0,0,14
ALTO BENI,consultas prenatales,repetidas,2016-01-01,1,0,10,1,27,2,3,0,0,0,44
ANCORAIMES,consultas prenatales,repetidas,2016-01-01,2,0,19,0,18,1,11,0,0,0,51
ANDAMARCA,consultas prenatales,repetidas,2016-01-01,0,0,0,1,3,2,2,0,0,0,8
ANTEQUERA,consultas prenatales,repetidas,2016-01-01,0,0,1,0,10,0,1,1,0,0,13
ANZALDO,consultas prenatales,repetidas,2016-01-01,0,0,1,1,4,1,1,0,0,0,8
APOLO,consultas prenatales,repetidas,2016-01-01,0,0,17,1,64,3,21,4,0,0,110
ARAMPAMPA,consultas prenatales,repetidas,2016-01-01,0,0,1,1,5,7,1,1,0,0,16
ARANI,consultas prenatales,repetidas,2016-01-01,0,0,31,1,57,0,4,0,0,0,93
ARBIETO,consultas prenatales,repetidas,2016-01-01,0,0,42,1,94,0,12,0,0,0,149
ARQUE,consultas prenatales,repetidas,2016-01-01,0,0,10,0,37,3,15,0,0,0,65
ASCENCION DE GUARAYOS,consultas prenatales,repetidas,2016-01-01,3,0,38,1,105,0,8,0,0,0,155
ATOCHA,consultas prenatales,repetidas,2016-01-01,0,0,9,0,36,0,6,0,0,0,51
AUCAPATA,consultas prenatales,repetidas,2016-01-01,0,0,2,0,5,0,1,0,0,0,8
AYATA,consultas prenatales,repetidas,2016-01-01,0,0,4,0,12,3,3,0,0,0,22
AYO AYO,consultas prenatales,repetidas,2016-01-01,0,0,11,0,27,0,6,0,0,0,44
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,repetidas,2016-01-01,1,0,29,4,80,2,24,1,0,0,141
AZURDUY,consultas prenatales,repetidas,2016-01-01,0,0,12,3,13,10,10,2,0,0,50
BATALLAS,consultas prenatales,repetidas,2016-01-01,1,0,24,1,71,0,13,0,0,0,110
BAURES,consultas prenatales,repetidas,2016-01-01,0,0,3,0,23,0,1,0,0,0,27
BELEN DE ANDAMARCA,consultas prenatales,repetidas,2016-01-01,0,0,1,0,2,1,1,1,0,0,6
BELEN DE URMIRI,consultas prenatales,repetidas,2016-01-01,0,0,0,0,1,1,1,0,0,0,3
BELLA FLOR,consultas prenatales,repetidas,2016-01-01,1,2,4,3,5,1,0,0,0,0,16
BERMEJO,consultas prenatales,repetidas,2016-01-01,3,0,59,0,199,1,47,0,0,0,309
BETANZOS,consultas prenatales,repetidas,2016-01-01,0,0,28,4,71,12,18,5,1,0,139
BOLIVAR,consultas prenatales,repetidas,2016-01-01,0,0,4,0,10,3,4,1,0,0,22
BOLPEBRA,consultas prenatales,repetidas,2016-01-01,0,0,0,0,1,0,0,0,0,0,1
BOYUIBE,consultas prenatales,repetidas,2016-01-01,0,0,2,0,4,2,2,0,0,0,10
BUENA VISTA,consultas prenatales,repetidas,2016-01-01,0,0,16,0,39,0,8,0,0,0,63
CABEZAS,consultas prenatales,repetidas,2016-01-01,3,0,28,0,100,5,12,1,0,0,149
CAIROMA,consultas prenatales,repetidas,2016-01-01,0,0,12,0,32,0,5,2,0,0,51
"CAIZA ""D""",consultas prenatales,repetidas,2016-01-01,0,0,8,2,34,7,11,0,0,0,62
CAJUATA,consultas prenatales,repetidas,2016-01-01,0,0,16,0,41,0,8,0,0,0,65
CALACOTO,consultas prenatales,repetidas,2016-01-01,1,0,3,0,7,1,3,2,0,0,17
