municipality,group,variable,month,Nº de actividades de educación en Salud Oral,TOTAL
ACHACACHI,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2011-01-01,22,22
ACHOCALLA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2011-01-01,8,8
AIQUILE,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2011-01-01,2,2
ALCALA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2011-01-01,3,3
ALTO BENI,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2011-01-01,47,47
ANCORAIMES,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2011-01-01,2,2
ANDAMARCA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2011-01-01,9,9
ANTEQUERA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2011-01-01,19,19
APOLO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2011-01-01,2,2
ARBIETO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2011-01-01,5,5
ARQUE,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2011-01-01,2,2
ATOCHA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2011-01-01,1,1
AYATA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2011-01-01,3,3
AYO AYO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2011-01-01,1,1
BATALLAS,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2011-01-01,6,6
BAURES,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2011-01-01,2,2
BELEN DE ANDAMARCA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2011-01-01,2,2
BELEN DE URMIRI,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2011-01-01,3,3
BERMEJO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2011-01-01,9,9
BETANZOS,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2011-01-01,1,1
BOLIVAR,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2011-01-01,12,12
BOYUIBE,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2011-01-01,2,2
CABEZAS,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2011-01-01,4,4
CAIROMA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2011-01-01,8,8
"CAIZA ""D""",atencion odontologica no de actividades,no de actividades de educacion en salud oral,2011-01-01,3,3
CALACOTO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2011-01-01,3,3
CALAMARCA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2011-01-01,6,6
CAMARGO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2011-01-01,2,2
CAMATAQUI (C. VILLA ABECIA),atencion odontologica no de actividades,no de actividades de educacion en salud oral,2011-01-01,2,2
CAMIRI,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2011-01-01,41,41
CAPINOTA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2011-01-01,2,2
CAQUIAVIRI,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2011-01-01,2,2
CARACOLLO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2011-01-01,22,22
CARANAVI,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2011-01-01,8,8
CARAPARI,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2011-01-01,11,11
CARIPUYO,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2011-01-01,3,3
CATACORA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2011-01-01,1,1
CHALLAPATA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2011-01-01,22,22
CHAQUI,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2011-01-01,2,2
CHARAGUA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2011-01-01,4,4
CHAYANTA,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2011-01-01,1,1
CHIMORE,atencion odontologica no de actividades,no de actividades de educacion en salud oral,2011-01-01,2,2
