municipality,group,variable,month,Pacientes referidos del establecimiento a la medicina tradicional,TOTAL
COCHABAMBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-01-01,1,1
COTAGAITA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-01-01,1,1
CUATRO CAÑADAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-01-01,1,1
EL ALTO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-01-01,1,1
PADCAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-01-01,5,5
SAN JUAN DE YAPACANI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-01-01,6,6
URIONDO (A. CONCEPCION),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-01-01,1,1
YAPACANI,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-01-01,1,1
COCHABAMBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-02-01,1,1
CUATRO CAÑADAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-02-01,1,1
LAS CARRERAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-02-01,1,1
MONTEAGUDO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-02-01,1,1
PADCAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-02-01,4,4
TARIJA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-02-01,21,21
ARBIETO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-03-01,1,1
COCHABAMBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-03-01,2,2
COTAGAITA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-03-01,1,1
CUATRO CAÑADAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-03-01,1,1
EL PUENTE(TJA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-03-01,2,2
MONTEAGUDO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2016-03-01,2,2
