municipality,group,variable,month,Pacientes referidos a otros establecimientos,TOTAL
ACACIO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2016-01-01,4,4
ACHACACHI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2016-01-01,40,40
ACHOCALLA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2016-01-01,35,35
AIQUILE,refencias y contrareferencias,pacientes referidos a otros establecimientos,2016-01-01,52,52
ALALAY,refencias y contrareferencias,pacientes referidos a otros establecimientos,2016-01-01,2,2
ALCALA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2016-01-01,5,5
ANCORAIMES,refencias y contrareferencias,pacientes referidos a otros establecimientos,2016-01-01,1,1
ANDAMARCA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2016-01-01,1,1
APOLO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2016-01-01,13,13
ARAMPAMPA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2016-01-01,1,1
ARBIETO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2016-01-01,39,39
ARQUE,refencias y contrareferencias,pacientes referidos a otros establecimientos,2016-01-01,11,11
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes referidos a otros establecimientos,2016-01-01,21,21
ATOCHA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2016-01-01,84,84
AUCAPATA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2016-01-01,1,1
AYATA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2016-01-01,3,3
AYO AYO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2016-01-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),refencias y contrareferencias,pacientes referidos a otros establecimientos,2016-01-01,15,15
AZURDUY,refencias y contrareferencias,pacientes referidos a otros establecimientos,2016-01-01,6,6
BATALLAS,refencias y contrareferencias,pacientes referidos a otros establecimientos,2016-01-01,65,65
BAURES,refencias y contrareferencias,pacientes referidos a otros establecimientos,2016-01-01,2,2
BELEN DE ANDAMARCA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2016-01-01,2,2
BELEN DE URMIRI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2016-01-01,2,2
BELLA FLOR,refencias y contrareferencias,pacientes referidos a otros establecimientos,2016-01-01,3,3
BERMEJO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2016-01-01,50,50
BETANZOS,refencias y contrareferencias,pacientes referidos a otros establecimientos,2016-01-01,45,45
BOLIVAR,refencias y contrareferencias,pacientes referidos a otros establecimientos,2016-01-01,4,4
BOLPEBRA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2016-01-01,3,3
BOYUIBE,refencias y contrareferencias,pacientes referidos a otros establecimientos,2016-01-01,6,6
BUENA VISTA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2016-01-01,28,28
CABEZAS,refencias y contrareferencias,pacientes referidos a otros establecimientos,2016-01-01,54,54
CAIROMA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2016-01-01,2,2
"CAIZA ""D""",refencias y contrareferencias,pacientes referidos a otros establecimientos,2016-01-01,25,25
CAJUATA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2016-01-01,8,8
CALACOTO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2016-01-01,12,12
