municipality,group,variable,month,Pacientes derivados de la comunidad o medicina tradicional,TOTAL
BUENA VISTA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2016-01-01,2,2
CABEZAS,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2016-01-01,1,1
CAMARGO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2016-01-01,3,3
COCHABAMBA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2016-01-01,1,1
CUATRO CAÑADAS,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2016-01-01,1,1
EL ALTO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2016-01-01,1,1
HUACAYA (VILLA DE HUACAYA),refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2016-01-01,10,10
ORURO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2016-01-01,5,5
PADCAYA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2016-01-01,1,1
PUERTO VILLARROEL,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2016-01-01,1,1
SAN ANTONIO DE LOMERIO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2016-01-01,3,3
SAN JULIAN,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2016-01-01,20,20
SAN RAFAEL,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2016-01-01,1,1
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2016-01-01,24,24
TARABUCO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2016-01-01,10,10
TARVITA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2016-01-01,2,2
TUPIZA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2016-01-01,2,2
VALLEGRANDE,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2016-01-01,2,2
VILLA CHARCAS,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2016-01-01,8,8
YAMPARAEZ,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2016-01-01,5,5
ZUDAÑEZ,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2016-01-01,7,7
CONCEPCION,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2016-02-01,1,1
CUATRO CAÑADAS,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2016-02-01,2,2
