municipality,group,variable,month,Pacientes referidos recibidos por el establecimiento,TOTAL
ACHACACHI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2016-01-01,15,15
AIQUILE,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2016-01-01,1,1
ALTO BENI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2016-01-01,3,3
ANTEQUERA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2016-01-01,3,3
APOLO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2016-01-01,1,1
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2016-01-01,23,23
ATOCHA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2016-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2016-01-01,1,1
BERMEJO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2016-01-01,3,3
BETANZOS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2016-01-01,23,23
CABEZAS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2016-01-01,11,11
CAIROMA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2016-01-01,3,3
CALACOTO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2016-01-01,8,8
CAMARGO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2016-01-01,38,38
CAMATAQUI (C. VILLA ABECIA),refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2016-01-01,1,1
CAMIRI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2016-01-01,98,98
CAQUIAVIRI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2016-01-01,1,1
CARANAVI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2016-01-01,70,70
CARAPARI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2016-01-01,1,1
CARMEN RIVERO TORREZ,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2016-01-01,6,6
CHALLAPATA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2016-01-01,1,1
CHARAÑA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2016-01-01,1,1
CHAYANTA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2016-01-01,5,5
CHIMORE,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2016-01-01,4,4
CHULUMANI (V. DE LA LIBERTAD),refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2016-01-01,52,52
CHUQUIHUTA AYLLU JUCUMANI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2016-01-01,2,2
