municipality,group,variable,month,Pacientes contrareferidos al establecimiento,TOTAL
ALCALA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,1,1
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,20,20
ATOCHA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,2,2
CABEZAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,1,1
CAPINOTA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,1,1
CHALLAPATA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,4,4
CHAQUI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,1,1
CHULUMANI (V. DE LA LIBERTAD),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,6,6
CLIZA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,5,5
COBIJA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,8,8
COCHABAMBA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,10,10
COLOMI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,1,1
COMARAPA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,3,3
COTAGAITA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,1,1
COTOCA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,5,5
CUATRO CAÑADAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,2,2
EL ALTO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,6,6
EL TORNO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,1,1
GENERAL SAAVEDRA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,1,1
GUAYARAMERIN,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,3,3
GUTIERREZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,3,3
ICLA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,1,1
INCAHUASI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,1,1
IRUPANA (VILLA DE LANZA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,1,1
LA PAZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,269,269
LAGUNILLAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,1,1
MACHACAMARCA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,1,1
MAIRANA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,5,5
MOJOCOYA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,2,2
MONTEAGUDO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,1,1
MONTERO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,7,7
ORURO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,194,194
PADCAYA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,2,2
PADILLA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,44,44
PAILON,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,5,5
POOPO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,1,1
PORTACHUELO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,10,10
POSTRER VALLE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,1,1
PRESTO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,3,3
PUERTO VILLARROEL,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,8,8
RAVELO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,1,1
RIBERALTA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,1,1
ROBORE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,19,19
RURRENABAQUE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,80,80
SACABAMBA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,1,1
SAN BORJA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,1,1
SAN BUENA VENTURA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,2,2
SAN CARLOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,14,14
SAN IGNACIO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,1,1
SAN IGNACIO DE VELASCO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,24,24
SAN JUAN DE YAPACANI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,1,1
SAN LUCAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,1,1
SAN MIGUEL DE VELASCO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,1,1
SAN PEDRO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,1,1
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,149,149
SOPACHUY,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,4,4
SUCRE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,13,13
TARABUCO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,4,4
TARIJA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,19,19
TARVITA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,8,8
TOMINA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,3,3
TRINIDAD,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,5,5
TUPIZA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,19,19
URIONDO (A. CONCEPCION),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,1,1
VALLEGRANDE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,2,2
VILLA CHARCAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,2,2
VILLA MONTES,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,2,2
VILLA TUNARI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,2,2
VILLAZON,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,3,3
YACUIBA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,1,1
ZUDAÑEZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-01-01,4,4
ALCALA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-02-01,1,1
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-02-01,19,19
ATOCHA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-02-01,4,4
AZURDUY,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-02-01,1,1
BERMEJO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-02-01,9,9
BUENA VISTA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-02-01,2,2
CAMIRI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-02-01,2,2
CAPINOTA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-02-01,2,2
CHALLAPATA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-02-01,2,2
CHARAGUA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-02-01,1,1
CHULUMANI (V. DE LA LIBERTAD),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-02-01,4,4
CLIZA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-02-01,7,7
COBIJA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-02-01,3,3
COCHABAMBA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-02-01,12,12
COTAGAITA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-02-01,3,3
COTOCA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-02-01,11,11
CUATRO CAÑADAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-02-01,1,1
EL ALTO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-02-01,6,6
EL TORNO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-02-01,3,3
EL VILLAR,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-02-01,1,1
ENTRE RIOS CBBA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-02-01,1,1
GUAYARAMERIN,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2016-02-01,72,72
