municipality,group,variable,month,PCD referidas a Unidades de Calificación de Discapacidad.,TOTAL
COCHABAMBA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-01-01,1,1
CUATRO CAÑADAS,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-01-01,1,1
DESAGUADERO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-01-01,1,1
EL ALTO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-01-01,11,11
EL TORNO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-01-01,4,4
HUANUNI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-01-01,1,1
ICHOCA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-01-01,1,1
LA PAZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-01-01,65,65
LAJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-01-01,2,2
ORURO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-01-01,3,3
QUILLACOLLO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-01-01,8,8
SAN BUENA VENTURA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-01-01,2,2
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-01-01,13,13
SUCRE,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-01-01,3,3
TARACO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-01-01,2,2
TARIJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-01-01,85,85
TRINIDAD,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-01-01,84,84
TUPIZA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-01-01,5,5
UNCIA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-01-01,3,3
CARMEN RIVERO TORREZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-02-01,1,1
COLCAPIRHUA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-02-01,1,1
CUATRO CAÑADAS,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-02-01,1,1
EL ALTO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-02-01,42,42
EL TORNO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-02-01,1,1
HUANUNI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-02-01,4,4
LA PAZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-02-01,8,8
OCURI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-02-01,1,1
ORURO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-02-01,1,1
PAMPA GRANDE,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-02-01,2,2
QUILLACOLLO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-02-01,1,1
SUCRE,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-02-01,3,3
TARIJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-02-01,200,200
TOLATA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-02-01,1,1
TRINIDAD,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-02-01,1,1
TUPIZA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-02-01,17,17
VILLA NUEVA (LOMA ALTA),refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-02-01,7,7
BETANZOS,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-03-01,1,1
COCHABAMBA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-03-01,2,2
CUATRO CAÑADAS,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-03-01,1,1
CULPINA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-03-01,13,13
EL ALTO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-03-01,1,1
HUACARETA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-03-01,1,1
HUANUNI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-03-01,15,15
LA PAZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-03-01,6,6
QUILLACOLLO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-03-01,2,2
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-03-01,9,9
SUCRE,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-03-01,5,5
TACOBAMBA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-03-01,1,1
TARIJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-03-01,10,10
TRINIDAD,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-03-01,10,10
TUPIZA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-03-01,15,15
UNCIA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-03-01,3,3
ASCENCION DE GUARAYOS,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-04-01,2,2
BERMEJO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-04-01,1,1
CARANAVI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-04-01,1,1
CHULUMANI (V. DE LA LIBERTAD),refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-04-01,1,1
COCHABAMBA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-04-01,1,1
EL ALTO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-04-01,35,35
ENTRE RIOS TRJ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-04-01,1,1
HUANUNI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-04-01,11,11
LA PAZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-04-01,7,7
ORURO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-04-01,1,1
POCONA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-04-01,1,1
QUILLACOLLO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-04-01,8,8
SAN BUENA VENTURA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-04-01,1,1
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-04-01,21,21
SUCRE,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-04-01,7,7
TARIJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-04-01,2,2
TRINIDAD,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-04-01,8,8
TUPIZA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-04-01,6,6
ACHOCALLA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-05-01,1,1
AZURDUY,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-05-01,1,1
CARANAVI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-05-01,12,12
CHAYANTA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-05-01,1,1
COCHABAMBA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-05-01,1,1
EL ALTO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-05-01,4,4
FERNANDEZ ALONSO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-05-01,1,1
HUANUNI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-05-01,1,1
LA PAZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-05-01,100,100
LAGUNILLAS,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-05-01,1,1
LAJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-05-01,2,2
QUILLACOLLO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-05-01,1,1
SAN BUENA VENTURA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-05-01,1,1
SAN LUCAS,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-05-01,1,1
TOMINA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-05-01,2,2
TRINIDAD,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-05-01,3,3
TUPIZA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-05-01,18,18
VIACHA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-05-01,1,1
YACUIBA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-05-01,1,1
CAMARGO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-06-01,1,1
CAPINOTA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-06-01,1,1
CARANAVI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2016-06-01,36,36
