municipality,group,variable,month,PCD referidos a Servicios/Centros de Rehabilitación,TOTAL
MONTERO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-01-01,7,7
SAN BORJA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-01-01,10,10
TARIJA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-01-01,4,4
EL ALTO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-02-01,1,1
LA PAZ,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-02-01,2,2
LLALLAGUA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-02-01,1,1
MONTEAGUDO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-02-01,1,1
MONTERO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-02-01,2,2
SAN BORJA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-02-01,13,13
TARIJA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-02-01,5,5
TEOPONTE,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-02-01,1,1
YACUIBA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-02-01,1,1
ATOCHA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-03-01,6,6
CUATRO CAÑADAS,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-03-01,1,1
LA PAZ,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-03-01,1,1
LLALLAGUA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-03-01,1,1
MONTERO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-03-01,4,4
POTOSI,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-03-01,1,1
SAN BORJA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-03-01,9,9
SAN LORENZO(TJA),refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-03-01,1,1
SUCRE,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-03-01,1,1
TARIJA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-03-01,8,8
BERMEJO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-04-01,1,1
EL ALTO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-04-01,1,1
MONTERO,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-04-01,1,1
SAN BORJA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-04-01,7,7
TARIJA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-04-01,9,9
CALAMARCA,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-05-01,2,2
LA PAZ,refencias y contrareferencias,pcd referidos a servicios/centros de rehabilitacion,2022-05-01,3,3
