municipality,group,variable,month,Pacientes referidos del establecimiento a la medicina tradicional,TOTAL
EL ALTO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-01-01,2,2
EL PUENTE(TJA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-01-01,1,1
ICLA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-01-01,3,3
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-01-01,7,7
SAN JULIAN,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-01-01,3,3
TOTORA(ORR),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-01-01,9,9
COCHABAMBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-02-01,1,1
COMARAPA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-02-01,12,12
MONTEAGUDO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-02-01,4,4
PADCAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-02-01,1,1
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-02-01,4,4
RIBERALTA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-02-01,3,3
SAN JULIAN,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-02-01,2,2
SUCRE,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-02-01,1,1
TIRAQUE (CBBA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-02-01,1,1
TOTORA(ORR),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-02-01,9,9
URIONDO (A. CONCEPCION),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-02-01,1,1
VILLA MONTES,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-02-01,1,1
COCHABAMBA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-03-01,1,1
COMARAPA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-03-01,1,1
EL ALTO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-03-01,1,1
EL PUENTE(TJA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-03-01,1,1
ICLA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-03-01,1,1
MONTEAGUDO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-03-01,1,1
PADCAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-03-01,3,3
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-03-01,4,4
SAN JULIAN,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2022-03-01,1,1
