municipality,group,variable,month,Pacientes referidos recibidos por el establecimiento,TOTAL
ACHACACHI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,140,140
ACHOCALLA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,1,1
AIQUILE,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,9,9
ANZALDO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,1,1
APOLO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,9,9
ARAMPAMPA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,1,1
ARANI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,3,3
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,34,34
ATOCHA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,2,2
AZURDUY,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,1,1
BATALLAS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,1,1
BERMEJO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,866,866
BOYUIBE,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,2,2
BUENA VISTA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,1,1
CABEZAS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,22,22
"CAIZA ""D""",refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,1,1
CAMARGO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,65,65
CAMIRI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,197,197
CAPINOTA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,46,46
CARANAVI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,13,13
CARAPARI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,9,9
CARMEN RIVERO TORREZ,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,1,1
CHALLAPATA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,7,7
CHARAGUA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,12,12
CHARAÑA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,1,1
CHIMORE,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,6,6
CHULUMANI (V. DE LA LIBERTAD),refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,8,8
CHUMA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,1,1
CLIZA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,75,75
COBIJA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,12,12
COCAPATA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,2,2
COCHABAMBA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,4584,4584
COLCAPIRHUA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,97,97
COLOMI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,2,2
COMARAPA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,26,26
CONCEPCION,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,2,2
COROICO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,123,123
COTAGAITA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,3,3
COTOCA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,37,37
CUATRO CAÑADAS,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,9,9
CUEVO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,4,4
CULPINA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,8,8
DESAGUADERO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,2,2
EL ALTO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,1837,1837
EL CHORO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,1,1
EL TORNO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,179,179
EL VILLAR,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,6,6
ENTRE RIOS TRJ,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,4,4
ENTRE RIOS CBBA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,65,65
ESCOMA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,1,1
FERNANDEZ ALONSO,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,7,7
GENERAL SAAVEDRA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,8,8
GRAL. J.J. PEREZ (CHARAZANI),refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,1,1
GUANAY,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,7,7
GUAYARAMERIN,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,51,51
GUTIERREZ,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,5,5
HUACARETA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,3,3
HUANUNI,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,4,4
HUARINA,refencias y contrareferencias,pacientes referidos recibidos por el establecimiento,2022-01-01,1,1
