municipality,group,variable,month,PCD referidas a Unidades de Calificación de Discapacidad.,TOTAL
ASCENCION DE GUARAYOS,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-01-01,2,2
CARANAVI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-01-01,4,4
COCHABAMBA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-01-01,9,9
COTAGAITA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-01-01,1,1
EL ALTO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-01-01,11,11
GUAYARAMERIN,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-01-01,1,1
LA PAZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-01-01,3,3
LAGUNILLAS,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-01-01,1,1
MONTERO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-01-01,1,1
ORURO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-01-01,1,1
POTOSI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-01-01,3,3
RIBERALTA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-01-01,1,1
SAN BORJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-01-01,3,3
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-01-01,6,6
SUCRE,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-01-01,7,7
TARIJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-01-01,7,7
TRINIDAD,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-01-01,1,1
UYUNI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-01-01,5,5
ZUDAÑEZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-01-01,1,1
ASCENCION DE GUARAYOS,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-02-01,2,2
CARANAVI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-02-01,8,8
CARMEN RIVERO TORREZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-02-01,3,3
COCHABAMBA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-02-01,3,3
CORO CORO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-02-01,1,1
EL ALTO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-02-01,12,12
LA PAZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-02-01,3,3
MONTERO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-02-01,3,3
POTOSI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-02-01,2,2
RIBERALTA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-02-01,1,1
SACABA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-02-01,1,1
SAN BORJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-02-01,2,2
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-02-01,1,1
SUCRE,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-02-01,6,6
TARIJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-02-01,2,2
TRINIDAD,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-02-01,2,2
VILLA VACA GUZMAN (MUYUPAMPA),refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-02-01,49,49
YOCALLA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-02-01,1,1
ASCENCION DE GUARAYOS,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-03-01,2,2
BERMEJO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-03-01,1,1
CARANAVI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-03-01,7,7
COCHABAMBA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-03-01,20,20
CUATRO CAÑADAS,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-03-01,12,12
EL ALTO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-03-01,14,14
EL PUENTE(TJA),refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-03-01,1,1
ENTRE RIOS TRJ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-03-01,1,1
LA PAZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-03-01,27,27
MONTERO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-03-01,3,3
POROMA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-03-01,1,1
POTOSI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-03-01,2,2
PUNA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-03-01,1,1
SACABA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-03-01,1,1
SAN BORJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-03-01,2,2
SAN LUCAS,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-03-01,1,1
SUCRE,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-03-01,10,10
TARIJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-03-01,4,4
TARVITA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-03-01,6,6
TRINIDAD,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-03-01,3,3
VILLA TUNARI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-03-01,2,2
YAMPARAEZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-03-01,1,1
ZUDAÑEZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-03-01,3,3
ANZALDO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-04-01,2,2
BETANZOS,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-04-01,1,1
CARANAVI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-04-01,8,8
COCHABAMBA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-04-01,12,12
EL ALTO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-04-01,8,8
EL PUENTE(TJA),refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-04-01,2,2
ENTRE RIOS TRJ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-04-01,1,1
JESUS DE MACHACA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-04-01,1,1
LA PAZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-04-01,3,3
MONTERO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-04-01,2,2
PALCA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-04-01,4,4
POTOSI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-04-01,1,1
RIBERALTA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-04-01,1,1
SACABA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-04-01,1,1
SAN BORJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-04-01,3,3
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-04-01,1,1
SUCRE,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-04-01,4,4
TARABUCO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-04-01,1,1
TARIJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-04-01,12,12
TARVITA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-04-01,18,18
TOMINA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-04-01,2,2
TRINIDAD,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-04-01,6,6
ZUDAÑEZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2022-04-01,2,2
