municipality,group,variable,month,Pacientes referidos a otros establecimientos,TOTAL
ACACIO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,1,1
ACHACACHI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,74,74
ACHOCALLA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,1,1
AIQUILE,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,47,47
ALCALA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,39,39
ALTO BENI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,3,3
ANCORAIMES,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,4,4
ANTEQUERA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,1,1
ANZALDO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,10,10
APOLO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,32,32
ARAMPAMPA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,2,2
ARANI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,33,33
ARBIETO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,13,13
ARQUE,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,3,3
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,22,22
ATOCHA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,182,182
AUCAPATA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,3,3
AYATA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,3,3
AYO AYO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,10,10
AYOPAYA (V. DE INDEPENDENCIA),refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,58,58
AZURDUY,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,14,14
BATALLAS,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,29,29
BAURES,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,4,4
BELLA FLOR,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,12,12
BERMEJO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,732,732
BETANZOS,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,70,70
BOLIVAR,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,4,4
BOLPEBRA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,5,5
BOYUIBE,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,9,9
BUENA VISTA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,43,43
CABEZAS,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,38,38
CAIROMA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,2,2
"CAIZA ""D""",refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,10,10
CAJUATA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,21,21
CALACOTO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,4,4
CALAMARCA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,20,20
CAMARGO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,39,39
CAMATAQUI (C. VILLA ABECIA),refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,20,20
CAMIRI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,160,160
CAPINOTA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,94,94
CAQUIAVIRI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,12,12
CARACOLLO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,21,21
CARANAVI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,71,71
CARAPARI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,103,103
CARMEN RIVERO TORREZ,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,18,18
CATACORA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,2,2
CHALLAPATA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,75,75
CHAQUI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,10,10
CHARAGUA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,34,34
CHAYANTA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,5,5
CHIMORE,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,101,101
CHIPAYA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,5,5
CHOQUE COTA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,2,2
CHUA COCANI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,6,6
CHULUMANI (V. DE LA LIBERTAD),refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,36,36
CHUMA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,2,2
CHUQUIHUTA AYLLU JUCUMANI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,4,4
CKOCHAS,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,9,9
CLIZA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,104,104
COBIJA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,438,438
COCAPATA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,2,2
COCHABAMBA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,4253,4253
COLCAPIRHUA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,182,182
"COLCHA ""K""",refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,5,5
COLLANA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,1,1
COLOMI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,48,48
COLPA BELGICA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,34,34
COLQUECHACA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,14,14
COLQUENCHA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,7,7
COLQUIRI,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,15,15
COMARAPA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,52,52
COMBAYA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,1,1
CONCEPCION,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,15,15
COPACABANA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,21,21
CORIPATA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,33,33
CORO CORO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,12,12
COROICO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,112,112
CORQUE,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,8,8
COTAGAITA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,100,100
COTOCA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,234,234
CUATRO CAÑADAS,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,27,27
CUCHUMUELA (V. G. VILLARROEL),refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,4,4
CUEVO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,5,5
CULPINA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,37,37
CURAHUARA DE CARANGAS,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,3,3
CURVA,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,1,1
DESAGUADERO,refencias y contrareferencias,pacientes referidos a otros establecimientos,2022-01-01,7,7
