municipality,group,variable,month,Pacientes derivados de la comunidad o medicina tradicional,TOTAL
AZURDUY,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-01-01,10,10
BERMEJO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-01-01,1,1
CAMATAQUI (C. VILLA ABECIA),refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-01-01,2,2
COMARAPA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-01-01,1,1
CULPINA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-01-01,7,7
EL VILLAR,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-01-01,2,2
HUACARETA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-01-01,5,5
ICLA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-01-01,2,2
MONTEAGUDO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-01-01,15,15
PADCAYA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-01-01,2,2
POROMA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-01-01,1,1
PRESTO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-01-01,3,3
SAN JULIAN,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-01-01,2,2
SAN RAFAEL,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-01-01,1,1
SOPACHUY,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-01-01,9,9
SUCRE,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-01-01,8,8
TARABUCO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-01-01,1,1
TARIJA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-01-01,1,1
TARVITA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-01-01,34,34
TOMINA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-01-01,3,3
VILLA CHARCAS,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-01-01,7,7
VILLA SERRANO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-01-01,2,2
YAMPARAEZ,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-01-01,6,6
YUNCHARA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-01-01,1,1
ZUDAÑEZ,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-01-01,6,6
AZURDUY,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-02-01,27,27
CAMARGO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-02-01,1,1
CAMATAQUI (C. VILLA ABECIA),refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-02-01,2,2
EL VILLAR,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-02-01,6,6
HUACARETA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-02-01,5,5
ICLA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-02-01,1,1
MACHARETI,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-02-01,2,2
MOJOCOYA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-02-01,11,11
MONTEAGUDO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-02-01,15,15
PADCAYA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-02-01,1,1
POROMA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-02-01,2,2
PRESTO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-02-01,3,3
RIBERALTA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-02-01,1,1
SAN LUCAS,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-02-01,2,2
SUCRE,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-02-01,9,9
TARABUCO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-02-01,1,1
TARVITA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-02-01,17,17
TOMINA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-02-01,1,1
VILLA CHARCAS,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-02-01,4,4
VILLA MONTES,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-02-01,2,2
VILLA SERRANO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-02-01,16,16
YACUIBA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-02-01,1,1
YAMPARAEZ,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-02-01,9,9
ZUDAÑEZ,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-02-01,2,2
ALCALA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-03-01,3,3
AZURDUY,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-03-01,16,16
BERMEJO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-03-01,1,1
BUENA VISTA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-03-01,1,1
CAMARGO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-03-01,1,1
CAMATAQUI (C. VILLA ABECIA),refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-03-01,4,4
COTOCA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-03-01,1,1
EL ALTO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-03-01,2,2
EL PUENTE(TJA),refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-03-01,1,1
EL VILLAR,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-03-01,4,4
HUACARETA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-03-01,4,4
ICLA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-03-01,4,4
INCAHUASI,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-03-01,3,3
MOJOCOYA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-03-01,11,11
MONTEAGUDO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-03-01,9,9
PADCAYA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-03-01,1,1
POROMA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-03-01,5,5
PRESTO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-03-01,5,5
SAN JUAN DE YAPACANI,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-03-01,1,1
SAN LUCAS,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-03-01,10,10
SUCRE,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-03-01,6,6
TARABUCO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-03-01,1,1
TARIJA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-03-01,4,4
TARVITA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-03-01,14,14
TIQUIPAYA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-03-01,1,1
TOMINA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-03-01,4,4
URIONDO (A. CONCEPCION),refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-03-01,1,1
VILLA CHARCAS,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-03-01,4,4
VILLA MONTES,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-03-01,1,1
VILLA SERRANO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-03-01,2,2
YAMPARAEZ,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-03-01,7,7
YOTALA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-03-01,2,2
ZUDAÑEZ,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-03-01,3,3
AZURDUY,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-04-01,20,20
CAMARGO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-04-01,2,2
CAMATAQUI (C. VILLA ABECIA),refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-04-01,5,5
CAMIRI,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-04-01,1,1
EL VILLAR,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-04-01,3,3
HUACARETA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-04-01,10,10
ICLA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-04-01,10,10
MOJOCOYA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-04-01,13,13
MONTEAGUDO,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-04-01,11,11
PADCAYA,refencias y contrareferencias,pacientes derivados de la comunidad o medicina tradicional,2022-04-01,1,1
