municipality,group,variable,month,Pacientes contrareferidos al establecimiento,TOTAL
ACHACACHI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2022-01-01,2,2
AIQUILE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2022-01-01,3,3
ALCALA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2022-01-01,5,5
ARBIETO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2022-01-01,1,1
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2022-01-01,22,22
ATOCHA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2022-01-01,6,6
AZURDUY,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2022-01-01,1,1
BERMEJO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2022-01-01,3,3
CAMATAQUI (C. VILLA ABECIA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2022-01-01,1,1
CAMIRI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2022-01-01,127,127
CAPINOTA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2022-01-01,1,1
CARAPARI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2022-01-01,1,1
CHARAGUA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2022-01-01,2,2
CHIMORE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2022-01-01,4,4
CKOCHAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2022-01-01,1,1
COBIJA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2022-01-01,59,59
COCHABAMBA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2022-01-01,295,295
COLCAPIRHUA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2022-01-01,1,1
COMARAPA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2022-01-01,3,3
CONCEPCION,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2022-01-01,1,1
COROICO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2022-01-01,4,4
COTAGAITA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2022-01-01,5,5
COTOCA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2022-01-01,18,18
CULPINA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2022-01-01,2,2
CURAHUARA DE CARANGAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2022-01-01,1,1
EL ALTO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2022-01-01,135,135
