,group,variable,month,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO A. < 15,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO A. < 15,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO B. 15 A 19,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO B. 15 A 19,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO C. 20 - 34,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO C. 20 - 34,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO D. 35 - 49,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO D. 35 - 49,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO E. 50 Y +,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO E. 50 Y +,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,
ACHACACHI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2023-01-01,0,0,0,0,11,1,2,0,0,0,14
ACHOCALLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2023-01-01,0,0,4,0,3,0,2,0,0,0,9
AIQUILE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2023-01-01,0,0,0,0,0,0,1,0,0,0,1
ALALAY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2023-01-01,0,0,0,0,1,0,1,0,0,0,2
ALTO BENI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2023-01-01,0,0,1,0,1,0,0,0,0,0,2
ANCORAIMES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2023-01-01,0,0,1,0,2,0,1,0,0,0,4
ANDAMARCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2023-01-01,0,0,0,0,0,0,1,0,0,0,1
ANTEQUERA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2023-01-01,0,0,0,0,1,0,0,0,0,0,1
ANZALDO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2023-01-01,0,0,1,0,0,0,0,1,0,0,2
APOLO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2023-01-01,0,0,5,1,7,0,0,0,0,0,13
ARANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2023-01-01,0,0,0,0,3,2,1,0,0,0,6
ARBIETO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2023-01-01,0,0,0,0,4,1,1,1,0,0,7
ARQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2023-01-01,1,0,2,0,0,0,0,0,0,0,3
ASCENCION DE GUARAYOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2023-01-01,2,0,5,0,11,0,1,0,0,0,19
ATOCHA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2023-01-01,0,0,0,0,17,0,6,0,0,0,23
AUCAPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2023-01-01,0,0,0,0,1,0,0,0,0,0,1
AYATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2023-01-01,0,0,1,0,2,0,0,0,0,0,3
AYO AYO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2023-01-01,0,0,0,0,2,0,0,0,0,0,2
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2023-01-01,0,0,4,0,6,0,0,0,0,0,10
BATALLAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2023-01-01,1,0,1,0,1,0,1,0,0,0,4
BELEN DE ANDAMARCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2023-01-01,0,0,0,0,1,0,0,0,0,0,1
BERMEJO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2023-01-01,0,0,1,0,8,1,1,0,0,0,11
BETANZOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2023-01-01,0,0,2,0,2,0,2,0,0,0,6
BOLIVAR,consultas prenatales,nuevas a partir del 5to mes de embarazo,2023-01-01,0,0,0,0,1,0,2,0,0,0,3
BOLPEBRA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2023-01-01,0,0,0,0,0,0,0,1,0,0,1
BOYUIBE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2023-01-01,0,0,2,0,2,0,0,0,0,0,4
BUENA VISTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2023-01-01,0,0,0,0,0,0,1,0,0,0,1
