,group,variable,month,MUJERES CON 4TA CONSULTA PRENATAL A. < 15,MUJERES CON 4TA CONSULTA PRENATAL A. < 15,MUJERES CON 4TA CONSULTA PRENATAL B. 15 A 19,MUJERES CON 4TA CONSULTA PRENATAL B. 15 A 19,MUJERES CON 4TA CONSULTA PRENATAL C. 20 - 34,MUJERES CON 4TA CONSULTA PRENATAL C. 20 - 34,MUJERES CON 4TA CONSULTA PRENATAL D. 35 - 49,MUJERES CON 4TA CONSULTA PRENATAL D. 35 - 49,MUJERES CON 4TA CONSULTA PRENATAL E. 50 Y +,MUJERES CON 4TA CONSULTA PRENATAL E. 50 Y +,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,
ACACIO,consultas prenatales,mujeres con 4ta consulta prenatal,2023-01-01,0,0,1,0,0,0,0,0,0,0,1
ACHACACHI,consultas prenatales,mujeres con 4ta consulta prenatal,2023-01-01,0,0,2,0,23,1,4,0,0,0,30
ACHOCALLA,consultas prenatales,mujeres con 4ta consulta prenatal,2023-01-01,0,0,3,0,24,2,5,0,0,0,34
AIQUILE,consultas prenatales,mujeres con 4ta consulta prenatal,2023-01-01,0,0,4,0,14,1,3,0,0,0,22
ALALAY,consultas prenatales,mujeres con 4ta consulta prenatal,2023-01-01,0,0,1,0,2,0,0,0,0,0,3
ALCALA,consultas prenatales,mujeres con 4ta consulta prenatal,2023-01-01,0,0,0,0,3,0,0,0,0,0,3
ALTO BENI,consultas prenatales,mujeres con 4ta consulta prenatal,2023-01-01,0,0,0,0,2,0,2,0,0,0,4
ANCORAIMES,consultas prenatales,mujeres con 4ta consulta prenatal,2023-01-01,0,0,0,0,4,0,1,0,0,0,5
ANTEQUERA,consultas prenatales,mujeres con 4ta consulta prenatal,2023-01-01,0,0,0,0,2,0,0,0,0,0,2
ANZALDO,consultas prenatales,mujeres con 4ta consulta prenatal,2023-01-01,0,0,1,0,1,0,0,0,0,0,2
APOLO,consultas prenatales,mujeres con 4ta consulta prenatal,2023-01-01,0,0,3,0,10,0,3,0,0,0,16
ARAMPAMPA,consultas prenatales,mujeres con 4ta consulta prenatal,2023-01-01,0,0,1,0,0,0,0,1,0,0,2
ARANI,consultas prenatales,mujeres con 4ta consulta prenatal,2023-01-01,0,0,2,0,10,0,2,0,0,0,14
ARBIETO,consultas prenatales,mujeres con 4ta consulta prenatal,2023-01-01,0,0,3,0,14,0,4,0,0,0,21
ARQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2023-01-01,0,0,1,0,4,0,1,0,0,0,6
ASCENCION DE GUARAYOS,consultas prenatales,mujeres con 4ta consulta prenatal,2023-01-01,2,0,15,0,22,0,8,0,0,0,47
ATOCHA,consultas prenatales,mujeres con 4ta consulta prenatal,2023-01-01,0,0,4,0,17,0,2,0,0,0,23
AUCAPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2023-01-01,0,0,1,0,3,0,0,0,0,0,4
AYATA,consultas prenatales,mujeres con 4ta consulta prenatal,2023-01-01,0,0,0,0,3,0,0,0,0,0,3
AYO AYO,consultas prenatales,mujeres con 4ta consulta prenatal,2023-01-01,0,0,0,0,3,0,1,0,0,0,4
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,mujeres con 4ta consulta prenatal,2023-01-01,0,0,6,0,9,0,2,0,0,0,17
AZURDUY,consultas prenatales,mujeres con 4ta consulta prenatal,2023-01-01,0,0,3,2,1,0,0,1,0,1,8
BATALLAS,consultas prenatales,mujeres con 4ta consulta prenatal,2023-01-01,0,0,3,0,16,5,2,0,0,0,26
BAURES,consultas prenatales,mujeres con 4ta consulta prenatal,2023-01-01,0,0,0,0,4,0,0,0,0,0,4
BELEN DE ANDAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2023-01-01,0,0,0,0,1,1,1,0,0,0,3
BELLA FLOR,consultas prenatales,mujeres con 4ta consulta prenatal,2023-01-01,0,0,0,0,2,0,0,0,0,0,2
BERMEJO,consultas prenatales,mujeres con 4ta consulta prenatal,2023-01-01,0,0,1,0,19,0,10,0,0,0,30
BETANZOS,consultas prenatales,mujeres con 4ta consulta prenatal,2023-01-01,0,0,5,3,20,4,4,0,0,0,36
BOLIVAR,consultas prenatales,mujeres con 4ta consulta prenatal,2023-01-01,0,0,2,1,3,0,0,0,0,0,6
