,group,variable,month,REPETIDAS A. < 15,REPETIDAS A. < 15,REPETIDAS B. 15 A 19,REPETIDAS B. 15 A 19,REPETIDAS C. 20 - 34,REPETIDAS C. 20 - 34,REPETIDAS D. 35 - 49,REPETIDAS D. 35 - 49,REPETIDAS E. 50 Y +,REPETIDAS E. 50 Y +,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,
ACACIO,consultas prenatales,repetidas,2023-01-01,0,0,3,0,2,0,1,0,0,0,6
ACHACACHI,consultas prenatales,repetidas,2023-01-01,1,0,18,1,120,5,17,0,0,0,162
ACHOCALLA,consultas prenatales,repetidas,2023-01-01,0,0,14,0,140,2,20,0,0,0,176
AIQUILE,consultas prenatales,repetidas,2023-01-01,0,0,13,0,74,1,17,1,0,0,106
ALALAY,consultas prenatales,repetidas,2023-01-01,0,0,3,0,3,0,0,0,0,0,6
ALCALA,consultas prenatales,repetidas,2023-01-01,0,0,2,0,8,0,3,0,0,0,13
ALTO BENI,consultas prenatales,repetidas,2023-01-01,1,1,6,0,29,0,2,0,0,0,39
ANCORAIMES,consultas prenatales,repetidas,2023-01-01,0,0,4,0,16,0,3,0,0,0,23
ANDAMARCA,consultas prenatales,repetidas,2023-01-01,0,0,2,0,9,1,2,0,0,0,14
ANTEQUERA,consultas prenatales,repetidas,2023-01-01,0,0,1,0,10,0,0,0,0,0,11
ANZALDO,consultas prenatales,repetidas,2023-01-01,0,0,4,1,12,0,4,0,0,0,21
APOLO,consultas prenatales,repetidas,2023-01-01,2,0,22,0,57,3,26,0,0,0,110
ARAMPAMPA,consultas prenatales,repetidas,2023-01-01,0,0,2,0,1,2,0,2,0,0,7
ARANI,consultas prenatales,repetidas,2023-01-01,0,0,3,0,20,0,4,0,0,0,27
ARBIETO,consultas prenatales,repetidas,2023-01-01,0,0,11,0,88,1,18,0,0,0,118
ARQUE,consultas prenatales,repetidas,2023-01-01,0,0,8,1,27,3,6,0,0,0,45
ASCENCION DE GUARAYOS,consultas prenatales,repetidas,2023-01-01,4,0,48,0,128,0,27,0,0,0,207
ATOCHA,consultas prenatales,repetidas,2023-01-01,1,0,7,0,59,0,11,0,0,0,78
AUCAPATA,consultas prenatales,repetidas,2023-01-01,1,0,4,0,9,0,0,0,0,0,14
AYATA,consultas prenatales,repetidas,2023-01-01,0,0,6,0,19,3,2,0,0,0,30
AYO AYO,consultas prenatales,repetidas,2023-01-01,0,0,4,1,28,1,5,0,0,0,39
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,repetidas,2023-01-01,0,0,18,0,44,0,13,2,0,0,77
AZURDUY,consultas prenatales,repetidas,2023-01-01,1,0,7,3,22,3,4,3,0,1,44
BATALLAS,consultas prenatales,repetidas,2023-01-01,0,0,8,1,52,5,9,0,0,0,75
BAURES,consultas prenatales,repetidas,2023-01-01,0,0,2,0,9,0,1,0,0,0,12
BELEN DE ANDAMARCA,consultas prenatales,repetidas,2023-01-01,0,0,0,0,1,4,1,0,0,0,6
BELEN DE URMIRI,consultas prenatales,repetidas,2023-01-01,0,0,0,0,0,0,0,1,0,0,1
BELLA FLOR,consultas prenatales,repetidas,2023-01-01,0,0,0,0,11,0,1,0,0,0,12
BERMEJO,consultas prenatales,repetidas,2023-01-01,0,0,18,0,146,0,38,1,1,0,204
BETANZOS,consultas prenatales,repetidas,2023-01-01,1,0,27,3,89,10,20,4,0,0,154
BOLIVAR,consultas prenatales,repetidas,2023-01-01,1,0,6,1,13,1,1,0,0,0,23
BOLPEBRA,consultas prenatales,repetidas,2023-01-01,0,0,4,1,3,1,0,0,0,0,9
BOYUIBE,consultas prenatales,repetidas,2023-01-01,0,0,5,0,21,1,2,1,0,0,30
BUENA VISTA,consultas prenatales,repetidas,2023-01-01,0,0,13,0,54,0,12,0,0,0,79
CABEZAS,consultas prenatales,repetidas,2023-01-01,0,0,18,7,77,7,12,0,0,0,121
CAIROMA,consultas prenatales,repetidas,2023-01-01,0,0,3,0,46,7,5,0,0,0,61
"CAIZA ""D""",consultas prenatales,repetidas,2023-01-01,0,0,7,0,33,2,3,0,0,0,45
CAJUATA,consultas prenatales,repetidas,2023-01-01,1,0,4,1,45,0,7,0,0,0,58
CALACOTO,consultas prenatales,repetidas,2023-01-01,0,0,0,1,3,2,0,2,0,0,8
