,group,variable,month,NUEVAS ANTES DEL 5TO MES DE EMBARAZO A. < 15,NUEVAS ANTES DEL 5TO MES DE EMBARAZO A. < 15,NUEVAS ANTES DEL 5TO MES DE EMBARAZO B. 15 A 19,NUEVAS ANTES DEL 5TO MES DE EMBARAZO B. 15 A 19,NUEVAS ANTES DEL 5TO MES DE EMBARAZO C. 20 - 34,NUEVAS ANTES DEL 5TO MES DE EMBARAZO C. 20 - 34,NUEVAS ANTES DEL 5TO MES DE EMBARAZO D. 35 - 49,NUEVAS ANTES DEL 5TO MES DE EMBARAZO D. 35 - 49,NUEVAS ANTES DEL 5TO MES DE EMBARAZO E. 50 Y +,NUEVAS ANTES DEL 5TO MES DE EMBARAZO E. 50 Y +,TOTALES
,,,,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,DENTRO,FUERA,TOTAL
municipality,,,,,,,,,,,,,,
ACACIO,consultas prenatales,nuevas antes del 5to mes de embarazo,2023-01-01,0,0,1,0,0,0,0,0,0,0,1
ACHACACHI,consultas prenatales,nuevas antes del 5to mes de embarazo,2023-01-01,0,0,9,0,27,1,8,0,0,0,45
ACHOCALLA,consultas prenatales,nuevas antes del 5to mes de embarazo,2023-01-01,0,0,6,0,33,0,2,0,0,0,41
AIQUILE,consultas prenatales,nuevas antes del 5to mes de embarazo,2023-01-01,1,0,2,0,13,0,5,0,0,0,21
ALALAY,consultas prenatales,nuevas antes del 5to mes de embarazo,2023-01-01,0,0,0,0,1,0,0,0,0,0,1
ALCALA,consultas prenatales,nuevas antes del 5to mes de embarazo,2023-01-01,0,0,0,0,2,0,0,0,0,0,2
ALTO BENI,consultas prenatales,nuevas antes del 5to mes de embarazo,2023-01-01,0,0,2,0,7,0,1,0,0,0,10
ANCORAIMES,consultas prenatales,nuevas antes del 5to mes de embarazo,2023-01-01,0,0,3,0,6,0,0,0,0,0,9
ANDAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2023-01-01,0,0,0,1,1,0,0,0,0,0,2
ANTEQUERA,consultas prenatales,nuevas antes del 5to mes de embarazo,2023-01-01,0,0,0,0,1,0,1,0,0,0,2
ANZALDO,consultas prenatales,nuevas antes del 5to mes de embarazo,2023-01-01,0,0,0,0,3,0,1,0,0,0,4
APOLO,consultas prenatales,nuevas antes del 5to mes de embarazo,2023-01-01,0,0,5,0,14,0,3,0,0,0,22
ARAMPAMPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2023-01-01,0,0,0,1,0,0,0,0,0,0,1
ARANI,consultas prenatales,nuevas antes del 5to mes de embarazo,2023-01-01,0,0,0,0,11,0,1,0,0,0,12
ARBIETO,consultas prenatales,nuevas antes del 5to mes de embarazo,2023-01-01,0,0,7,0,16,1,2,1,0,0,27
ARQUE,consultas prenatales,nuevas antes del 5to mes de embarazo,2023-01-01,0,0,0,0,6,0,4,0,0,0,10
ASCENCION DE GUARAYOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2023-01-01,1,0,7,0,21,0,4,0,0,0,33
ATOCHA,consultas prenatales,nuevas antes del 5to mes de embarazo,2023-01-01,0,0,0,0,21,0,7,0,0,0,28
AUCAPATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2023-01-01,1,0,1,0,2,0,1,0,0,0,5
AYATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2023-01-01,0,0,0,0,5,0,0,0,0,0,5
AYO AYO,consultas prenatales,nuevas antes del 5to mes de embarazo,2023-01-01,0,0,2,0,8,0,0,0,0,0,10
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,nuevas antes del 5to mes de embarazo,2023-01-01,0,0,6,0,15,1,3,0,0,0,25
AZURDUY,consultas prenatales,nuevas antes del 5to mes de embarazo,2023-01-01,0,0,2,0,7,0,1,1,0,0,11
BATALLAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2023-01-01,0,0,6,3,10,2,2,1,0,0,24
BAURES,consultas prenatales,nuevas antes del 5to mes de embarazo,2023-01-01,0,0,0,0,4,0,0,0,0,0,4
BELEN DE ANDAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2023-01-01,0,0,1,0,1,0,0,0,0,0,2
BELEN DE URMIRI,consultas prenatales,nuevas antes del 5to mes de embarazo,2023-01-01,0,0,0,0,0,1,0,0,0,0,1
