,group,variable,month,ANTIPOLIOMIELÍTICA 2DA DOSIS DENTRO,ANTIPOLIOMIELÍTICA 2DA DOSIS DENTRO,ANTIPOLIOMIELÍTICA 2DA DOSIS FUERA,ANTIPOLIOMIELÍTICA 2DA DOSIS FUERA,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2022-01-01,0,1,1,0,2
ACHACACHI,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2022-01-01,10,14,3,6,33
ACHOCALLA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2022-01-01,18,12,0,0,30
AIQUILE,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2022-01-01,5,8,2,5,20
ALALAY,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2022-01-01,0,1,1,0,2
ALCALA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2022-01-01,0,0,1,0,1
ALTO BENI,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2022-01-01,3,3,0,0,6
ANCORAIMES,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2022-01-01,6,5,3,0,14
ANDAMARCA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2022-01-01,0,1,1,0,2
ANTEQUERA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2022-01-01,0,0,1,0,1
ANZALDO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2022-01-01,5,2,2,1,10
APOLO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2022-01-01,13,6,5,5,29
ARAMPAMPA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2022-01-01,1,1,0,0,2
ARANI,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2022-01-01,4,7,0,0,11
ARBIETO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2022-01-01,19,14,2,0,35
ARQUE,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2022-01-01,7,7,3,0,17
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2022-01-01,23,24,0,0,47
ATOCHA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2022-01-01,4,9,0,1,14
AUCAPATA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2022-01-01,2,1,0,0,3
AYATA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2022-01-01,3,0,4,0,7
AYO AYO,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2022-01-01,2,1,0,2,5
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2022-01-01,7,10,5,6,28
AZURDUY,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2022-01-01,9,5,1,2,17
BATALLAS,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2022-01-01,10,13,0,1,24
BAURES,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2022-01-01,4,1,0,0,5
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2022-01-01,0,0,1,0,1
BELEN DE URMIRI,vacunaciones en menores de 1 ano,antipoliomielitica 2da dosis,2022-01-01,0,0,1,0,1
