,group,variable,month,BCG DENTRO,BCG DENTRO,BCG FUERA,BCG FUERA,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,bcg,2022-01-01,2,1,1,3,7
ACHACACHI,vacunaciones en menores de 1 ano,bcg,2022-01-01,35,18,5,6,64
ACHOCALLA,vacunaciones en menores de 1 ano,bcg,2022-01-01,12,14,0,1,27
AIQUILE,vacunaciones en menores de 1 ano,bcg,2022-01-01,15,8,1,1,25
ALALAY,vacunaciones en menores de 1 ano,bcg,2022-01-01,0,0,2,2,4
ALTO BENI,vacunaciones en menores de 1 ano,bcg,2022-01-01,5,4,1,1,11
ANCORAIMES,vacunaciones en menores de 1 ano,bcg,2022-01-01,2,3,4,5,14
ANDAMARCA,vacunaciones en menores de 1 ano,bcg,2022-01-01,0,0,0,2,2
ANTEQUERA,vacunaciones en menores de 1 ano,bcg,2022-01-01,0,1,0,0,1
ANZALDO,vacunaciones en menores de 1 ano,bcg,2022-01-01,5,4,0,0,9
APOLO,vacunaciones en menores de 1 ano,bcg,2022-01-01,10,11,3,2,26
ARAMPAMPA,vacunaciones en menores de 1 ano,bcg,2022-01-01,2,2,3,0,7
ARANI,vacunaciones en menores de 1 ano,bcg,2022-01-01,4,5,0,0,9
ARBIETO,vacunaciones en menores de 1 ano,bcg,2022-01-01,14,9,0,0,23
ARQUE,vacunaciones en menores de 1 ano,bcg,2022-01-01,1,6,3,1,11
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,bcg,2022-01-01,19,38,0,0,57
ATOCHA,vacunaciones en menores de 1 ano,bcg,2022-01-01,3,5,0,0,8
AUCAPATA,vacunaciones en menores de 1 ano,bcg,2022-01-01,2,0,1,2,5
AYATA,vacunaciones en menores de 1 ano,bcg,2022-01-01,2,2,4,2,10
AYO AYO,vacunaciones en menores de 1 ano,bcg,2022-01-01,2,0,4,3,9
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,bcg,2022-01-01,9,9,4,8,30
AZURDUY,vacunaciones en menores de 1 ano,bcg,2022-01-01,2,4,3,2,11
BATALLAS,vacunaciones en menores de 1 ano,bcg,2022-01-01,3,6,4,4,17
BAURES,vacunaciones en menores de 1 ano,bcg,2022-01-01,2,3,0,0,5
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,bcg,2022-01-01,0,0,0,1,1
BELEN DE URMIRI,vacunaciones en menores de 1 ano,bcg,2022-01-01,0,1,0,0,1
BELLA FLOR,vacunaciones en menores de 1 ano,bcg,2022-01-01,0,1,0,0,1
BERMEJO,vacunaciones en menores de 1 ano,bcg,2022-01-01,20,19,0,0,39
BETANZOS,vacunaciones en menores de 1 ano,bcg,2022-01-01,15,7,4,7,33
BOLIVAR,vacunaciones en menores de 1 ano,bcg,2022-01-01,1,1,2,0,4
BOYUIBE,vacunaciones en menores de 1 ano,bcg,2022-01-01,2,0,0,0,2
BUENA VISTA,vacunaciones en menores de 1 ano,bcg,2022-01-01,6,7,0,0,13
CABEZAS,vacunaciones en menores de 1 ano,bcg,2022-01-01,7,9,9,9,34
CAIROMA,vacunaciones en menores de 1 ano,bcg,2022-01-01,4,1,1,3,9
"CAIZA ""D""",vacunaciones en menores de 1 ano,bcg,2022-01-01,2,3,1,7,13
