,group,variable,month,PENTAVALENTE 1RA DOSIS DENTRO,PENTAVALENTE 1RA DOSIS DENTRO,PENTAVALENTE 1RA DOSIS FUERA,PENTAVALENTE 1RA DOSIS FUERA,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2022-01-01,1,1,0,3,5
ACHACACHI,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2022-01-01,15,20,1,3,39
ACHOCALLA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2022-01-01,22,19,0,0,41
AIQUILE,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2022-01-01,6,5,5,4,20
ALCALA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2022-01-01,2,0,1,0,3
ALTO BENI,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2022-01-01,5,5,0,0,10
ANCORAIMES,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2022-01-01,5,5,0,1,11
ANDAMARCA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2022-01-01,2,0,0,1,3
ANTEQUERA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2022-01-01,0,0,1,1,2
ANZALDO,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2022-01-01,4,2,1,2,9
APOLO,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2022-01-01,10,11,3,3,27
ARAMPAMPA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2022-01-01,1,1,1,4,7
ARANI,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2022-01-01,7,2,0,0,9
ARBIETO,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2022-01-01,17,8,0,0,25
ARQUE,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2022-01-01,4,10,1,0,15
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2022-01-01,30,30,0,0,60
ATOCHA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2022-01-01,4,4,0,1,9
AUCAPATA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2022-01-01,2,1,0,0,3
AYATA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2022-01-01,3,2,0,0,5
AYO AYO,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2022-01-01,3,3,0,0,6
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2022-01-01,12,10,3,9,34
AZURDUY,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2022-01-01,3,4,4,0,11
BATALLAS,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2022-01-01,13,10,0,1,24
BAURES,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2022-01-01,3,2,1,1,7
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2022-01-01,0,0,1,1,2
BELEN DE URMIRI,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2022-01-01,0,1,2,0,3
BELLA FLOR,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2022-01-01,3,2,4,1,10
BERMEJO,vacunaciones en menores de 1 ano,pentavalente 1ra dosis,2022-01-01,18,20,0,0,38
