,group,variable,month,ANTINEUMOCÓCICA 3RA DOSIS DENTRO,ANTINEUMOCÓCICA 3RA DOSIS DENTRO,ANTINEUMOCÓCICA 3RA DOSIS FUERA,ANTINEUMOCÓCICA 3RA DOSIS FUERA,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,0,2,0,0,2
ACHACACHI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,16,15,2,1,34
ACHOCALLA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,15,6,0,0,21
AIQUILE,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,1,4,4,6,15
ALCALA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,0,0,1,0,1
ALTO BENI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,3,9,0,0,12
ANCORAIMES,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,3,3,0,2,8
ANDAMARCA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,1,1,2,3,7
ANTEQUERA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,1,1,0,0,2
ANZALDO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,4,6,1,0,11
APOLO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,10,6,3,1,20
ARAMPAMPA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,3,0,0,0,3
ARANI,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,4,6,0,0,10
ARBIETO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,11,15,1,0,27
ARQUE,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,6,4,2,0,12
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,27,12,0,0,39
ATOCHA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,4,7,1,0,12
AUCAPATA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,2,2,0,0,4
AYATA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,1,2,0,1,4
AYO AYO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,3,2,0,0,5
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,4,9,4,10,27
AZURDUY,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,2,4,2,3,11
BATALLAS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,6,16,1,0,23
BAURES,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,4,1,0,0,5
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,0,2,1,0,3
BELLA FLOR,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,1,1,2,0,4
BERMEJO,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,18,15,0,0,33
BETANZOS,vacunaciones en menores de 1 ano,antineumococica 3ra dosis,2022-01-01,17,11,7,5,40
