,group,variable,month,INGRESOS REFERIDOS DE OTROS ESTABLECIMIENTOS DE SALUD CANTIDAD,INGRESOS REFERIDOS DE OTROS ESTABLECIMIENTOS DE SALUD CANTIDAD,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,
ACHACACHI,internaciones,ingresos referidos de otros establecimientos de salud,2012-01-01,2,7,2,7,9
AIQUILE,internaciones,ingresos referidos de otros establecimientos de salud,2012-01-01,1,1,1,1,2
ANDAMARCA,internaciones,ingresos referidos de otros establecimientos de salud,2012-01-01,0,1,0,1,1
ARANI,internaciones,ingresos referidos de otros establecimientos de salud,2012-01-01,0,5,0,5,5
ASCENCION DE GUARAYOS,internaciones,ingresos referidos de otros establecimientos de salud,2012-01-01,3,16,3,16,19
ATOCHA,internaciones,ingresos referidos de otros establecimientos de salud,2012-01-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),internaciones,ingresos referidos de otros establecimientos de salud,2012-01-01,2,6,2,6,8
AZURDUY,internaciones,ingresos referidos de otros establecimientos de salud,2012-01-01,1,3,1,3,4
BERMEJO,internaciones,ingresos referidos de otros establecimientos de salud,2012-01-01,2,7,2,7,9
CABEZAS,internaciones,ingresos referidos de otros establecimientos de salud,2012-01-01,2,0,2,0,2
CAMIRI,internaciones,ingresos referidos de otros establecimientos de salud,2012-01-01,8,19,8,19,27
CARACOLLO,internaciones,ingresos referidos de otros establecimientos de salud,2012-01-01,0,2,0,2,2
CARANAVI,internaciones,ingresos referidos de otros establecimientos de salud,2012-01-01,7,18,7,18,25
CHALLAPATA,internaciones,ingresos referidos de otros establecimientos de salud,2012-01-01,1,2,1,2,3
CHARAGUA,internaciones,ingresos referidos de otros establecimientos de salud,2012-01-01,0,3,0,3,3
CHIPAYA,internaciones,ingresos referidos de otros establecimientos de salud,2012-01-01,0,2,0,2,2
CHULUMANI (V. DE LA LIBERTAD),internaciones,ingresos referidos de otros establecimientos de salud,2012-01-01,0,5,0,5,5
COBIJA,internaciones,ingresos referidos de otros establecimientos de salud,2012-01-01,15,89,15,89,104
COCHABAMBA,internaciones,ingresos referidos de otros establecimientos de salud,2012-01-01,14,285,14,285,299
COMARAPA,internaciones,ingresos referidos de otros establecimientos de salud,2012-01-01,1,4,1,4,5
CONCEPCION,internaciones,ingresos referidos de otros establecimientos de salud,2012-01-01,4,5,4,5,9
COROICO,internaciones,ingresos referidos de otros establecimientos de salud,2012-01-01,2,5,2,5,7
COTAGAITA,internaciones,ingresos referidos de otros establecimientos de salud,2012-01-01,1,3,1,3,4
COTOCA,internaciones,ingresos referidos de otros establecimientos de salud,2012-01-01,3,3,3,3,6
CUEVO,internaciones,ingresos referidos de otros establecimientos de salud,2012-01-01,1,1,1,1,2
CULPINA,internaciones,ingresos referidos de otros establecimientos de salud,2012-01-01,2,3,2,3,5
EL ALTO,internaciones,ingresos referidos de otros establecimientos de salud,2012-01-01,41,173,41,173,214
EL TORNO,internaciones,ingresos referidos de otros establecimientos de salud,2012-01-01,0,8,0,8,8
ENTRE RIOS TRJ,internaciones,ingresos referidos de otros establecimientos de salud,2012-01-01,0,1,0,1,1
ESCOMA,internaciones,ingresos referidos de otros establecimientos de salud,2012-01-01,1,0,1,0,1
FERNANDEZ ALONSO,internaciones,ingresos referidos de otros establecimientos de salud,2012-01-01,8,1,8,1,9
GUAYARAMERIN,internaciones,ingresos referidos de otros establecimientos de salud,2012-01-01,1,25,1,25,26
GUTIERREZ,internaciones,ingresos referidos de otros establecimientos de salud,2012-01-01,0,2,0,2,2
HUACARETA,internaciones,ingresos referidos de otros establecimientos de salud,2012-01-01,1,0,1,0,1
HUACHACALLA,internaciones,ingresos referidos de otros establecimientos de salud,2012-01-01,1,1,1,1,2
ICLA,internaciones,ingresos referidos de otros establecimientos de salud,2012-01-01,2,4,2,4,6
IRUPANA (VILLA DE LANZA),internaciones,ingresos referidos de otros establecimientos de salud,2012-01-01,2,0,2,0,2
JESUS DE MACHACA,internaciones,ingresos referidos de otros establecimientos de salud,2012-01-01,0,4,0,4,4
LA GUARDIA,internaciones,ingresos referidos de otros establecimientos de salud,2012-01-01,1,0,1,0,1
