,group,variable,month,TOTAL 23.1 TRATAMIENTOS DE LEISHMANIA CUTÁNEA INICIADO,TOTAL 23.1 TRATAMIENTOS DE LEISHMANIA CUTÁNEA INICIADO,TOTAL 23.1 TRATAMIENTOS DE LEISHMANIA CUTÁNEA CONCLUIDO,TOTAL 23.1 TRATAMIENTOS DE LEISHMANIA CUTÁNEA CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ALTO BENI,leishmaniasis,      tratamientos de leishmania cutanea,2014-01-01,1,0,1,1,2,1,3
CARANAVI,leishmaniasis,      tratamientos de leishmania cutanea,2014-01-01,3,0,0,0,3,0,3
CHIMORE,leishmaniasis,      tratamientos de leishmania cutanea,2014-01-01,0,2,1,1,1,3,4
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,      tratamientos de leishmania cutanea,2014-01-01,1,2,0,0,1,2,3
COBIJA,leishmaniasis,      tratamientos de leishmania cutanea,2014-01-01,1,0,0,0,1,0,1
COCAPATA,leishmaniasis,      tratamientos de leishmania cutanea,2014-01-01,1,0,0,0,1,0,1
COCHABAMBA,leishmaniasis,      tratamientos de leishmania cutanea,2014-01-01,0,0,0,1,0,1,1
EL ALTO,leishmaniasis,      tratamientos de leishmania cutanea,2014-01-01,0,2,0,2,0,4,4
EL TORNO,leishmaniasis,      tratamientos de leishmania cutanea,2014-01-01,19,0,7,0,26,0,26
ENTRE RIOS CBBA,leishmaniasis,      tratamientos de leishmania cutanea,2014-01-01,0,0,2,0,2,0,2
FILADELFIA,leishmaniasis,      tratamientos de leishmania cutanea,2014-01-01,2,0,1,1,3,1,4
GUANAY,leishmaniasis,      tratamientos de leishmania cutanea,2014-01-01,1,0,0,0,1,0,1
GUAYARAMERIN,leishmaniasis,      tratamientos de leishmania cutanea,2014-01-01,5,0,5,0,10,0,10
IRUPANA (VILLA DE LANZA),leishmaniasis,      tratamientos de leishmania cutanea,2014-01-01,2,3,2,3,4,6,10
IXIAMAS,leishmaniasis,      tratamientos de leishmania cutanea,2014-01-01,10,8,15,3,25,11,36
LA ASUNTA,leishmaniasis,      tratamientos de leishmania cutanea,2014-01-01,4,1,11,12,15,13,28
