,group,variable,month,TOTAL 23.3 TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TOTAL 23.3 TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TOTAL 23.3 TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TOTAL 23.3 TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO.1,FEMENINO.1,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
APOLO,leishmaniasis,      tratamientos de leishmania mucosa y cutanea,2014-01-01,1,0,0,0,1,0,1
GUAYARAMERIN,leishmaniasis,      tratamientos de leishmania mucosa y cutanea,2014-01-01,1,0,0,0,1,0,1
SAN BORJA,leishmaniasis,      tratamientos de leishmania mucosa y cutanea,2014-01-01,0,0,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,leishmaniasis,      tratamientos de leishmania mucosa y cutanea,2014-01-01,0,0,0,0,0,0,0
TEOPONTE,leishmaniasis,      tratamientos de leishmania mucosa y cutanea,2014-01-01,0,1,0,0,0,1,1
SAN BORJA,leishmaniasis,      tratamientos de leishmania mucosa y cutanea,2014-02-01,0,0,1,0,1,0,1
TEOPONTE,leishmaniasis,      tratamientos de leishmania mucosa y cutanea,2014-02-01,0,0,1,0,1,0,1
BUENA VISTA,leishmaniasis,      tratamientos de leishmania mucosa y cutanea,2014-03-01,0,1,0,0,0,1,1
EL TORNO,leishmaniasis,      tratamientos de leishmania mucosa y cutanea,2014-03-01,6,0,0,0,6,0,6
PUERTO VILLARROEL,leishmaniasis,      tratamientos de leishmania mucosa y cutanea,2014-03-01,1,0,0,0,1,0,1
COCHABAMBA,leishmaniasis,      tratamientos de leishmania mucosa y cutanea,2014-04-01,1,0,0,0,1,0,1
EL TORNO,leishmaniasis,      tratamientos de leishmania mucosa y cutanea,2014-04-01,1,0,0,0,1,0,1
GUAYARAMERIN,leishmaniasis,      tratamientos de leishmania mucosa y cutanea,2014-04-01,2,0,0,0,2,0,2
PUERTO VILLARROEL,leishmaniasis,      tratamientos de leishmania mucosa y cutanea,2014-04-01,0,0,1,0,1,0,1
SACABA,leishmaniasis,      tratamientos de leishmania mucosa y cutanea,2014-04-01,0,1,0,0,0,1,1
APOLO,leishmaniasis,      tratamientos de leishmania mucosa y cutanea,2014-05-01,0,1,0,0,0,1,1
COBIJA,leishmaniasis,      tratamientos de leishmania mucosa y cutanea,2014-05-01,0,1,0,0,0,1,1
COCHABAMBA,leishmaniasis,      tratamientos de leishmania mucosa y cutanea,2014-05-01,0,0,2,0,2,0,2
EL TORNO,leishmaniasis,      tratamientos de leishmania mucosa y cutanea,2014-05-01,1,0,0,0,1,0,1
RIBERALTA,leishmaniasis,      tratamientos de leishmania mucosa y cutanea,2014-05-01,4,2,0,0,4,2,6
APOLO,leishmaniasis,      tratamientos de leishmania mucosa y cutanea,2014-06-01,0,0,0,1,0,1,1
EL TORNO,leishmaniasis,      tratamientos de leishmania mucosa y cutanea,2014-06-01,1,0,0,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,      tratamientos de leishmania mucosa y cutanea,2014-06-01,0,0,1,0,1,0,1
SACABA,leishmaniasis,      tratamientos de leishmania mucosa y cutanea,2014-06-01,0,0,0,1,0,1,1
SAN BORJA,leishmaniasis,      tratamientos de leishmania mucosa y cutanea,2014-06-01,1,0,0,0,1,0,1
FILADELFIA,leishmaniasis,      tratamientos de leishmania mucosa y cutanea,2014-07-01,1,0,0,0,1,0,1
GUAYARAMERIN,leishmaniasis,      tratamientos de leishmania mucosa y cutanea,2014-07-01,0,0,1,0,1,0,1
LA ASUNTA,leishmaniasis,      tratamientos de leishmania mucosa y cutanea,2014-07-01,1,1,0,0,1,1,2
SAN BORJA,leishmaniasis,      tratamientos de leishmania mucosa y cutanea,2014-07-01,0,0,1,0,1,0,1
SANTA ANA,leishmaniasis,      tratamientos de leishmania mucosa y cutanea,2014-07-01,1,0,1,0,2,0,2
SENA,leishmaniasis,      tratamientos de leishmania mucosa y cutanea,2014-07-01,1,0,0,0,1,0,1
YAMPARAEZ,leishmaniasis,      tratamientos de leishmania mucosa y cutanea,2014-07-01,0,1,0,0,0,1,1
BERMEJO,leishmaniasis,      tratamientos de leishmania mucosa y cutanea,2014-08-01,1,0,0,0,1,0,1
CHIMORE,leishmaniasis,      tratamientos de leishmania mucosa y cutanea,2014-08-01,0,1,0,0,0,1,1
EL TORNO,leishmaniasis,      tratamientos de leishmania mucosa y cutanea,2014-08-01,4,0,2,0,6,0,6
FILADELFIA,leishmaniasis,      tratamientos de leishmania mucosa y cutanea,2014-08-01,1,0,0,0,1,0,1
MAGDALENA,leishmaniasis,      tratamientos de leishmania mucosa y cutanea,2014-08-01,1,0,0,0,1,0,1
SAN LORENZO(PND),leishmaniasis,      tratamientos de leishmania mucosa y cutanea,2014-08-01,0,1,0,0,0,1,1
SENA,leishmaniasis,      tratamientos de leishmania mucosa y cutanea,2014-08-01,0,0,1,0,1,0,1
VILLA TUNARI,leishmaniasis,      tratamientos de leishmania mucosa y cutanea,2014-08-01,0,0,1,0,1,0,1
BELLA FLOR,leishmaniasis,      tratamientos de leishmania mucosa y cutanea,2014-09-01,1,0,0,0,1,0,1
