,group,variable,month,TOTAL 23.2 TRATAMIENTOS DE LEISHMANIA MUCOSA INICIADO,TOTAL 23.2 TRATAMIENTOS DE LEISHMANIA MUCOSA INICIADO,TOTAL 23.2 TRATAMIENTOS DE LEISHMANIA MUCOSA CONCLUIDO,TOTAL 23.2 TRATAMIENTOS DE LEISHMANIA MUCOSA CONCLUIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
COROICO,leishmaniasis,      tratamientos de leishmania mucosa,2014-01-01,0,1,0,0,0,1,1
EL TORNO,leishmaniasis,      tratamientos de leishmania mucosa,2014-01-01,1,0,2,0,3,0,3
FILADELFIA,leishmaniasis,      tratamientos de leishmania mucosa,2014-01-01,0,1,1,0,1,1,2
GUAYARAMERIN,leishmaniasis,      tratamientos de leishmania mucosa,2014-01-01,0,1,0,0,0,1,1
IRUPANA (VILLA DE LANZA),leishmaniasis,      tratamientos de leishmania mucosa,2014-01-01,0,0,0,1,0,1,1
IXIAMAS,leishmaniasis,      tratamientos de leishmania mucosa,2014-01-01,0,0,1,0,1,0,1
LA ASUNTA,leishmaniasis,      tratamientos de leishmania mucosa,2014-01-01,2,0,1,0,3,0,3
PUERTO RICO,leishmaniasis,      tratamientos de leishmania mucosa,2014-01-01,0,2,0,0,0,2,2
SAN BUENA VENTURA,leishmaniasis,      tratamientos de leishmania mucosa,2014-01-01,0,0,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,leishmaniasis,      tratamientos de leishmania mucosa,2014-01-01,0,0,0,0,0,0,0
VILLA TUNARI,leishmaniasis,      tratamientos de leishmania mucosa,2014-01-01,1,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,      tratamientos de leishmania mucosa,2014-02-01,0,0,2,0,2,0,2
COBIJA,leishmaniasis,      tratamientos de leishmania mucosa,2014-02-01,1,0,0,0,1,0,1
COCHABAMBA,leishmaniasis,      tratamientos de leishmania mucosa,2014-02-01,0,0,0,1,0,1,1
COROICO,leishmaniasis,      tratamientos de leishmania mucosa,2014-02-01,0,2,0,0,0,2,2
EL TORNO,leishmaniasis,      tratamientos de leishmania mucosa,2014-02-01,0,0,2,0,2,0,2
