,group,variable,month,BCG DENTRO,BCG DENTRO,BCG FUERA,BCG FUERA,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,bcg,2020-01-01,0,1,0,1,2
ACHACACHI,vacunaciones en menores de 1 ano,bcg,2020-01-01,10,16,8,12,46
ACHOCALLA,vacunaciones en menores de 1 ano,bcg,2020-01-01,9,9,3,7,28
AIQUILE,vacunaciones en menores de 1 ano,bcg,2020-01-01,18,13,1,1,33
ALCALA,vacunaciones en menores de 1 ano,bcg,2020-01-01,0,1,0,0,1
ALTO BENI,vacunaciones en menores de 1 ano,bcg,2020-01-01,2,4,1,0,7
ANCORAIMES,vacunaciones en menores de 1 ano,bcg,2020-01-01,2,2,0,3,7
ANDAMARCA,vacunaciones en menores de 1 ano,bcg,2020-01-01,2,0,3,0,5
ANTEQUERA,vacunaciones en menores de 1 ano,bcg,2020-01-01,0,0,0,2,2
ANZALDO,vacunaciones en menores de 1 ano,bcg,2020-01-01,1,1,2,1,5
APOLO,vacunaciones en menores de 1 ano,bcg,2020-01-01,11,14,0,4,29
ARAMPAMPA,vacunaciones en menores de 1 ano,bcg,2020-01-01,0,1,2,1,4
ARANI,vacunaciones en menores de 1 ano,bcg,2020-01-01,2,5,0,1,8
ARBIETO,vacunaciones en menores de 1 ano,bcg,2020-01-01,5,7,2,3,17
ARQUE,vacunaciones en menores de 1 ano,bcg,2020-01-01,1,2,3,3,9
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,bcg,2020-01-01,26,35,0,0,61
ATOCHA,vacunaciones en menores de 1 ano,bcg,2020-01-01,11,5,0,1,17
AUCAPATA,vacunaciones en menores de 1 ano,bcg,2020-01-01,0,1,2,3,6
AYATA,vacunaciones en menores de 1 ano,bcg,2020-01-01,4,2,2,2,10
AYO AYO,vacunaciones en menores de 1 ano,bcg,2020-01-01,1,3,3,6,13
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,bcg,2020-01-01,11,9,7,14,41
AZURDUY,vacunaciones en menores de 1 ano,bcg,2020-01-01,3,3,1,0,7
BATALLAS,vacunaciones en menores de 1 ano,bcg,2020-01-01,4,4,7,4,19
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,bcg,2020-01-01,0,0,0,1,1
BELLA FLOR,vacunaciones en menores de 1 ano,bcg,2020-01-01,1,0,0,1,2
BERMEJO,vacunaciones en menores de 1 ano,bcg,2020-01-01,30,31,0,0,61
BETANZOS,vacunaciones en menores de 1 ano,bcg,2020-01-01,7,15,3,6,31
BOLIVAR,vacunaciones en menores de 1 ano,bcg,2020-01-01,1,0,3,2,6
BOLPEBRA,vacunaciones en menores de 1 ano,bcg,2020-01-01,0,0,1,0,1
BOYUIBE,vacunaciones en menores de 1 ano,bcg,2020-01-01,1,4,0,0,5
BUENA VISTA,vacunaciones en menores de 1 ano,bcg,2020-01-01,8,11,0,5,24
CABEZAS,vacunaciones en menores de 1 ano,bcg,2020-01-01,14,12,2,0,28
CAIROMA,vacunaciones en menores de 1 ano,bcg,2020-01-01,1,0,3,1,5
"CAIZA ""D""",vacunaciones en menores de 1 ano,bcg,2020-01-01,0,2,6,1,9
CAJUATA,vacunaciones en menores de 1 ano,bcg,2020-01-01,7,8,0,0,15
