,group,variable,month,ANTIROTAVIRÍCA 1RA DOSIS DENTRO,ANTIROTAVIRÍCA 1RA DOSIS DENTRO,ANTIROTAVIRÍCA 1RA DOSIS FUERA,ANTIROTAVIRÍCA 1RA DOSIS FUERA,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,1,0,1,1,3
ACHACACHI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,21,22,6,6,55
ACHOCALLA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,28,20,2,1,51
AIQUILE,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,12,17,6,2,37
ALALAY,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,0,2,1,1,4
ALCALA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,1,0,0,0,1
ALTO BENI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,4,2,0,0,6
ANCORAIMES,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,4,9,0,0,13
ANDAMARCA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,2,0,0,0,2
ANTEQUERA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,0,2,0,0,2
ANZALDO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,5,4,1,2,12
APOLO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,12,10,2,4,28
ARAMPAMPA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,0,0,4,5,9
ARANI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,5,5,0,1,11
ARBIETO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,11,15,2,4,32
ARQUE,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,3,5,0,0,8
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,37,28,0,0,65
ATOCHA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,10,5,0,0,15
AUCAPATA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,0,4,0,0,4
AYATA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,3,3,1,0,7
AYO AYO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,10,4,0,0,14
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,8,4,5,6,23
AZURDUY,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,8,7,4,7,26
BATALLAS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,9,13,2,1,25
BAURES,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,3,4,0,0,7
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,1,0,0,0,1
BELLA FLOR,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2020-01-01,1,2,0,1,4
