,group,variable,month,ANTIPOLIOMIELÍTICA 3RA DOSIS DENTRO,ANTIPOLIOMIELÍTICA 3RA DOSIS DENTRO,ANTIPOLIOMIELÍTICA 3RA DOSIS FUERA,ANTIPOLIOMIELÍTICA 3RA DOSIS FUERA,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2020-01-01,0,2,1,0,3
ACHACACHI,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2020-01-01,8,11,6,7,32
ACHOCALLA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2020-01-01,16,15,1,0,32
AIQUILE,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2020-01-01,16,9,6,2,33
ALCALA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2020-01-01,1,2,0,0,3
ALTO BENI,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2020-01-01,5,8,1,0,14
ANCORAIMES,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2020-01-01,1,3,2,3,9
ANDAMARCA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2020-01-01,0,0,1,0,1
ANTEQUERA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2020-01-01,0,2,0,0,2
ANZALDO,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2020-01-01,0,3,5,2,10
APOLO,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2020-01-01,9,17,1,6,33
ARAMPAMPA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2020-01-01,1,0,1,1,3
ARANI,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2020-01-01,4,5,1,1,11
ARBIETO,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2020-01-01,14,11,5,1,31
ARQUE,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2020-01-01,6,5,4,0,15
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2020-01-01,30,22,0,0,52
ATOCHA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2020-01-01,3,7,1,1,12
AUCAPATA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2020-01-01,5,4,0,0,9
AYATA,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2020-01-01,2,4,1,3,10
AYO AYO,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2020-01-01,8,5,0,1,14
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2020-01-01,7,7,6,6,26
AZURDUY,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2020-01-01,2,6,4,3,15
BATALLAS,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2020-01-01,9,10,1,0,20
BAURES,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2020-01-01,1,2,0,0,3
BELLA FLOR,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2020-01-01,2,3,0,0,5
BERMEJO,vacunaciones en menores de 1 ano,antipoliomielitica 3ra dosis,2020-01-01,28,25,0,1,54
