,group,variable,month,ANTIROTAVIRÍCA 2DA DOSIS DENTRO,ANTIROTAVIRÍCA 2DA DOSIS DENTRO,ANTIROTAVIRÍCA 2DA DOSIS FUERA,ANTIROTAVIRÍCA 2DA DOSIS FUERA,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL
municipality,,,,,,,,
ACACIO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,0,4,3,0,7
ACHACACHI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,17,17,4,4,42
ACHOCALLA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,9,17,0,3,29
AIQUILE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,10,14,1,5,30
ALCALA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,2,0,0,0,2
ALTO BENI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,4,5,0,0,9
ANCORAIMES,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,4,1,2,0,7
ANDAMARCA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,1,0,2,0,3
ANTEQUERA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,2,1,1,0,4
ANZALDO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,1,2,0,1,4
APOLO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,7,8,1,7,23
ARAMPAMPA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,1,0,0,2,3
ARANI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,4,4,0,2,10
ARBIETO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,17,12,4,4,37
ARQUE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,2,5,3,2,12
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,26,30,0,0,56
ATOCHA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,9,10,0,0,19
AUCAPATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,5,2,1,0,8
AYATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,2,0,4,0,6
AYO AYO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,5,9,1,0,15
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,12,6,7,9,34
AZURDUY,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,3,8,3,7,21
BATALLAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,6,7,4,3,20
BAURES,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,3,1,0,0,4
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,1,0,0,0,1
BELLA FLOR,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,2,0,0,1,3
BERMEJO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,29,32,1,0,62
BETANZOS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2020-01-01,17,12,4,6,39
