,group,variable,month,PERSONAS DE 10 A 20 AÑOS NUEVO,PERSONAS DE 10 A 20 AÑOS NUEVO,PERSONAS DE 10 A 20 AÑOS REPETIDO,PERSONAS DE 10 A 20 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 10 a 20 anos,2010-01-01,20,35,0,0,20,35,55
ACHACACHI,consulta externa,personas de 10 a 20 anos,2010-01-01,111,141,9,5,120,146,266
ACHOCALLA,consulta externa,personas de 10 a 20 anos,2010-01-01,11,19,1,1,12,20,32
AIQUILE,consulta externa,personas de 10 a 20 anos,2010-01-01,96,105,4,16,100,121,221
ALALAY,consulta externa,personas de 10 a 20 anos,2010-01-01,4,5,0,0,4,5,9
ALCALA,consulta externa,personas de 10 a 20 anos,2010-01-01,45,66,3,1,48,67,115
ALTO BENI,consulta externa,personas de 10 a 20 anos,2010-01-01,35,56,2,1,37,57,94
ANCORAIMES,consulta externa,personas de 10 a 20 anos,2010-01-01,30,25,3,0,33,25,58
ANDAMARCA,consulta externa,personas de 10 a 20 anos,2010-01-01,20,27,0,0,20,27,47
ANTEQUERA,consulta externa,personas de 10 a 20 anos,2010-01-01,12,21,2,2,14,23,37
ANZALDO,consulta externa,personas de 10 a 20 anos,2010-01-01,7,13,1,3,8,16,24
APOLO,consulta externa,personas de 10 a 20 anos,2010-01-01,16,52,0,0,16,52,68
ARAMPAMPA,consulta externa,personas de 10 a 20 anos,2010-01-01,11,10,0,0,11,10,21
ARANI,consulta externa,personas de 10 a 20 anos,2010-01-01,26,29,0,0,26,29,55
ARBIETO,consulta externa,personas de 10 a 20 anos,2010-01-01,31,49,9,15,40,64,104
ARQUE,consulta externa,personas de 10 a 20 anos,2010-01-01,26,40,0,0,26,40,66
ASCENCION DE GUARAYOS,consulta externa,personas de 10 a 20 anos,2010-01-01,29,36,0,2,29,38,67
ATOCHA,consulta externa,personas de 10 a 20 anos,2010-01-01,182,234,51,66,233,300,533
AUCAPATA,consulta externa,personas de 10 a 20 anos,2010-01-01,20,17,0,0,20,17,37
AYATA,consulta externa,personas de 10 a 20 anos,2010-01-01,18,51,0,0,18,51,69
AYO AYO,consulta externa,personas de 10 a 20 anos,2010-01-01,28,26,8,1,36,27,63
