,group,variable,month,PERSONAS DE 60 AÑOS Y MÁS NUEVO,PERSONAS DE 60 AÑOS Y MÁS NUEVO,PERSONAS DE 60 AÑOS Y MÁS REPETIDO,PERSONAS DE 60 AÑOS Y MÁS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 60 anos y mas,2010-01-01,18,30,3,1,21,31,52
ACHACACHI,consulta externa,personas de 60 anos y mas,2010-01-01,371,349,60,55,431,404,835
ACHOCALLA,consulta externa,personas de 60 anos y mas,2010-01-01,28,15,3,5,31,20,51
AIQUILE,consulta externa,personas de 60 anos y mas,2010-01-01,101,134,32,35,133,169,302
ALALAY,consulta externa,personas de 60 anos y mas,2010-01-01,5,1,0,0,5,1,6
ALCALA,consulta externa,personas de 60 anos y mas,2010-01-01,37,69,1,8,38,77,115
ALTO BENI,consulta externa,personas de 60 anos y mas,2010-01-01,29,26,0,2,29,28,57
ANCORAIMES,consulta externa,personas de 60 anos y mas,2010-01-01,86,93,17,21,103,114,217
ANDAMARCA,consulta externa,personas de 60 anos y mas,2010-01-01,43,50,4,9,47,59,106
ANTEQUERA,consulta externa,personas de 60 anos y mas,2010-01-01,24,29,1,4,25,33,58
ANZALDO,consulta externa,personas de 60 anos y mas,2010-01-01,32,43,3,9,35,52,87
APOLO,consulta externa,personas de 60 anos y mas,2010-01-01,39,44,4,14,43,58,101
ARAMPAMPA,consulta externa,personas de 60 anos y mas,2010-01-01,13,14,0,0,13,14,27
ARANI,consulta externa,personas de 60 anos y mas,2010-01-01,24,27,1,1,25,28,53
ARBIETO,consulta externa,personas de 60 anos y mas,2010-01-01,42,62,20,48,62,110,172
ARQUE,consulta externa,personas de 60 anos y mas,2010-01-01,18,26,1,0,19,26,45
ASCENCION DE GUARAYOS,consulta externa,personas de 60 anos y mas,2010-01-01,54,37,3,6,57,43,100
ATOCHA,consulta externa,personas de 60 anos y mas,2010-01-01,83,88,28,35,111,123,234
AUCAPATA,consulta externa,personas de 60 anos y mas,2010-01-01,7,21,0,0,7,21,28
AYATA,consulta externa,personas de 60 anos y mas,2010-01-01,27,42,1,1,28,43,71
AYO AYO,consulta externa,personas de 60 anos y mas,2010-01-01,44,34,1,3,45,37,82
