,group,variable,month,PERSONAS DE 21 A 59 AÑOS NUEVO,PERSONAS DE 21 A 59 AÑOS NUEVO,PERSONAS DE 21 A 59 AÑOS REPETIDO,PERSONAS DE 21 A 59 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 21 a 59 anos,2010-01-01,76,121,1,1,77,122,199
ACHACACHI,consulta externa,personas de 21 a 59 anos,2010-01-01,200,408,21,31,221,439,660
ACHOCALLA,consulta externa,personas de 21 a 59 anos,2010-01-01,24,48,0,2,24,50,74
AIQUILE,consulta externa,personas de 21 a 59 anos,2010-01-01,161,347,16,112,177,459,636
ALALAY,consulta externa,personas de 21 a 59 anos,2010-01-01,11,17,2,0,13,17,30
ALCALA,consulta externa,personas de 21 a 59 anos,2010-01-01,95,176,4,8,99,184,283
ALTO BENI,consulta externa,personas de 21 a 59 anos,2010-01-01,103,143,1,2,104,145,249
ANCORAIMES,consulta externa,personas de 21 a 59 anos,2010-01-01,56,136,4,7,60,143,203
ANDAMARCA,consulta externa,personas de 21 a 59 anos,2010-01-01,82,106,4,8,86,114,200
ANTEQUERA,consulta externa,personas de 21 a 59 anos,2010-01-01,33,54,0,3,33,57,90
ANZALDO,consulta externa,personas de 21 a 59 anos,2010-01-01,39,74,1,10,40,84,124
APOLO,consulta externa,personas de 21 a 59 anos,2010-01-01,46,131,1,3,47,134,181
ARAMPAMPA,consulta externa,personas de 21 a 59 anos,2010-01-01,20,66,0,0,20,66,86
ARANI,consulta externa,personas de 21 a 59 anos,2010-01-01,39,83,1,0,40,83,123
ARBIETO,consulta externa,personas de 21 a 59 anos,2010-01-01,35,93,15,25,50,118,168
ARQUE,consulta externa,personas de 21 a 59 anos,2010-01-01,58,196,4,6,62,202,264
ASCENCION DE GUARAYOS,consulta externa,personas de 21 a 59 anos,2010-01-01,72,115,1,2,73,117,190
ATOCHA,consulta externa,personas de 21 a 59 anos,2010-01-01,721,715,190,164,911,879,1790
AUCAPATA,consulta externa,personas de 21 a 59 anos,2010-01-01,17,70,1,1,18,71,89
AYATA,consulta externa,personas de 21 a 59 anos,2010-01-01,95,211,2,1,97,212,309
AYO AYO,consulta externa,personas de 21 a 59 anos,2010-01-01,41,83,4,2,45,85,130
