,group,variable,month,PERSONAS DE 5 A 9 AÑOS NUEVO,PERSONAS DE 5 A 9 AÑOS NUEVO,PERSONAS DE 5 A 9 AÑOS REPETIDO,PERSONAS DE 5 A 9 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
ACACIO,consulta externa,personas de 5 a 9 anos,2010-01-01,12,12,0,0,12,12,24
ACHACACHI,consulta externa,personas de 5 a 9 anos,2010-01-01,41,45,2,5,43,50,93
ACHOCALLA,consulta externa,personas de 5 a 9 anos,2010-01-01,11,4,0,0,11,4,15
AIQUILE,consulta externa,personas de 5 a 9 anos,2010-01-01,42,57,5,8,47,65,112
ALALAY,consulta externa,personas de 5 a 9 anos,2010-01-01,6,4,0,0,6,4,10
ALCALA,consulta externa,personas de 5 a 9 anos,2010-01-01,28,25,0,0,28,25,53
ALTO BENI,consulta externa,personas de 5 a 9 anos,2010-01-01,26,38,0,1,26,39,65
ANCORAIMES,consulta externa,personas de 5 a 9 anos,2010-01-01,13,9,2,0,15,9,24
ANDAMARCA,consulta externa,personas de 5 a 9 anos,2010-01-01,15,7,0,1,15,8,23
ANTEQUERA,consulta externa,personas de 5 a 9 anos,2010-01-01,16,12,0,7,16,19,35
ANZALDO,consulta externa,personas de 5 a 9 anos,2010-01-01,8,8,1,1,9,9,18
APOLO,consulta externa,personas de 5 a 9 anos,2010-01-01,9,17,1,0,10,17,27
ARAMPAMPA,consulta externa,personas de 5 a 9 anos,2010-01-01,6,5,0,0,6,5,11
ARANI,consulta externa,personas de 5 a 9 anos,2010-01-01,14,9,0,0,14,9,23
ARBIETO,consulta externa,personas de 5 a 9 anos,2010-01-01,13,19,7,4,20,23,43
ARQUE,consulta externa,personas de 5 a 9 anos,2010-01-01,14,15,1,0,15,15,30
ASCENCION DE GUARAYOS,consulta externa,personas de 5 a 9 anos,2010-01-01,27,27,1,2,28,29,57
ATOCHA,consulta externa,personas de 5 a 9 anos,2010-01-01,75,94,20,24,95,118,213
AUCAPATA,consulta externa,personas de 5 a 9 anos,2010-01-01,18,9,1,0,19,9,28
AYATA,consulta externa,personas de 5 a 9 anos,2010-01-01,31,32,0,0,31,32,63
AYO AYO,consulta externa,personas de 5 a 9 anos,2010-01-01,13,13,1,1,14,14,28
