municipality,group,variable,month,AQV femenino,TOTAL
ASCENCION DE GUARAYOS,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2007-01-01,2,2
AZURDUY,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2007-01-01,1,1
BAURES,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2007-01-01,2,2
BETANZOS,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2007-01-01,2,2
CAMARGO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2007-01-01,12,12
CAMIRI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2007-01-01,5,5
CARANAVI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2007-01-01,10,10
CHALLAPATA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2007-01-01,2,2
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2007-01-01,1,1
COBIJA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2007-01-01,6,6
COCHABAMBA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2007-01-01,17,17
COMARAPA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2007-01-01,1,1
CONCEPCION,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2007-01-01,3,3
COTOCA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2007-01-01,1,1
EL ALTO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2007-01-01,3,3
EL TORNO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2007-01-01,3,3
HUANUNI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2007-01-01,1,1
LA PAZ,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2007-01-01,13,13
LLALLAGUA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2007-01-01,2,2
MAGDALENA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2007-01-01,2,2
MAIRANA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2007-01-01,3,3
MONTEAGUDO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2007-01-01,5,5
MONTERO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2007-01-01,5,5
OCURI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2007-01-01,1,1
ORURO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2007-01-01,14,14
PADILLA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2007-01-01,6,6
PORTACHUELO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2007-01-01,2,2
POTOSI,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2007-01-01,6,6
PUERTO SUAREZ,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2007-01-01,4,4
PUERTO VILLARROEL,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2007-01-01,2,2
PUNATA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2007-01-01,2,2
SACABA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2007-01-01,2,2
SAN BORJA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2007-01-01,3,3
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2007-01-01,11,11
SAN JULIAN,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2007-01-01,2,2
SAN LUCAS,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2007-01-01,5,5
SANTA ANA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2007-01-01,7,7
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2007-01-01,59,59
SANTA ROSA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2007-01-01,3,3
SIPE SIPE,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv femenino,2007-01-01,2,2
