municipality,group,variable,month,AQV masculino,TOTAL
COBIJA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2007-01-01,1,1
EL ALTO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2007-01-01,4,4
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2007-01-01,2,2
EL ALTO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2007-02-01,1,1
EL ALTO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2007-03-01,3,3
LA PAZ,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2007-03-01,1,1
PADILLA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2007-03-01,1,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2007-03-01,3,3
EL ALTO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2007-04-01,1,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2007-04-01,1,1
COCHABAMBA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2007-05-01,2,2
EL ALTO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2007-06-01,3,3
EL ALTO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2007-07-01,1,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2007-07-01,2,2
EL ALTO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2007-08-01,2,2
COCHABAMBA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2007-09-01,1,1
CONCEPCION,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2007-09-01,4,4
WARNES,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2007-09-01,7,7
EL ALTO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2007-10-01,4,4
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2007-10-01,40,40
EL ALTO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2007-11-01,2,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2007-11-01,2,2
EL ALTO,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2007-12-01,1,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencionde its y de cancer de cuello uterino",aqv masculino,2007-12-01,32,32
