municipality,group,variable,month,Diarreas,TOTAL
AIQUILE,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,4,4
ASCENCION DE GUARAYOS,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,7,7
ATOCHA,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,1,1
BERMEJO,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,6,6
BETANZOS,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,2,2
CABEZAS,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,1,1
CAMARGO,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,11,11
CAMIRI,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,9,9
CAPINOTA,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,4,4
CARANAVI,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,7,7
CHARAGUA,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,6,6
CHAYANTA,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,50,50
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,1,1
COBIJA,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,9,9
COCHABAMBA,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,216,216
COLCAPIRHUA,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,4,4
COMARAPA,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,3,3
COROICO,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,4,4
COTAGAITA,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,3,3
COTOCA,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,2,2
CULPINA,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,1,1
EL ALTO,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,60,60
EL TORNO,diagnostico de egreso en menores de 5 anos,diarreas,2006-01-01,1,1
