municipality,group,variable,month,Neumonías,TOTAL
ACHACACHI,diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,1,1
AIQUILE,diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,2,2
ASCENCION DE GUARAYOS,diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,1,1
BAURES,diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,1,1
BERMEJO,diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,2,2
CABEZAS,diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,1,1
CAMARGO,diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,10,10
CAMIRI,diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,2,2
CARANAVI,diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,3,3
CHALLAPATA,diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,1,1
CHARAGUA,diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,6,6
CHAYANTA,diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,2,2
COBIJA,diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,12,12
COCHABAMBA,diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,53,53
COMARAPA,diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,1,1
CONCEPCION,diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,1,1
COROICO,diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,4,4
COTOCA,diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,1,1
CULPINA,diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,1,1
EL ALTO,diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,55,55
EL PUENTE(TJA),diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,1,1
GUAYARAMERIN,diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,6,6
INQUISIVI,diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,1,1
LA ASUNTA,diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,1,1
LA GUARDIA,diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,2,2
LA PAZ,diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,50,50
LLALLAGUA,diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,3,3
MAGDALENA,diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,1,1
MAIRANA,diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,1,1
MIZQUE,diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,1,1
MONTEAGUDO,diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,1,1
MONTERO,diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,28,28
ORURO,diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,7,7
PADILLA,diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,4,4
PAILON,diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,2,2
PATACAMAYA,diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,1,1
POTOSI,diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,14,14
PUERTO QUIJARRO,diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,5,5
PUERTO SUAREZ,diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,3,3
PUERTO VILLARROEL,diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,10,10
PUNATA,diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,7,7
QUILLACOLLO,diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,10,10
REYES,diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,2,2
RIBERALTA,diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,6,6
RURRENABAQUE,diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,3,3
SACABA,diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,33,33
SACACA,diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,1,1
SAMAIPATA,diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,1,1
SAN BORJA,diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,2,2
SAN CARLOS,diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,2,2
SAN IGNACIO,diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,4,4
SAN IGNACIO DE VELASCO,diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,21,21
SAN JULIAN,diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,8,8
SAN MATIAS,diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,1,1
SAN MIGUEL DE VELASCO,diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,2,2
SANTA ANA,diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,3,3
SANTA CRUZ DE LA SIERRA,diagnostico de egreso en menores de 5 anos,neumonias,2006-01-01,320,320
