,group,variable,month,NÚMERO DE TRATAMIENTOS ESPECÍFICOS DISPENSADOS VIVAX,NÚMERO DE TRATAMIENTOS ESPECÍFICOS DISPENSADOS VIVAX,NÚMERO DE TRATAMIENTOS ESPECÍFICOS DISPENSADOS FALCIPARUM,NÚMERO DE TRATAMIENTOS ESPECÍFICOS DISPENSADOS FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
BERMEJO,malaria,numero de tratamientos especificos dispensados,2011-01-01,4,1,0,0,4,1,5
BUENA VISTA,malaria,numero de tratamientos especificos dispensados,2011-01-01,6,7,0,0,6,7,13
CAMIRI,malaria,numero de tratamientos especificos dispensados,2011-01-01,0,1,0,0,0,1,1
CARANAVI,malaria,numero de tratamientos especificos dispensados,2011-01-01,3,2,0,0,3,2,5
CARAPARI,malaria,numero de tratamientos especificos dispensados,2011-01-01,5,3,0,0,5,3,8
CHARAGUA,malaria,numero de tratamientos especificos dispensados,2011-01-01,0,1,0,0,0,1,1
COBIJA,malaria,numero de tratamientos especificos dispensados,2011-01-01,6,1,0,0,6,1,7
COROICO,malaria,numero de tratamientos especificos dispensados,2011-01-01,5,4,0,0,5,4,9
CULPINA,malaria,numero de tratamientos especificos dispensados,2011-01-01,1,0,0,0,1,0,1
EL TORNO,malaria,numero de tratamientos especificos dispensados,2011-01-01,27,8,0,0,27,8,35
EUREKA (SANTOS MERCADO),malaria,numero de tratamientos especificos dispensados,2011-01-01,4,1,0,0,4,1,5
GRAL. J.J. PEREZ (CHARAZANI),malaria,numero de tratamientos especificos dispensados,2011-01-01,0,2,0,0,0,2,2
GUANAY,malaria,numero de tratamientos especificos dispensados,2011-01-01,2,0,0,0,2,0,2
GUAYARAMERIN,malaria,numero de tratamientos especificos dispensados,2011-01-01,96,81,7,6,103,87,190
LA ASUNTA,malaria,numero de tratamientos especificos dispensados,2011-01-01,1,1,0,0,1,1,2
LA GUARDIA,malaria,numero de tratamientos especificos dispensados,2011-01-01,2,0,0,0,2,0,2
LA PAZ,malaria,numero de tratamientos especificos dispensados,2011-01-01,10,9,0,0,10,9,19
MONTEAGUDO,malaria,numero de tratamientos especificos dispensados,2011-01-01,3,4,0,0,3,4,7
