,group,variable,month,NÚMERO DE TRATAMIENTOS INICIADOS ANTES DE LAS 48 HORAS VIVAX,NÚMERO DE TRATAMIENTOS INICIADOS ANTES DE LAS 48 HORAS VIVAX,NÚMERO DE TRATAMIENTOS INICIADOS ANTES DE LAS 48 HORAS FALCIPARUM,NÚMERO DE TRATAMIENTOS INICIADOS ANTES DE LAS 48 HORAS FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
BUENA VISTA,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-01-01,10,13,0,0,10,13,23
GUANAY,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-01-01,4,4,0,0,4,4,8
HUACARETA,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-01-01,0,1,0,0,0,1,1
LA ASUNTA,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-01-01,1,1,0,0,1,1,2
MIZQUE,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-01-01,1,0,0,0,1,0,1
PADILLA,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-01-01,1,3,0,0,1,3,4
PORVENIR,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-01-01,5,3,0,0,5,3,8
POSTRER VALLE,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-01-01,1,0,0,0,1,0,1
PUERTO RICO,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-01-01,4,4,0,0,4,4,8
RIBERALTA,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-01-01,5,6,1,0,6,6,12
RURRENABAQUE,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-01-01,1,0,0,0,1,0,1
SAIPINA,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-01-01,8,2,0,0,8,2,10
SANTA CRUZ DE LA SIERRA,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-01-01,0,0,0,0,0,0,0
YACUIBA,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-01-01,0,2,0,0,0,2,2
BAURES,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-02-01,2,2,0,0,2,2,4
BUENA VISTA,malaria,numero de tratamientos iniciados antes de las 48 horas,2011-02-01,3,0,0,0,3,0,3
