,group,variable,month,TRATAMIENTOS INICIADOS POR SOSPECHA VIVAX,TRATAMIENTOS INICIADOS POR SOSPECHA VIVAX,TRATAMIENTOS INICIADOS POR SOSPECHA FALCIPARUM,TRATAMIENTOS INICIADOS POR SOSPECHA FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
AZURDUY,malaria,tratamientos iniciados por sospecha,2011-01-01,2,1,0,0,2,1,3
BUENA VISTA,malaria,tratamientos iniciados por sospecha,2011-01-01,5,7,0,0,5,7,12
CABEZAS,malaria,tratamientos iniciados por sospecha,2011-01-01,2,2,0,0,2,2,4
EL TORNO,malaria,tratamientos iniciados por sospecha,2011-01-01,1,2,0,0,1,2,3
GUANAY,malaria,tratamientos iniciados por sospecha,2011-01-01,14,5,0,0,14,5,19
HUACARETA,malaria,tratamientos iniciados por sospecha,2011-01-01,0,1,0,0,0,1,1
LA PAZ,malaria,tratamientos iniciados por sospecha,2011-01-01,10,9,0,0,10,9,19
MIZQUE,malaria,tratamientos iniciados por sospecha,2011-01-01,1,0,0,0,1,0,1
PORONGO,malaria,tratamientos iniciados por sospecha,2011-01-01,1,1,0,0,1,1,2
POSTRER VALLE,malaria,tratamientos iniciados por sospecha,2011-01-01,6,4,0,0,6,4,10
SAIPINA,malaria,tratamientos iniciados por sospecha,2011-01-01,4,0,0,0,4,0,4
SAN BUENA VENTURA,malaria,tratamientos iniciados por sospecha,2011-01-01,1,0,0,0,1,0,1
SAN PEDRO DE BUENA VISTA,malaria,tratamientos iniciados por sospecha,2011-01-01,1,1,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,malaria,tratamientos iniciados por sospecha,2011-01-01,1,1,0,0,1,1,2
SANTA ROSA,malaria,tratamientos iniciados por sospecha,2011-01-01,1,1,0,0,1,1,2
TEOPONTE,malaria,tratamientos iniciados por sospecha,2011-01-01,2,3,0,0,2,3,5
TORO TORO,malaria,tratamientos iniciados por sospecha,2011-01-01,3,3,0,0,3,3,6
VILA VILA,malaria,tratamientos iniciados por sospecha,2011-01-01,1,1,0,0,1,1,2
VILLA CHARCAS,malaria,tratamientos iniciados por sospecha,2011-01-01,0,1,0,0,0,1,1
AZURDUY,malaria,tratamientos iniciados por sospecha,2011-02-01,1,1,0,0,1,1,2
