,group,variable,month,NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS VIVAX,NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS VIVAX,NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS FALCIPARUM,NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
AIQUILE,malaria,numero de muestras hematicas tomadas,2011-01-01,1,6,0,0,1,6,7
ALCALA,malaria,numero de muestras hematicas tomadas,2011-01-01,0,1,0,0,0,1,1
AZURDUY,malaria,numero de muestras hematicas tomadas,2011-01-01,6,13,0,0,6,13,19
BAURES,malaria,numero de muestras hematicas tomadas,2011-01-01,9,14,0,0,9,14,23
BERMEJO,malaria,numero de muestras hematicas tomadas,2011-01-01,24,15,0,0,24,15,39
BOLPEBRA,malaria,numero de muestras hematicas tomadas,2011-01-01,10,11,0,0,10,11,21
BUENA VISTA,malaria,numero de muestras hematicas tomadas,2011-01-01,16,16,0,0,16,16,32
CABEZAS,malaria,numero de muestras hematicas tomadas,2011-01-01,2,2,0,0,2,2,4
CAMIRI,malaria,numero de muestras hematicas tomadas,2011-01-01,2,1,0,0,2,1,3
CARANAVI,malaria,numero de muestras hematicas tomadas,2011-01-01,74,86,0,0,74,86,160
CARAPARI,malaria,numero de muestras hematicas tomadas,2011-01-01,29,21,0,0,29,21,50
CHARAGUA,malaria,numero de muestras hematicas tomadas,2011-01-01,1,2,0,0,1,2,3
COBIJA,malaria,numero de muestras hematicas tomadas,2011-01-01,111,11,0,0,111,11,122
COMARAPA,malaria,numero de muestras hematicas tomadas,2011-01-01,2,3,0,0,2,3,5
COROICO,malaria,numero de muestras hematicas tomadas,2011-01-01,1,2,0,0,1,2,3
CULPINA,malaria,numero de muestras hematicas tomadas,2011-01-01,1,0,0,0,1,0,1
EL TORNO,malaria,numero de muestras hematicas tomadas,2011-01-01,118,120,0,0,118,120,238
ENTRE RIOS TRJ,malaria,numero de muestras hematicas tomadas,2011-01-01,84,82,0,0,84,82,166
EUREKA (SANTOS MERCADO),malaria,numero de muestras hematicas tomadas,2011-01-01,69,25,0,0,69,25,94
FILADELFIA,malaria,numero de muestras hematicas tomadas,2011-01-01,70,11,0,0,70,11,81
