,group,variable,month,TOTAL DE CASOS CONFIRMADOS VIVAX,TOTAL DE CASOS CONFIRMADOS VIVAX,TOTAL DE CASOS CONFIRMADOS FALCIPARUM,TOTAL DE CASOS CONFIRMADOS FALCIPARUM,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
municipality,,,,,,,,,,
AIQUILE,malaria,total de casos confirmados,2011-01-01,1,0,0,0,1,0,1
AZURDUY,malaria,total de casos confirmados,2011-01-01,4,2,0,0,4,2,6
BERMEJO,malaria,total de casos confirmados,2011-01-01,4,1,0,0,4,1,5
BUENA VISTA,malaria,total de casos confirmados,2011-01-01,6,7,0,0,6,7,13
CAMIRI,malaria,total de casos confirmados,2011-01-01,0,1,0,0,0,1,1
CARANAVI,malaria,total de casos confirmados,2011-01-01,3,2,0,0,3,2,5
CARAPARI,malaria,total de casos confirmados,2011-01-01,5,3,0,0,5,3,8
CHARAGUA,malaria,total de casos confirmados,2011-01-01,0,1,0,0,0,1,1
COBIJA,malaria,total de casos confirmados,2011-01-01,6,1,0,0,6,1,7
COMARAPA,malaria,total de casos confirmados,2011-01-01,0,1,0,0,0,1,1
COROICO,malaria,total de casos confirmados,2011-01-01,5,4,0,0,5,4,9
CULPINA,malaria,total de casos confirmados,2011-01-01,1,0,0,0,1,0,1
EL TORNO,malaria,total de casos confirmados,2011-01-01,27,8,0,0,27,8,35
ENTRE RIOS TRJ,malaria,total de casos confirmados,2011-01-01,3,2,0,0,3,2,5
EUREKA (SANTOS MERCADO),malaria,total de casos confirmados,2011-01-01,4,1,0,0,4,1,5
GRAL. J.J. PEREZ (CHARAZANI),malaria,total de casos confirmados,2011-01-01,0,3,0,0,0,3,3
GUANAY,malaria,total de casos confirmados,2011-01-01,2,0,0,0,2,0,2
GUAYARAMERIN,malaria,total de casos confirmados,2011-01-01,96,86,7,6,103,92,195
LA GUARDIA,malaria,total de casos confirmados,2011-01-01,4,2,0,0,4,2,6
LA PAZ,malaria,total de casos confirmados,2011-01-01,10,9,0,0,10,9,19
MAPIRI,malaria,total de casos confirmados,2011-01-01,1,0,0,0,1,0,1
MIZQUE,malaria,total de casos confirmados,2011-01-01,1,5,0,0,1,5,6
MONTEAGUDO,malaria,total de casos confirmados,2011-01-01,3,4,0,0,3,4,7
