municipality,group,variable,month,Nacidos muertos con peso menor a 2500g,TOTAL
INCAHUASI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2016-01-01,1,1
MECAPACA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2016-01-01,1,1
QUILLACOLLO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2016-01-01,1,1
SANTIAGO DE CALLAPA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2016-01-01,1,1
TIRAQUE (CBBA),atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2016-01-01,1,1
LA PAZ,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2016-02-01,1,1
PUERTO GONZALO MORENO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2016-02-01,1,1
WARNES,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2016-02-01,1,1
"COLCHA ""K""",atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2016-03-01,1,1
HUACAYA (VILLA DE HUACAYA),atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2016-03-01,1,1
VILLA MONTES,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2016-03-01,1,1
VILLA NUEVA (LOMA ALTA),atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2016-03-01,1,1
CARIPUYO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2016-04-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2016-04-01,1,1
ORURO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2016-04-01,1,1
TAPACARI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2016-04-01,4,4
CHUA COCANI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2016-05-01,1,1
EL TORNO,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2016-05-01,1,1
EXALTACION,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2016-05-01,1,1
OCURI,atencion de partos en domicilio,nacidos muertos con peso menor a 2500g,2016-05-01,1,1
