municipality,group,variable,month,Nacidos vivos atendidos por partera,TOTAL
ARAMPAMPA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2016-01-01,2,2
BELLA FLOR,atencion de partos en domicilio,nacidos vivos atendidos por partera,2016-01-01,1,1
BETANZOS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2016-01-01,2,2
CAMIRI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2016-01-01,1,1
CARACOLLO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2016-01-01,3,3
CARANAVI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2016-01-01,1,1
CHALLAPATA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2016-01-01,1,1
CHAYANTA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2016-01-01,1,1
CHIMORE,atencion de partos en domicilio,nacidos vivos atendidos por partera,2016-01-01,1,1
COCAPATA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2016-01-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2016-01-01,9,9
CONCEPCION,atencion de partos en domicilio,nacidos vivos atendidos por partera,2016-01-01,1,1
COPACABANA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2016-01-01,1,1
CUEVO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2016-01-01,1,1
CURAHUARA DE CARANGAS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2016-01-01,2,2
EL ALTO,atencion de partos en domicilio,nacidos vivos atendidos por partera,2016-01-01,1,1
EL PUENTE(STC),atencion de partos en domicilio,nacidos vivos atendidos por partera,2016-01-01,1,1
EUCALIPTUS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2016-01-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,nacidos vivos atendidos por partera,2016-01-01,1,1
GUAYARAMERIN,atencion de partos en domicilio,nacidos vivos atendidos por partera,2016-01-01,2,2
HUANUNI,atencion de partos en domicilio,nacidos vivos atendidos por partera,2016-01-01,1,1
LA ASUNTA,atencion de partos en domicilio,nacidos vivos atendidos por partera,2016-01-01,1,1
LAGUNILLAS,atencion de partos en domicilio,nacidos vivos atendidos por partera,2016-01-01,1,1
