municipality,group,variable,month,Nacidos vivos con peso menor a 2500g,TOTAL
ARQUE,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2016-01-01,2,2
CALAMARCA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2016-01-01,1,1
CATACORA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2016-01-01,1,1
CHACARILLA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2016-01-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2016-01-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2016-01-01,2,2
CURVA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2016-01-01,2,2
ENTRE RIOS TRJ,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2016-01-01,2,2
IRUPANA (VILLA DE LANZA),atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2016-01-01,2,2
MIZQUE,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2016-01-01,1,1
MOROCHATA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2016-01-01,1,1
POCOATA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2016-01-01,1,1
PRESTO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2016-01-01,2,2
PUERTO ACOSTA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2016-01-01,1,1
RIBERALTA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2016-01-01,1,1
RURRENABAQUE,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2016-01-01,1,1
SAN PEDRO DE CURAHUARA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2016-01-01,4,4
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2016-01-01,2,2
TACOPAYA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2016-01-01,2,2
UNCIA,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2016-01-01,1,1
VILLA NUEVA (LOMA ALTA),atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2016-01-01,1,1
ANZALDO,atencion de partos en domicilio,nacidos vivos con peso menor a 2500g,2016-02-01,1,1
