municipality,group,variable,month,Partos atendidos por proveedor calificado,TOTAL
AIQUILE,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,1,1
ALTO BENI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,1,1
ANCORAIMES,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,1,1
APOLO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,2,2
ARAMPAMPA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,2,2
ARANI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,1,1
ARQUE,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,1,1
AYATA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,3,3
AYO AYO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,4,4
AZURDUY,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,3,3
BELEN DE ANDAMARCA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,1,1
BETANZOS,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,3,3
"CAIZA ""D""",atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,1,1
CALAMARCA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,5,5
CARANAVI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,4,4
CARIPUYO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,1,1
CHACARILLA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,1,1
CHAQUI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,1,1
CHAYANTA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,2,2
CHUMA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,3,3
CKOCHAS,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,2,2
CLIZA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,1,1
COCHABAMBA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,2,2
"COLCHA ""K""",atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,2,2
COLQUECHACA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,10,10
COLQUENCHA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,5,5
COLQUIRI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,7,7
COTAGAITA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,1,1
CUEVO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,1,1
CURVA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,1,1
DESAGUADERO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,5,5
ENTRE RIOS TRJ,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,1,1
GUAQUI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,2,2
HUMANATA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,2,2
ICHOCA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,1,1
ICLA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,4,4
INCAHUASI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,6,6
INQUISIVI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,4,4
IRUPANA (VILLA DE LANZA),atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,4,4
IXIAMAS,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,1,1
LA ASUNTA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,8,8
LAJA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,12,12
LLALLAGUA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,1,1
MIZQUE,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,7,7
MOROCHATA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,2,2
OCURI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,2,2
ORURO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,3,3
PADCAYA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,2,2
PALCA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,1,1
PALOS BLANCOS,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,2,2
PAPEL PAMPA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,2,2
POROMA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,6,6
PORVENIR,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,1,1
PRESTO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,2,2
PUCARANI,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,5,5
PUERTO GONZALO MORENO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,2,2
PUERTO PEREZ,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,5,5
PUERTO RICO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,1,1
QUILLACOLLO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,1,1
RAVELO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,2,2
SACABA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,3,3
SACACA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,3,3
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,1,1
SAN AGUSTIN,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,2,2
SAN ANDRES DE MACHACA,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,4,4
SAN ANTONIO DE LOMERIO,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,2,2
SAN LORENZO(PND),atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,4,4
SAN LUCAS,atencion de partos en domicilio,partos atendidos por proveedor calificado,2016-01-01,3,3
