municipality,group,variable,month,RN con malformación congénita,TOTAL
LAJA,atencion de partos en domicilio,rn con malformacion congenita,2016-01-01,1,1
MOROCHATA,atencion de partos en domicilio,rn con malformacion congenita,2016-01-01,1,1
YACO,atencion de partos en domicilio,rn con malformacion congenita,2016-01-01,3,3
COTOCA,atencion de partos en domicilio,rn con malformacion congenita,2016-02-01,2,2
JESUS DE MACHACA,atencion de partos en domicilio,rn con malformacion congenita,2016-02-01,1,1
SANTIAGO DE CALLAPA,atencion de partos en domicilio,rn con malformacion congenita,2016-02-01,1,1
SICA SICA (VILLA AROMA),atencion de partos en domicilio,rn con malformacion congenita,2016-02-01,4,4
TEOPONTE,atencion de partos en domicilio,rn con malformacion congenita,2016-02-01,1,1
CKOCHAS,atencion de partos en domicilio,rn con malformacion congenita,2016-03-01,1,1
MOROCHATA,atencion de partos en domicilio,rn con malformacion congenita,2016-03-01,1,1
PADCAYA,atencion de partos en domicilio,rn con malformacion congenita,2016-03-01,1,1
SAN BORJA,atencion de partos en domicilio,rn con malformacion congenita,2016-03-01,1,1
TACOBAMBA,atencion de partos en domicilio,rn con malformacion congenita,2016-03-01,1,1
CAIROMA,atencion de partos en domicilio,rn con malformacion congenita,2016-04-01,1,1
LURIBAY,atencion de partos en domicilio,rn con malformacion congenita,2016-04-01,1,1
MOJOCOYA,atencion de partos en domicilio,rn con malformacion congenita,2016-04-01,1,1
RAVELO,atencion de partos en domicilio,rn con malformacion congenita,2016-04-01,1,1
SAN LORENZO(PND),atencion de partos en domicilio,rn con malformacion congenita,2016-04-01,1,1
TINGUIPAYA,atencion de partos en domicilio,rn con malformacion congenita,2016-04-01,1,1
VIACHA,atencion de partos en domicilio,rn con malformacion congenita,2016-04-01,1,1
CHUA COCANI,atencion de partos en domicilio,rn con malformacion congenita,2016-05-01,1,1
COCHABAMBA,atencion de partos en domicilio,rn con malformacion congenita,2016-05-01,1,1
EL ALTO,atencion de partos en domicilio,rn con malformacion congenita,2016-05-01,1,1
TARABUCO,atencion de partos en domicilio,rn con malformacion congenita,2016-05-01,1,1
CORO CORO,atencion de partos en domicilio,rn con malformacion congenita,2016-06-01,1,1
HUARINA,atencion de partos en domicilio,rn con malformacion congenita,2016-06-01,1,1
POROMA,atencion de partos en domicilio,rn con malformacion congenita,2016-06-01,1,1
