municipality,group,variable,month,Partos atendidos por otros,TOTAL
ACHOCALLA,atencion de partos en domicilio,partos atendidos por otros,2016-01-01,1,1
AIQUILE,atencion de partos en domicilio,partos atendidos por otros,2016-01-01,1,1
APOLO,atencion de partos en domicilio,partos atendidos por otros,2016-01-01,2,2
ARANI,atencion de partos en domicilio,partos atendidos por otros,2016-01-01,3,3
ARQUE,atencion de partos en domicilio,partos atendidos por otros,2016-01-01,1,1
AYATA,atencion de partos en domicilio,partos atendidos por otros,2016-01-01,1,1
BETANZOS,atencion de partos en domicilio,partos atendidos por otros,2016-01-01,3,3
BUENA VISTA,atencion de partos en domicilio,partos atendidos por otros,2016-01-01,1,1
CAPINOTA,atencion de partos en domicilio,partos atendidos por otros,2016-01-01,2,2
CHALLAPATA,atencion de partos en domicilio,partos atendidos por otros,2016-01-01,1,1
CHAYANTA,atencion de partos en domicilio,partos atendidos por otros,2016-01-01,2,2
COLQUECHACA,atencion de partos en domicilio,partos atendidos por otros,2016-01-01,1,1
COLQUENCHA,atencion de partos en domicilio,partos atendidos por otros,2016-01-01,1,1
COMARAPA,atencion de partos en domicilio,partos atendidos por otros,2016-01-01,2,2
COROICO,atencion de partos en domicilio,partos atendidos por otros,2016-01-01,2,2
CORQUE,atencion de partos en domicilio,partos atendidos por otros,2016-01-01,1,1
CURAHUARA DE CARANGAS,atencion de partos en domicilio,partos atendidos por otros,2016-01-01,1,1
EL ALTO,atencion de partos en domicilio,partos atendidos por otros,2016-01-01,2,2
EL TORNO,atencion de partos en domicilio,partos atendidos por otros,2016-01-01,3,3
EUCALIPTUS,atencion de partos en domicilio,partos atendidos por otros,2016-01-01,1,1
HUANUNI,atencion de partos en domicilio,partos atendidos por otros,2016-01-01,1,1
INQUISIVI,atencion de partos en domicilio,partos atendidos por otros,2016-01-01,2,2
IRUPANA (VILLA DE LANZA),atencion de partos en domicilio,partos atendidos por otros,2016-01-01,1,1
LA ASUNTA,atencion de partos en domicilio,partos atendidos por otros,2016-01-01,2,2
MAIRANA,atencion de partos en domicilio,partos atendidos por otros,2016-01-01,2,2
MIZQUE,atencion de partos en domicilio,partos atendidos por otros,2016-01-01,3,3
MOCOMOCO,atencion de partos en domicilio,partos atendidos por otros,2016-01-01,1,1
MOROCHATA,atencion de partos en domicilio,partos atendidos por otros,2016-01-01,3,3
OCURI,atencion de partos en domicilio,partos atendidos por otros,2016-01-01,1,1
ORURO,atencion de partos en domicilio,partos atendidos por otros,2016-01-01,4,4
POOPO,atencion de partos en domicilio,partos atendidos por otros,2016-01-01,2,2
PORONGO,atencion de partos en domicilio,partos atendidos por otros,2016-01-01,1,1
POTOSI,atencion de partos en domicilio,partos atendidos por otros,2016-01-01,1,1
PRESTO,atencion de partos en domicilio,partos atendidos por otros,2016-01-01,1,1
SACACA,atencion de partos en domicilio,partos atendidos por otros,2016-01-01,3,3
SAN IGNACIO,atencion de partos en domicilio,partos atendidos por otros,2016-01-01,1,1
SAN MIGUEL DE VELASCO,atencion de partos en domicilio,partos atendidos por otros,2016-01-01,1,1
