municipality,group,variable,month,Partos atendidos por personal de salud calificado,TOTAL
ACACIO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2016-01-01,2,2
ACHACACHI,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2016-01-01,16,16
ACHOCALLA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2016-01-01,5,5
ANCORAIMES,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2016-01-01,11,11
ANDAMARCA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2016-01-01,1,1
ANZALDO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2016-01-01,2,2
APOLO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2016-01-01,3,3
ARANI,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2016-01-01,1,1
ARBIETO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2016-01-01,3,3
ARQUE,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2016-01-01,20,20
ATOCHA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2016-01-01,1,1
AUCAPATA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2016-01-01,2,2
AYATA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2016-01-01,5,5
AYO AYO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2016-01-01,7,7
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,partos atendidos por personal de salud calificado,2016-01-01,6,6
AZURDUY,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2016-01-01,1,1
BATALLAS,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2016-01-01,7,7
BAURES,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2016-01-01,2,2
BETANZOS,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2016-01-01,6,6
BOLIVAR,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2016-01-01,2,2
CABEZAS,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2016-01-01,4,4
CAIROMA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2016-01-01,7,7
"CAIZA ""D""",atencion de partos en domicilio,partos atendidos por personal de salud calificado,2016-01-01,6,6
CALAMARCA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2016-01-01,2,2
CAMARGO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2016-01-01,1,1
CAMIRI,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2016-01-01,1,1
CAQUIAVIRI,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2016-01-01,5,5
CARACOLLO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2016-01-01,1,1
CARANAVI,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2016-01-01,4,4
CARAPARI,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2016-01-01,2,2
CARIPUYO,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2016-01-01,7,7
CATACORA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2016-01-01,1,1
CHACARILLA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2016-01-01,2,2
CHALLAPATA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2016-01-01,14,14
CHAQUI,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2016-01-01,1,1
CHARAGUA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2016-01-01,1,1
CHARAÑA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2016-01-01,1,1
CHAYANTA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2016-01-01,5,5
CHIMORE,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2016-01-01,1,1
CHIPAYA,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2016-01-01,1,1
CHUA COCANI,atencion de partos en domicilio,partos atendidos por personal de salud calificado,2016-01-01,5,5
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en domicilio,partos atendidos por personal de salud calificado,2016-01-01,3,3
