municipality,group,variable,month,Nacidos muertos atendidos por personal de salud,TOTAL
COTAGAITA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2016-01-01,1,1
INCAHUASI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2016-01-01,2,2
MECAPACA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2016-01-01,1,1
SACACA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2016-01-01,1,1
TIRAQUE (CBBA),atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2016-01-01,1,1
ACACIO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2016-02-01,1,1
AZURDUY,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2016-02-01,1,1
ORURO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2016-02-01,1,1
POROMA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2016-02-01,1,1
PUERTO GONZALO MORENO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2016-02-01,1,1
SAN LUCAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2016-02-01,1,1
WARNES,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2016-02-01,1,1
"COLCHA ""K""",atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2016-03-01,1,1
GUTIERREZ,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2016-03-01,1,1
POCOATA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2016-03-01,1,1
POROMA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2016-03-01,1,1
VILLA MONTES,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2016-03-01,1,1
BETANZOS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2016-04-01,1,1
CARIPUYO,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2016-04-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2016-04-01,1,1
SACACA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2016-04-01,1,1
CALAMARCA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2016-05-01,1,1
CHUA COCANI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2016-05-01,1,1
POCONA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2016-05-01,1,1
SUCRE,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2016-05-01,1,1
UYUNI,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2016-05-01,1,1
VILLA CHARCAS,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2016-05-01,1,1
AZURDUY,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2016-06-01,1,1
PALCA,atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2016-06-01,1,1
SICA SICA (VILLA AROMA),atencion de partos en domicilio,nacidos muertos atendidos por personal de salud,2016-06-01,1,1
