municipality,group,variable,month,Nacidos muertos atendidos por partera,TOTAL
BELLA FLOR,atencion de partos en domicilio,nacidos muertos atendidos por partera,2016-01-01,1,1
QUILLACOLLO,atencion de partos en domicilio,nacidos muertos atendidos por partera,2016-01-01,1,1
BETANZOS,atencion de partos en domicilio,nacidos muertos atendidos por partera,2016-02-01,1,1
CAPINOTA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2016-02-01,1,1
SACABA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2016-02-01,1,1
SAN BORJA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2016-02-01,1,1
TARACO,atencion de partos en domicilio,nacidos muertos atendidos por partera,2016-02-01,1,1
TOLEDO,atencion de partos en domicilio,nacidos muertos atendidos por partera,2016-02-01,2,2
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2016-03-01,2,2
CONCEPCION,atencion de partos en domicilio,nacidos muertos atendidos por partera,2016-04-01,1,1
ROBORE,atencion de partos en domicilio,nacidos muertos atendidos por partera,2016-04-01,1,1
SUCRE,atencion de partos en domicilio,nacidos muertos atendidos por partera,2016-04-01,4,4
TAPACARI,atencion de partos en domicilio,nacidos muertos atendidos por partera,2016-04-01,1,1
TORO TORO,atencion de partos en domicilio,nacidos muertos atendidos por partera,2016-04-01,1,1
ORURO,atencion de partos en domicilio,nacidos muertos atendidos por partera,2016-05-01,1,1
SAN IGNACIO,atencion de partos en domicilio,nacidos muertos atendidos por partera,2016-05-01,1,1
TAPACARI,atencion de partos en domicilio,nacidos muertos atendidos por partera,2016-05-01,1,1
UYUNI,atencion de partos en domicilio,nacidos muertos atendidos por partera,2016-05-01,4,4
SAN LUCAS,atencion de partos en domicilio,nacidos muertos atendidos por partera,2016-06-01,2,2
MOROCHATA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2016-07-01,2,2
PUERTO CARABUCO,atencion de partos en domicilio,nacidos muertos atendidos por partera,2016-07-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2016-07-01,1,1
TINGUIPAYA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2016-07-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,nacidos muertos atendidos por partera,2016-08-01,1,1
TOLEDO,atencion de partos en domicilio,nacidos muertos atendidos por partera,2016-08-01,1,1
VILLA TUNARI,atencion de partos en domicilio,nacidos muertos atendidos por partera,2016-08-01,1,1
ANCORAIMES,atencion de partos en domicilio,nacidos muertos atendidos por partera,2016-09-01,1,1
ORURO,atencion de partos en domicilio,nacidos muertos atendidos por partera,2016-09-01,1,1
SAN ANTONIO DE LOMERIO,atencion de partos en domicilio,nacidos muertos atendidos por partera,2016-09-01,1,1
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2016-09-01,1,1
TINGUIPAYA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2016-09-01,1,1
CAQUIAVIRI,atencion de partos en domicilio,nacidos muertos atendidos por partera,2016-10-01,1,1
MOCOMOCO,atencion de partos en domicilio,nacidos muertos atendidos por partera,2016-10-01,1,1
SAN BORJA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2016-10-01,2,2
SAN LUCAS,atencion de partos en domicilio,nacidos muertos atendidos por partera,2016-10-01,1,1
TINGUIPAYA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2016-10-01,1,1
COIPASA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2016-11-01,1,1
EL ALTO,atencion de partos en domicilio,nacidos muertos atendidos por partera,2016-11-01,1,1
MONTEAGUDO,atencion de partos en domicilio,nacidos muertos atendidos por partera,2016-11-01,1,1
POCONA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2016-11-01,1,1
PUERTO CARABUCO,atencion de partos en domicilio,nacidos muertos atendidos por partera,2016-11-01,1,1
SAN IGNACIO,atencion de partos en domicilio,nacidos muertos atendidos por partera,2016-11-01,1,1
TAPACARI,atencion de partos en domicilio,nacidos muertos atendidos por partera,2016-11-01,1,1
UYUNI,atencion de partos en domicilio,nacidos muertos atendidos por partera,2016-11-01,1,1
BOLIVAR,atencion de partos en domicilio,nacidos muertos atendidos por partera,2016-12-01,1,1
COLQUECHACA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2016-12-01,1,1
PORCO,atencion de partos en domicilio,nacidos muertos atendidos por partera,2016-12-01,1,1
PUNA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2016-12-01,1,1
RAVELO,atencion de partos en domicilio,nacidos muertos atendidos por partera,2016-12-01,1,1
TINGUIPAYA,atencion de partos en domicilio,nacidos muertos atendidos por partera,2016-12-01,7,7
WARNES,atencion de partos en domicilio,nacidos muertos atendidos por partera,2016-12-01,1,1
