municipality,group,variable,month,Consultas nuevas en menores de 5 años,TOTAL
ACACIO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2008-01-01,49,49
ACHACACHI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2008-01-01,116,116
ACHOCALLA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2008-01-01,95,95
AIQUILE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2008-01-01,65,65
ALCALA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2008-01-01,173,173
ANCORAIMES,atenciones odontologicas,consultas nuevas en menores de 5 anos,2008-01-01,51,51
ANDAMARCA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2008-01-01,27,27
ANTEQUERA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2008-01-01,24,24
ANZALDO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2008-01-01,11,11
APOLO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2008-01-01,27,27
ARAMPAMPA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2008-01-01,9,9
ARANI,atenciones odontologicas,consultas nuevas en menores de 5 anos,2008-01-01,6,6
ARBIETO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2008-01-01,12,12
ARQUE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2008-01-01,5,5
ASCENCION DE GUARAYOS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2008-01-01,13,13
ATOCHA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2008-01-01,36,36
AUCAPATA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2008-01-01,1,1
AYATA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2008-01-01,4,4
AYO AYO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2008-01-01,83,83
AYOPAYA (V. DE INDEPENDENCIA),atenciones odontologicas,consultas nuevas en menores de 5 anos,2008-01-01,76,76
BATALLAS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2008-01-01,34,34
BAURES,atenciones odontologicas,consultas nuevas en menores de 5 anos,2008-01-01,22,22
BERMEJO,atenciones odontologicas,consultas nuevas en menores de 5 anos,2008-01-01,125,125
BETANZOS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2008-01-01,30,30
BOLIVAR,atenciones odontologicas,consultas nuevas en menores de 5 anos,2008-01-01,1,1
BOLPEBRA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2008-01-01,21,21
BOYUIBE,atenciones odontologicas,consultas nuevas en menores de 5 anos,2008-01-01,1,1
BUENA VISTA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2008-01-01,12,12
CABEZAS,atenciones odontologicas,consultas nuevas en menores de 5 anos,2008-01-01,163,163
CAIROMA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2008-01-01,57,57
"CAIZA ""D""",atenciones odontologicas,consultas nuevas en menores de 5 anos,2008-01-01,6,6
CAJUATA,atenciones odontologicas,consultas nuevas en menores de 5 anos,2008-01-01,10,10
