municipality,group,variable,month,Primeras consultas,TOTAL
ACACIO,atenciones odontologicas,primeras consultas,2008-01-01,72,72
ACHACACHI,atenciones odontologicas,primeras consultas,2008-01-01,220,220
ACHOCALLA,atenciones odontologicas,primeras consultas,2008-01-01,83,83
AIQUILE,atenciones odontologicas,primeras consultas,2008-01-01,89,89
ALCALA,atenciones odontologicas,primeras consultas,2008-01-01,2,2
ANCORAIMES,atenciones odontologicas,primeras consultas,2008-01-01,117,117
ANDAMARCA,atenciones odontologicas,primeras consultas,2008-01-01,119,119
ANTEQUERA,atenciones odontologicas,primeras consultas,2008-01-01,93,93
ANZALDO,atenciones odontologicas,primeras consultas,2008-01-01,85,85
APOLO,atenciones odontologicas,primeras consultas,2008-01-01,47,47
ARAMPAMPA,atenciones odontologicas,primeras consultas,2008-01-01,7,7
ARANI,atenciones odontologicas,primeras consultas,2008-01-01,66,66
ARBIETO,atenciones odontologicas,primeras consultas,2008-01-01,23,23
ARQUE,atenciones odontologicas,primeras consultas,2008-01-01,24,24
ASCENCION DE GUARAYOS,atenciones odontologicas,primeras consultas,2008-01-01,137,137
ATOCHA,atenciones odontologicas,primeras consultas,2008-01-01,785,785
AYATA,atenciones odontologicas,primeras consultas,2008-01-01,43,43
AYO AYO,atenciones odontologicas,primeras consultas,2008-01-01,47,47
AYOPAYA (V. DE INDEPENDENCIA),atenciones odontologicas,primeras consultas,2008-01-01,130,130
BATALLAS,atenciones odontologicas,primeras consultas,2008-01-01,6,6
BERMEJO,atenciones odontologicas,primeras consultas,2008-01-01,531,531
BETANZOS,atenciones odontologicas,primeras consultas,2008-01-01,79,79
BOLIVAR,atenciones odontologicas,primeras consultas,2008-01-01,28,28
BUENA VISTA,atenciones odontologicas,primeras consultas,2008-01-01,98,98
CABEZAS,atenciones odontologicas,primeras consultas,2008-01-01,257,257
CAIROMA,atenciones odontologicas,primeras consultas,2008-01-01,274,274
"CAIZA ""D""",atenciones odontologicas,primeras consultas,2008-01-01,98,98
CAJUATA,atenciones odontologicas,primeras consultas,2008-01-01,65,65
CALACOTO,atenciones odontologicas,primeras consultas,2008-01-01,74,74
CALAMARCA,atenciones odontologicas,primeras consultas,2008-01-01,126,126
CAMARGO,atenciones odontologicas,primeras consultas,2008-01-01,146,146
CAMATAQUI (C. VILLA ABECIA),atenciones odontologicas,primeras consultas,2008-01-01,54,54
CAMIRI,atenciones odontologicas,primeras consultas,2008-01-01,711,711
CAPINOTA,atenciones odontologicas,primeras consultas,2008-01-01,71,71
CAQUIAVIRI,atenciones odontologicas,primeras consultas,2008-01-01,66,66
CARACOLLO,atenciones odontologicas,primeras consultas,2008-01-01,243,243
CARANAVI,atenciones odontologicas,primeras consultas,2008-01-01,243,243
CARAPARI,atenciones odontologicas,primeras consultas,2008-01-01,303,303
CARIPUYO,atenciones odontologicas,primeras consultas,2008-01-01,85,85
CARMEN RIVERO TORREZ,atenciones odontologicas,primeras consultas,2008-01-01,27,27
CATACORA,atenciones odontologicas,primeras consultas,2008-01-01,18,18
CHALLAPATA,atenciones odontologicas,primeras consultas,2008-01-01,63,63
CHAQUI,atenciones odontologicas,primeras consultas,2008-01-01,30,30
CHARAGUA,atenciones odontologicas,primeras consultas,2008-01-01,401,401
CHAYANTA,atenciones odontologicas,primeras consultas,2008-01-01,101,101
CHIMORE,atenciones odontologicas,primeras consultas,2008-01-01,101,101
CHULUMANI (V. DE LA LIBERTAD),atenciones odontologicas,primeras consultas,2008-01-01,168,168
CHUMA,atenciones odontologicas,primeras consultas,2008-01-01,161,161
CLIZA,atenciones odontologicas,primeras consultas,2008-01-01,60,60
COBIJA,atenciones odontologicas,primeras consultas,2008-01-01,432,432
COCHABAMBA,atenciones odontologicas,primeras consultas,2008-01-01,4765,4765
COIPASA,atenciones odontologicas,primeras consultas,2008-01-01,4,4
COLCAPIRHUA,atenciones odontologicas,primeras consultas,2008-01-01,234,234
"COLCHA ""K""",atenciones odontologicas,primeras consultas,2008-01-01,46,46
COLLANA,atenciones odontologicas,primeras consultas,2008-01-01,11,11
COLOMI,atenciones odontologicas,primeras consultas,2008-01-01,62,62
COLPA BELGICA,atenciones odontologicas,primeras consultas,2008-01-01,80,80
COLQUECHACA,atenciones odontologicas,primeras consultas,2008-01-01,146,146
COLQUIRI,atenciones odontologicas,primeras consultas,2008-01-01,184,184
COMANCHE,atenciones odontologicas,primeras consultas,2008-01-01,50,50
COMARAPA,atenciones odontologicas,primeras consultas,2008-01-01,145,145
CONCEPCION,atenciones odontologicas,primeras consultas,2008-01-01,155,155
COPACABANA,atenciones odontologicas,primeras consultas,2008-01-01,74,74
CORIPATA,atenciones odontologicas,primeras consultas,2008-01-01,95,95
CORO CORO,atenciones odontologicas,primeras consultas,2008-01-01,58,58
COROICO,atenciones odontologicas,primeras consultas,2008-01-01,25,25
CORQUE,atenciones odontologicas,primeras consultas,2008-01-01,14,14
COTAGAITA,atenciones odontologicas,primeras consultas,2008-01-01,21,21
COTOCA,atenciones odontologicas,primeras consultas,2008-01-01,60,60
CUCHUMUELA (V. G. VILLARROEL),atenciones odontologicas,primeras consultas,2008-01-01,34,34
CUEVO,atenciones odontologicas,primeras consultas,2008-01-01,104,104
CULPINA,atenciones odontologicas,primeras consultas,2008-01-01,163,163
CURAHUARA DE CARANGAS,atenciones odontologicas,primeras consultas,2008-01-01,68,68
CURVA,atenciones odontologicas,primeras consultas,2008-01-01,8,8
DESAGUADERO,atenciones odontologicas,primeras consultas,2008-01-01,6,6
EL ALTO,atenciones odontologicas,primeras consultas,2008-01-01,6347,6347
EL PUENTE(STC),atenciones odontologicas,primeras consultas,2008-01-01,49,49
EL PUENTE(TJA),atenciones odontologicas,primeras consultas,2008-01-01,188,188
EL TORNO,atenciones odontologicas,primeras consultas,2008-01-01,249,249
EL VILLAR,atenciones odontologicas,primeras consultas,2008-01-01,50,50
ENTRE RIOS,atenciones odontologicas,primeras consultas,2008-01-01,154,154
ENTRE RIOS,atenciones odontologicas,primeras consultas,2008-01-01,210,210
EUCALIPTUS,atenciones odontologicas,primeras consultas,2008-01-01,11,11
FERNANDEZ ALONSO,atenciones odontologicas,primeras consultas,2008-01-01,36,36
FILADELFIA,atenciones odontologicas,primeras consultas,2008-01-01,14,14
GENERAL SAAVEDRA,atenciones odontologicas,primeras consultas,2008-01-01,117,117
GRAL. J.J. PEREZ (CHARAZANI),atenciones odontologicas,primeras consultas,2008-01-01,163,163
GUANAY,atenciones odontologicas,primeras consultas,2008-01-01,159,159
GUAQUI,atenciones odontologicas,primeras consultas,2008-01-01,159,159
GUAYARAMERIN,atenciones odontologicas,primeras consultas,2008-01-01,308,308
GUTIERREZ,atenciones odontologicas,primeras consultas,2008-01-01,166,166
HUACAYA (VILLA DE HUACAYA),atenciones odontologicas,primeras consultas,2008-01-01,8,8
HUACHACALLA,atenciones odontologicas,primeras consultas,2008-01-01,86,86
HUANUNI,atenciones odontologicas,primeras consultas,2008-01-01,239,239
HUARACAJE,atenciones odontologicas,primeras consultas,2008-01-01,5,5
HUAYLLAMARCA,atenciones odontologicas,primeras consultas,2008-01-01,36,36
ICHOCA,atenciones odontologicas,primeras consultas,2008-01-01,54,54
ICLA,atenciones odontologicas,primeras consultas,2008-01-01,93,93
INCAHUASI,atenciones odontologicas,primeras consultas,2008-01-01,202,202
INQUISIVI,atenciones odontologicas,primeras consultas,2008-01-01,87,87
IRUPANA (VILLA DE LANZA),atenciones odontologicas,primeras consultas,2008-01-01,166,166
IXIAMAS,atenciones odontologicas,primeras consultas,2008-01-01,128,128
JESUS DE MACHACA,atenciones odontologicas,primeras consultas,2008-01-01,135,135
LA ASUNTA,atenciones odontologicas,primeras consultas,2008-01-01,76,76
LA GUARDIA,atenciones odontologicas,primeras consultas,2008-01-01,163,163
LA PAZ,atenciones odontologicas,primeras consultas,2008-01-01,8044,8044
LAGUNILLAS,atenciones odontologicas,primeras consultas,2008-01-01,211,211
LAJA,atenciones odontologicas,primeras consultas,2008-01-01,198,198
LICOMA PAMPA,atenciones odontologicas,primeras consultas,2008-01-01,51,51
LLALLAGUA,atenciones odontologicas,primeras consultas,2008-01-01,499,499
LLICA,atenciones odontologicas,primeras consultas,2008-01-01,21,21
LURIBAY,atenciones odontologicas,primeras consultas,2008-01-01,76,76
MACHACAMARCA,atenciones odontologicas,primeras consultas,2008-01-01,128,128
MACHARETI,atenciones odontologicas,primeras consultas,2008-01-01,62,62
MAGDALENA,atenciones odontologicas,primeras consultas,2008-01-01,33,33
MAIRANA,atenciones odontologicas,primeras consultas,2008-01-01,38,38
MAPIRI,atenciones odontologicas,primeras consultas,2008-01-01,105,105
MECAPACA,atenciones odontologicas,primeras consultas,2008-01-01,83,83
MINEROS,atenciones odontologicas,primeras consultas,2008-01-01,30,30
MIZQUE,atenciones odontologicas,primeras consultas,2008-01-01,39,39
MOCOMOCO,atenciones odontologicas,primeras consultas,2008-01-01,95,95
MOJOCOYA,atenciones odontologicas,primeras consultas,2008-01-01,43,43
MONTEAGUDO,atenciones odontologicas,primeras consultas,2008-01-01,195,195
MONTERO,atenciones odontologicas,primeras consultas,2008-01-01,448,448
MORO MORO,atenciones odontologicas,primeras consultas,2008-01-01,92,92
MOROCHATA,atenciones odontologicas,primeras consultas,2008-01-01,120,120
OKINAWA,atenciones odontologicas,primeras consultas,2008-01-01,104,104
OMEREQUE,atenciones odontologicas,primeras consultas,2008-01-01,11,11
ORURO,atenciones odontologicas,primeras consultas,2008-01-01,2858,2858
PADCAYA,atenciones odontologicas,primeras consultas,2008-01-01,296,296
PADILLA,atenciones odontologicas,primeras consultas,2008-01-01,141,141
PAILON,atenciones odontologicas,primeras consultas,2008-01-01,100,100
PALCA,atenciones odontologicas,primeras consultas,2008-01-01,197,197
PALOS BLANCOS,atenciones odontologicas,primeras consultas,2008-01-01,227,227
PAMPA AULLAGAS,atenciones odontologicas,primeras consultas,2008-01-01,44,44
PAPEL PAMPA,atenciones odontologicas,primeras consultas,2008-01-01,17,17
PASORAPA,atenciones odontologicas,primeras consultas,2008-01-01,23,23
PATACAMAYA,atenciones odontologicas,primeras consultas,2008-01-01,82,82
PAZÑA,atenciones odontologicas,primeras consultas,2008-01-01,76,76
PELECHUCO,atenciones odontologicas,primeras consultas,2008-01-01,35,35
POCOATA,atenciones odontologicas,primeras consultas,2008-01-01,45,45
POCONA,atenciones odontologicas,primeras consultas,2008-01-01,13,13
POJO (CBBA),atenciones odontologicas,primeras consultas,2008-01-01,41,41
POOPO,atenciones odontologicas,primeras consultas,2008-01-01,79,79
PORCO,atenciones odontologicas,primeras consultas,2008-01-01,55,55
POROMA,atenciones odontologicas,primeras consultas,2008-01-01,44,44
PORONGO,atenciones odontologicas,primeras consultas,2008-01-01,2,2
PORTACHUELO,atenciones odontologicas,primeras consultas,2008-01-01,95,95
PORVENIR,atenciones odontologicas,primeras consultas,2008-01-01,52,52
POSTRER VALLE,atenciones odontologicas,primeras consultas,2008-01-01,33,33
POTOSI,atenciones odontologicas,primeras consultas,2008-01-01,1857,1857
PUCARA,atenciones odontologicas,primeras consultas,2008-01-01,33,33
PUCARANI,atenciones odontologicas,primeras consultas,2008-01-01,152,152
PUERTO ACOSTA,atenciones odontologicas,primeras consultas,2008-01-01,137,137
PUERTO CARABUCO,atenciones odontologicas,primeras consultas,2008-01-01,196,196
PUERTO GONZALO MORENO,atenciones odontologicas,primeras consultas,2008-01-01,28,28
PUERTO PEREZ,atenciones odontologicas,primeras consultas,2008-01-01,38,38
PUERTO QUIJARRO,atenciones odontologicas,primeras consultas,2008-01-01,19,19
PUERTO RICO,atenciones odontologicas,primeras consultas,2008-01-01,61,61
PUERTO SUAREZ,atenciones odontologicas,primeras consultas,2008-01-01,289,289
PUERTO VILLARROEL,atenciones odontologicas,primeras consultas,2008-01-01,281,281
PUNA,atenciones odontologicas,primeras consultas,2008-01-01,162,162
PUNATA,atenciones odontologicas,primeras consultas,2008-01-01,134,134
QUIABAYA,atenciones odontologicas,primeras consultas,2008-01-01,4,4
QUILLACOLLO,atenciones odontologicas,primeras consultas,2008-01-01,677,677
QUIME,atenciones odontologicas,primeras consultas,2008-01-01,259,259
QUIRUSILLAS,atenciones odontologicas,primeras consultas,2008-01-01,63,63
RIBERALTA,atenciones odontologicas,primeras consultas,2008-01-01,410,410
ROBORE,atenciones odontologicas,primeras consultas,2008-01-01,15,15
RURRENABAQUE,atenciones odontologicas,primeras consultas,2008-01-01,15,15
SABAYA,atenciones odontologicas,primeras consultas,2008-01-01,68,68
SACABA,atenciones odontologicas,primeras consultas,2008-01-01,617,617
SAIPINA,atenciones odontologicas,primeras consultas,2008-01-01,239,239
SALINAS DE GARCI MENDOZA,atenciones odontologicas,primeras consultas,2008-01-01,96,96
SAMAIPATA,atenciones odontologicas,primeras consultas,2008-01-01,10,10
SAN AGUSTIN,atenciones odontologicas,primeras consultas,2008-01-01,30,30
SAN ANDRES,atenciones odontologicas,primeras consultas,2008-01-01,22,22
SAN ANDRES DE MACHACA,atenciones odontologicas,primeras consultas,2008-01-01,71,71
SAN ANTONIO DE LOMERIO,atenciones odontologicas,primeras consultas,2008-01-01,98,98
SAN BENITO,atenciones odontologicas,primeras consultas,2008-01-01,245,245
SAN BORJA,atenciones odontologicas,primeras consultas,2008-01-01,176,176
SAN BUENA VENTURA,atenciones odontologicas,primeras consultas,2008-01-01,60,60
SAN CARLOS,atenciones odontologicas,primeras consultas,2008-01-01,184,184
SAN IGNACIO,atenciones odontologicas,primeras consultas,2008-01-01,187,187
SAN IGNACIO DE VELASCO,atenciones odontologicas,primeras consultas,2008-01-01,301,301
SAN JAVIER(BNI),atenciones odontologicas,primeras consultas,2008-01-01,26,26
SAN JAVIER(STC),atenciones odontologicas,primeras consultas,2008-01-01,60,60
SAN JOAQUIN,atenciones odontologicas,primeras consultas,2008-01-01,153,153
SAN JOSE DE CHIQUITOS,atenciones odontologicas,primeras consultas,2008-01-01,70,70
SAN JUAN DE YAPACANI,atenciones odontologicas,primeras consultas,2008-01-01,114,114
SAN LORENZO(TJA),atenciones odontologicas,primeras consultas,2008-01-01,565,565
SAN LUCAS,atenciones odontologicas,primeras consultas,2008-01-01,179,179
SAN MATIAS,atenciones odontologicas,primeras consultas,2008-01-01,205,205
SAN MIGUEL DE VELASCO,atenciones odontologicas,primeras consultas,2008-01-01,67,67
SAN PEDRO,atenciones odontologicas,primeras consultas,2008-01-01,22,22
SAN PEDRO DE BUENA VISTA,atenciones odontologicas,primeras consultas,2008-01-01,83,83
SAN PEDRO DE CURAHUARA,atenciones odontologicas,primeras consultas,2008-01-01,38,38
SAN PEDRO DE TIQUINA,atenciones odontologicas,primeras consultas,2008-01-01,69,69
SAN RAFAEL,atenciones odontologicas,primeras consultas,2008-01-01,64,64
SAN RAMON,atenciones odontologicas,primeras consultas,2008-01-01,94,94
SAN RAMON,atenciones odontologicas,primeras consultas,2008-01-01,59,59
SANTA ANA,atenciones odontologicas,primeras consultas,2008-01-01,201,201
SANTA CRUZ DE LA SIERRA,atenciones odontologicas,primeras consultas,2008-01-01,9786,9786
SANTA ROSA DEL SARA,atenciones odontologicas,primeras consultas,2008-01-01,437,437
SANTIAGO DE CALLAPA,atenciones odontologicas,primeras consultas,2008-01-01,16,16
SANTIAGO DE HUARI,atenciones odontologicas,primeras consultas,2008-01-01,43,43
SANTIAGO DE MACHACA,atenciones odontologicas,primeras consultas,2008-01-01,52,52
SANTUARIO DE QUILLACAS,atenciones odontologicas,primeras consultas,2008-01-01,59,59
SAPAHAQUI,atenciones odontologicas,primeras consultas,2008-01-01,23,23
SENA,atenciones odontologicas,primeras consultas,2008-01-01,3,3
SICA SICA (VILLA AROMA),atenciones odontologicas,primeras consultas,2008-01-01,203,203
SICAYA,atenciones odontologicas,primeras consultas,2008-01-01,14,14
SIPE SIPE,atenciones odontologicas,primeras consultas,2008-01-01,288,288
SORACACHI,atenciones odontologicas,primeras consultas,2008-01-01,68,68
SORATA,atenciones odontologicas,primeras consultas,2008-01-01,134,134
SUCRE,atenciones odontologicas,primeras consultas,2008-01-01,2918,2918
TACACOMA,atenciones odontologicas,primeras consultas,2008-01-01,74,74
TACOPAYA,atenciones odontologicas,primeras consultas,2008-01-01,55,55
TAPACARI,atenciones odontologicas,primeras consultas,2008-01-01,129,129
TARABUCO,atenciones odontologicas,primeras consultas,2008-01-01,999,999
TARACO,atenciones odontologicas,primeras consultas,2008-01-01,50,50
TARATA,atenciones odontologicas,primeras consultas,2008-01-01,66,66
TARIJA,atenciones odontologicas,primeras consultas,2008-01-01,2012,2012
TARVITA,atenciones odontologicas,primeras consultas,2008-01-01,223,223
TEOPONTE,atenciones odontologicas,primeras consultas,2008-01-01,49,49
TIAWANACU,atenciones odontologicas,primeras consultas,2008-01-01,122,122
TINGUIPAYA,atenciones odontologicas,primeras consultas,2008-01-01,103,103
