municipality,group,variable,month,Endodoncias,TOTAL
ACHACACHI,atenciones odontologicas,endodoncias,2008-01-01,15,15
ACHOCALLA,atenciones odontologicas,endodoncias,2008-01-01,4,4
AIQUILE,atenciones odontologicas,endodoncias,2008-01-01,42,42
ANDAMARCA,atenciones odontologicas,endodoncias,2008-01-01,5,5
ANTEQUERA,atenciones odontologicas,endodoncias,2008-01-01,1,1
ANZALDO,atenciones odontologicas,endodoncias,2008-01-01,5,5
APOLO,atenciones odontologicas,endodoncias,2008-01-01,4,4
ARAMPAMPA,atenciones odontologicas,endodoncias,2008-01-01,2,2
ARANI,atenciones odontologicas,endodoncias,2008-01-01,5,5
ASCENCION DE GUARAYOS,atenciones odontologicas,endodoncias,2008-01-01,2,2
ATOCHA,atenciones odontologicas,endodoncias,2008-01-01,41,41
AYATA,atenciones odontologicas,endodoncias,2008-01-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),atenciones odontologicas,endodoncias,2008-01-01,4,4
BATALLAS,atenciones odontologicas,endodoncias,2008-01-01,5,5
BAURES,atenciones odontologicas,endodoncias,2008-01-01,7,7
BERMEJO,atenciones odontologicas,endodoncias,2008-01-01,77,77
BETANZOS,atenciones odontologicas,endodoncias,2008-01-01,6,6
BOLIVAR,atenciones odontologicas,endodoncias,2008-01-01,4,4
CABEZAS,atenciones odontologicas,endodoncias,2008-01-01,1,1
CALAMARCA,atenciones odontologicas,endodoncias,2008-01-01,1,1
CAMARGO,atenciones odontologicas,endodoncias,2008-01-01,5,5
CAMATAQUI (C. VILLA ABECIA),atenciones odontologicas,endodoncias,2008-01-01,9,9
CAMIRI,atenciones odontologicas,endodoncias,2008-01-01,88,88
CAPINOTA,atenciones odontologicas,endodoncias,2008-01-01,39,39
CARACOLLO,atenciones odontologicas,endodoncias,2008-01-01,10,10
CARANAVI,atenciones odontologicas,endodoncias,2008-01-01,14,14
CARAPARI,atenciones odontologicas,endodoncias,2008-01-01,15,15
CARIPUYO,atenciones odontologicas,endodoncias,2008-01-01,1,1
CARMEN RIVERO TORREZ,atenciones odontologicas,endodoncias,2008-01-01,3,3
CHALLAPATA,atenciones odontologicas,endodoncias,2008-01-01,27,27
CHAQUI,atenciones odontologicas,endodoncias,2008-01-01,8,8
CHARAGUA,atenciones odontologicas,endodoncias,2008-01-01,3,3
CHAYANTA,atenciones odontologicas,endodoncias,2008-01-01,8,8
CHIMORE,atenciones odontologicas,endodoncias,2008-01-01,7,7
CHULUMANI (V. DE LA LIBERTAD),atenciones odontologicas,endodoncias,2008-01-01,53,53
CLIZA,atenciones odontologicas,endodoncias,2008-01-01,40,40
COBIJA,atenciones odontologicas,endodoncias,2008-01-01,41,41
COCHABAMBA,atenciones odontologicas,endodoncias,2008-01-01,1550,1550
COLCAPIRHUA,atenciones odontologicas,endodoncias,2008-01-01,29,29
"COLCHA ""K""",atenciones odontologicas,endodoncias,2008-01-01,1,1
COLOMI,atenciones odontologicas,endodoncias,2008-01-01,3,3
COLPA BELGICA,atenciones odontologicas,endodoncias,2008-01-01,22,22
COLQUECHACA,atenciones odontologicas,endodoncias,2008-01-01,10,10
COLQUENCHA,atenciones odontologicas,endodoncias,2008-01-01,3,3
COLQUIRI,atenciones odontologicas,endodoncias,2008-01-01,7,7
COMANCHE,atenciones odontologicas,endodoncias,2008-01-01,5,5
COMARAPA,atenciones odontologicas,endodoncias,2008-01-01,92,92
CONCEPCION,atenciones odontologicas,endodoncias,2008-01-01,1,1
COPACABANA,atenciones odontologicas,endodoncias,2008-01-01,8,8
CORIPATA,atenciones odontologicas,endodoncias,2008-01-01,2,2
CORO CORO,atenciones odontologicas,endodoncias,2008-01-01,22,22
COROICO,atenciones odontologicas,endodoncias,2008-01-01,46,46
CORQUE,atenciones odontologicas,endodoncias,2008-01-01,3,3
COTOCA,atenciones odontologicas,endodoncias,2008-01-01,7,7
CUEVO,atenciones odontologicas,endodoncias,2008-01-01,3,3
CULPINA,atenciones odontologicas,endodoncias,2008-01-01,12,12
CURAHUARA DE CARANGAS,atenciones odontologicas,endodoncias,2008-01-01,13,13
EL ALTO,atenciones odontologicas,endodoncias,2008-01-01,1370,1370
EL PUENTE(STC),atenciones odontologicas,endodoncias,2008-01-01,4,4
EL PUENTE(TJA),atenciones odontologicas,endodoncias,2008-01-01,13,13
EL TORNO,atenciones odontologicas,endodoncias,2008-01-01,32,32
ENTRE RIOS,atenciones odontologicas,endodoncias,2008-01-01,3,3
ENTRE RIOS,atenciones odontologicas,endodoncias,2008-01-01,14,14
EUCALIPTUS,atenciones odontologicas,endodoncias,2008-01-01,1,1
FERNANDEZ ALONSO,atenciones odontologicas,endodoncias,2008-01-01,9,9
FILADELFIA,atenciones odontologicas,endodoncias,2008-01-01,1,1
GENERAL SAAVEDRA,atenciones odontologicas,endodoncias,2008-01-01,24,24
GRAL. J.J. PEREZ (CHARAZANI),atenciones odontologicas,endodoncias,2008-01-01,9,9
GUANAY,atenciones odontologicas,endodoncias,2008-01-01,27,27
GUAYARAMERIN,atenciones odontologicas,endodoncias,2008-01-01,70,70
GUTIERREZ,atenciones odontologicas,endodoncias,2008-01-01,27,27
HUACARETA,atenciones odontologicas,endodoncias,2008-01-01,9,9
HUACHACALLA,atenciones odontologicas,endodoncias,2008-01-01,4,4
HUANUNI,atenciones odontologicas,endodoncias,2008-01-01,54,54
HUARACAJE,atenciones odontologicas,endodoncias,2008-01-01,10,10
HUAYLLAMARCA,atenciones odontologicas,endodoncias,2008-01-01,11,11
ICLA,atenciones odontologicas,endodoncias,2008-01-01,32,32
INCAHUASI,atenciones odontologicas,endodoncias,2008-01-01,2,2
INQUISIVI,atenciones odontologicas,endodoncias,2008-01-01,1,1
IRUPANA (VILLA DE LANZA),atenciones odontologicas,endodoncias,2008-01-01,5,5
IXIAMAS,atenciones odontologicas,endodoncias,2008-01-01,8,8
JESUS DE MACHACA,atenciones odontologicas,endodoncias,2008-01-01,2,2
LA ASUNTA,atenciones odontologicas,endodoncias,2008-01-01,7,7
LA GUARDIA,atenciones odontologicas,endodoncias,2008-01-01,13,13
LA PAZ,atenciones odontologicas,endodoncias,2008-01-01,1817,1817
LAGUNILLAS,atenciones odontologicas,endodoncias,2008-01-01,9,9
LAJA,atenciones odontologicas,endodoncias,2008-01-01,4,4
LICOMA PAMPA,atenciones odontologicas,endodoncias,2008-01-01,1,1
LLALLAGUA,atenciones odontologicas,endodoncias,2008-01-01,47,47
MACHACAMARCA,atenciones odontologicas,endodoncias,2008-01-01,16,16
MAGDALENA,atenciones odontologicas,endodoncias,2008-01-01,7,7
MAIRANA,atenciones odontologicas,endodoncias,2008-01-01,6,6
MAPIRI,atenciones odontologicas,endodoncias,2008-01-01,12,12
MECAPACA,atenciones odontologicas,endodoncias,2008-01-01,19,19
MINEROS,atenciones odontologicas,endodoncias,2008-01-01,2,2
MIZQUE,atenciones odontologicas,endodoncias,2008-01-01,15,15
MOJOCOYA,atenciones odontologicas,endodoncias,2008-01-01,1,1
MONTEAGUDO,atenciones odontologicas,endodoncias,2008-01-01,29,29
MONTERO,atenciones odontologicas,endodoncias,2008-01-01,38,38
MOROCHATA,atenciones odontologicas,endodoncias,2008-01-01,11,11
OCURI,atenciones odontologicas,endodoncias,2008-01-01,2,2
OKINAWA,atenciones odontologicas,endodoncias,2008-01-01,1,1
ORURO,atenciones odontologicas,endodoncias,2008-01-01,648,648
PADCAYA,atenciones odontologicas,endodoncias,2008-01-01,9,9
PADILLA,atenciones odontologicas,endodoncias,2008-01-01,2,2
PAILON,atenciones odontologicas,endodoncias,2008-01-01,2,2
PALCA,atenciones odontologicas,endodoncias,2008-01-01,25,25
PASORAPA,atenciones odontologicas,endodoncias,2008-01-01,1,1
PATACAMAYA,atenciones odontologicas,endodoncias,2008-01-01,6,6
PAZÑA,atenciones odontologicas,endodoncias,2008-01-01,3,3
POCOATA,atenciones odontologicas,endodoncias,2008-01-01,1,1
POJO (CBBA),atenciones odontologicas,endodoncias,2008-01-01,3,3
POOPO,atenciones odontologicas,endodoncias,2008-01-01,12,12
PORCO,atenciones odontologicas,endodoncias,2008-01-01,6,6
PORONGO,atenciones odontologicas,endodoncias,2008-01-01,1,1
PORTACHUELO,atenciones odontologicas,endodoncias,2008-01-01,2,2
PORVENIR,atenciones odontologicas,endodoncias,2008-01-01,9,9
POTOSI,atenciones odontologicas,endodoncias,2008-01-01,203,203
PUCARA,atenciones odontologicas,endodoncias,2008-01-01,1,1
PUCARANI,atenciones odontologicas,endodoncias,2008-01-01,2,2
PUERTO ACOSTA,atenciones odontologicas,endodoncias,2008-01-01,125,125
PUERTO CARABUCO,atenciones odontologicas,endodoncias,2008-01-01,4,4
PUERTO QUIJARRO,atenciones odontologicas,endodoncias,2008-01-01,4,4
PUERTO SUAREZ,atenciones odontologicas,endodoncias,2008-01-01,21,21
PUERTO VILLARROEL,atenciones odontologicas,endodoncias,2008-01-01,120,120
PUNA,atenciones odontologicas,endodoncias,2008-01-01,7,7
PUNATA,atenciones odontologicas,endodoncias,2008-01-01,87,87
QUILLACOLLO,atenciones odontologicas,endodoncias,2008-01-01,153,153
QUIME,atenciones odontologicas,endodoncias,2008-01-01,12,12
QUIRUSILLAS,atenciones odontologicas,endodoncias,2008-01-01,5,5
REYES,atenciones odontologicas,endodoncias,2008-01-01,15,15
RIBERALTA,atenciones odontologicas,endodoncias,2008-01-01,34,34
RURRENABAQUE,atenciones odontologicas,endodoncias,2008-01-01,5,5
SACABA,atenciones odontologicas,endodoncias,2008-01-01,139,139
SAIPINA,atenciones odontologicas,endodoncias,2008-01-01,35,35
SALINAS DE GARCI MENDOZA,atenciones odontologicas,endodoncias,2008-01-01,4,4
SAN AGUSTIN,atenciones odontologicas,endodoncias,2008-01-01,1,1
SAN ANDRES,atenciones odontologicas,endodoncias,2008-01-01,8,8
SAN ANTONIO DE LOMERIO,atenciones odontologicas,endodoncias,2008-01-01,2,2
SAN BENITO,atenciones odontologicas,endodoncias,2008-01-01,228,228
SAN BORJA,atenciones odontologicas,endodoncias,2008-01-01,8,8
SAN BUENA VENTURA,atenciones odontologicas,endodoncias,2008-01-01,2,2
SAN CARLOS,atenciones odontologicas,endodoncias,2008-01-01,27,27
SAN IGNACIO,atenciones odontologicas,endodoncias,2008-01-01,24,24
SAN IGNACIO DE VELASCO,atenciones odontologicas,endodoncias,2008-01-01,78,78
SAN JOAQUIN,atenciones odontologicas,endodoncias,2008-01-01,3,3
SAN JUAN DE YAPACANI,atenciones odontologicas,endodoncias,2008-01-01,34,34
SAN LORENZO(TJA),atenciones odontologicas,endodoncias,2008-01-01,104,104
SAN LUCAS,atenciones odontologicas,endodoncias,2008-01-01,6,6
SAN MATIAS,atenciones odontologicas,endodoncias,2008-01-01,24,24
SAN MIGUEL DE VELASCO,atenciones odontologicas,endodoncias,2008-01-01,15,15
SAN PEDRO,atenciones odontologicas,endodoncias,2008-01-01,6,6
SAN PEDRO DE BUENA VISTA,atenciones odontologicas,endodoncias,2008-01-01,2,2
SAN PEDRO DE TIQUINA,atenciones odontologicas,endodoncias,2008-01-01,3,3
SAN RAFAEL,atenciones odontologicas,endodoncias,2008-01-01,12,12
SAN RAMON,atenciones odontologicas,endodoncias,2008-01-01,6,6
SAN RAMON,atenciones odontologicas,endodoncias,2008-01-01,10,10
SANTA ANA,atenciones odontologicas,endodoncias,2008-01-01,19,19
SANTA CRUZ DE LA SIERRA,atenciones odontologicas,endodoncias,2008-01-01,952,952
SANTA ROSA DEL SARA,atenciones odontologicas,endodoncias,2008-01-01,7,7
SANTIAGO DE HUARI,atenciones odontologicas,endodoncias,2008-01-01,12,12
SANTIAGO DE MACHACA,atenciones odontologicas,endodoncias,2008-01-01,1,1
SANTIVAÑES,atenciones odontologicas,endodoncias,2008-01-01,25,25
SANTUARIO DE QUILLACAS,atenciones odontologicas,endodoncias,2008-01-01,8,8
SAPAHAQUI,atenciones odontologicas,endodoncias,2008-01-01,2,2
SENA,atenciones odontologicas,endodoncias,2008-01-01,5,5
SICA SICA (VILLA AROMA),atenciones odontologicas,endodoncias,2008-01-01,14,14
SIPE SIPE,atenciones odontologicas,endodoncias,2008-01-01,100,100
SORACACHI,atenciones odontologicas,endodoncias,2008-01-01,4,4
SORATA,atenciones odontologicas,endodoncias,2008-01-01,3,3
SUCRE,atenciones odontologicas,endodoncias,2008-01-01,991,991
TACACOMA,atenciones odontologicas,endodoncias,2008-01-01,10,10
TARABUCO,atenciones odontologicas,endodoncias,2008-01-01,9,9
TARACO,atenciones odontologicas,endodoncias,2008-01-01,2,2
TARATA,atenciones odontologicas,endodoncias,2008-01-01,9,9
TARIJA,atenciones odontologicas,endodoncias,2008-01-01,905,905
TEOPONTE,atenciones odontologicas,endodoncias,2008-01-01,1,1
TIAWANACU,atenciones odontologicas,endodoncias,2008-01-01,2,2
TIPUANI,atenciones odontologicas,endodoncias,2008-01-01,9,9
TIQUIPAYA,atenciones odontologicas,endodoncias,2008-01-01,66,66
TIRAQUE (CBBA),atenciones odontologicas,endodoncias,2008-01-01,82,82
TOCO,atenciones odontologicas,endodoncias,2008-01-01,4,4
TOLATA,atenciones odontologicas,endodoncias,2008-01-01,3,3
TOLEDO,atenciones odontologicas,endodoncias,2008-01-01,1,1
TOMAVE,atenciones odontologicas,endodoncias,2008-01-01,3,3
TOMINA,atenciones odontologicas,endodoncias,2008-01-01,4,4
TORO TORO,atenciones odontologicas,endodoncias,2008-01-01,1,1
TOTORA(CBBA),atenciones odontologicas,endodoncias,2008-01-01,3,3
TRIGAL,atenciones odontologicas,endodoncias,2008-01-01,5,5
TRINIDAD,atenciones odontologicas,endodoncias,2008-01-01,69,69
TUPIZA,atenciones odontologicas,endodoncias,2008-01-01,37,37
TURCO,atenciones odontologicas,endodoncias,2008-01-01,1,1
UMALA,atenciones odontologicas,endodoncias,2008-01-01,1,1
UNCIA,atenciones odontologicas,endodoncias,2008-01-01,67,67
URIONDO (A. CONCEPCION),atenciones odontologicas,endodoncias,2008-01-01,17,17
URUBICHA,atenciones odontologicas,endodoncias,2008-01-01,14,14
UYUNI,atenciones odontologicas,endodoncias,2008-01-01,62,62
VACAS,atenciones odontologicas,endodoncias,2008-01-01,9,9
VALLEGRANDE,atenciones odontologicas,endodoncias,2008-01-01,97,97
VIACHA,atenciones odontologicas,endodoncias,2008-01-01,30,30
VILLA MONTES,atenciones odontologicas,endodoncias,2008-01-01,123,123
VILLA RIVERO,atenciones odontologicas,endodoncias,2008-01-01,1,1
VILLA SERRANO,atenciones odontologicas,endodoncias,2008-01-01,8,8
VILLA TUNARI,atenciones odontologicas,endodoncias,2008-01-01,53,53
VILLA VACA GUZMAN (MUYUPAMPA),atenciones odontologicas,endodoncias,2008-01-01,10,10
VILLAZON,atenciones odontologicas,endodoncias,2008-01-01,164,164
VINTO,atenciones odontologicas,endodoncias,2008-01-01,17,17
VITICHI,atenciones odontologicas,endodoncias,2008-01-01,2,2
WALDO BALLIVIAN,atenciones odontologicas,endodoncias,2008-01-01,2,2
WARNES,atenciones odontologicas,endodoncias,2008-01-01,17,17
YACUIBA,atenciones odontologicas,endodoncias,2008-01-01,104,104
YAMPARAEZ,atenciones odontologicas,endodoncias,2008-01-01,5,5
YANACACHI,atenciones odontologicas,endodoncias,2008-01-01,3,3
YAPACANI,atenciones odontologicas,endodoncias,2008-01-01,9,9
YUNCHARA,atenciones odontologicas,endodoncias,2008-01-01,11,11
ZUDAÑEZ,atenciones odontologicas,endodoncias,2008-01-01,1,1
ACHACACHI,atenciones odontologicas,endodoncias,2008-02-01,13,13
ACHOCALLA,atenciones odontologicas,endodoncias,2008-02-01,4,4
AIQUILE,atenciones odontologicas,endodoncias,2008-02-01,18,18
ANCORAIMES,atenciones odontologicas,endodoncias,2008-02-01,1,1
ANDAMARCA,atenciones odontologicas,endodoncias,2008-02-01,3,3
APOLO,atenciones odontologicas,endodoncias,2008-02-01,8,8
ASCENCION DE GUARAYOS,atenciones odontologicas,endodoncias,2008-02-01,2,2
ATOCHA,atenciones odontologicas,endodoncias,2008-02-01,56,56
AUCAPATA,atenciones odontologicas,endodoncias,2008-02-01,3,3
