municipality,group,variable,month,Consultas repetidas en menores de 5 años,TOTAL
ACHACACHI,atenciones odontologicas,consultas repetidas en menores de 5 anos,2008-01-01,9,9
AIQUILE,atenciones odontologicas,consultas repetidas en menores de 5 anos,2008-01-01,64,64
ALCALA,atenciones odontologicas,consultas repetidas en menores de 5 anos,2008-01-01,7,7
ANDAMARCA,atenciones odontologicas,consultas repetidas en menores de 5 anos,2008-01-01,25,25
ANTEQUERA,atenciones odontologicas,consultas repetidas en menores de 5 anos,2008-01-01,1,1
ARANI,atenciones odontologicas,consultas repetidas en menores de 5 anos,2008-01-01,12,12
ASCENCION DE GUARAYOS,atenciones odontologicas,consultas repetidas en menores de 5 anos,2008-01-01,6,6
ATOCHA,atenciones odontologicas,consultas repetidas en menores de 5 anos,2008-01-01,140,140
AYO AYO,atenciones odontologicas,consultas repetidas en menores de 5 anos,2008-01-01,4,4
AYOPAYA (V. DE INDEPENDENCIA),atenciones odontologicas,consultas repetidas en menores de 5 anos,2008-01-01,6,6
BERMEJO,atenciones odontologicas,consultas repetidas en menores de 5 anos,2008-01-01,26,26
BETANZOS,atenciones odontologicas,consultas repetidas en menores de 5 anos,2008-01-01,12,12
CABEZAS,atenciones odontologicas,consultas repetidas en menores de 5 anos,2008-01-01,56,56
"CAIZA ""D""",atenciones odontologicas,consultas repetidas en menores de 5 anos,2008-01-01,2,2
CALAMARCA,atenciones odontologicas,consultas repetidas en menores de 5 anos,2008-01-01,3,3
CAMARGO,atenciones odontologicas,consultas repetidas en menores de 5 anos,2008-01-01,29,29
CAMIRI,atenciones odontologicas,consultas repetidas en menores de 5 anos,2008-01-01,48,48
CAPINOTA,atenciones odontologicas,consultas repetidas en menores de 5 anos,2008-01-01,45,45
CARACOLLO,atenciones odontologicas,consultas repetidas en menores de 5 anos,2008-01-01,324,324
CARANAVI,atenciones odontologicas,consultas repetidas en menores de 5 anos,2008-01-01,5,5
CARAPARI,atenciones odontologicas,consultas repetidas en menores de 5 anos,2008-01-01,2,2
CARMEN RIVERO TORREZ,atenciones odontologicas,consultas repetidas en menores de 5 anos,2008-01-01,4,4
CHALLAPATA,atenciones odontologicas,consultas repetidas en menores de 5 anos,2008-01-01,8,8
CHARAGUA,atenciones odontologicas,consultas repetidas en menores de 5 anos,2008-01-01,71,71
CHAYANTA,atenciones odontologicas,consultas repetidas en menores de 5 anos,2008-01-01,16,16
CHIMORE,atenciones odontologicas,consultas repetidas en menores de 5 anos,2008-01-01,7,7
CHULUMANI (V. DE LA LIBERTAD),atenciones odontologicas,consultas repetidas en menores de 5 anos,2008-01-01,1,1
CHUMA,atenciones odontologicas,consultas repetidas en menores de 5 anos,2008-01-01,2,2
CLIZA,atenciones odontologicas,consultas repetidas en menores de 5 anos,2008-01-01,28,28
COBIJA,atenciones odontologicas,consultas repetidas en menores de 5 anos,2008-01-01,25,25
COCHABAMBA,atenciones odontologicas,consultas repetidas en menores de 5 anos,2008-01-01,1463,1463
COLCAPIRHUA,atenciones odontologicas,consultas repetidas en menores de 5 anos,2008-01-01,147,147
COLLANA,atenciones odontologicas,consultas repetidas en menores de 5 anos,2008-01-01,3,3
COLOMI,atenciones odontologicas,consultas repetidas en menores de 5 anos,2008-01-01,3,3
COLPA BELGICA,atenciones odontologicas,consultas repetidas en menores de 5 anos,2008-01-01,6,6
COLQUECHACA,atenciones odontologicas,consultas repetidas en menores de 5 anos,2008-01-01,36,36
COLQUENCHA,atenciones odontologicas,consultas repetidas en menores de 5 anos,2008-01-01,3,3
COLQUIRI,atenciones odontologicas,consultas repetidas en menores de 5 anos,2008-01-01,28,28
CONCEPCION,atenciones odontologicas,consultas repetidas en menores de 5 anos,2008-01-01,1,1
COPACABANA,atenciones odontologicas,consultas repetidas en menores de 5 anos,2008-01-01,3,3
CORIPATA,atenciones odontologicas,consultas repetidas en menores de 5 anos,2008-01-01,12,12
COROICO,atenciones odontologicas,consultas repetidas en menores de 5 anos,2008-01-01,4,4
CORQUE,atenciones odontologicas,consultas repetidas en menores de 5 anos,2008-01-01,4,4
COTOCA,atenciones odontologicas,consultas repetidas en menores de 5 anos,2008-01-01,6,6
CUATRO CAÑADAS,atenciones odontologicas,consultas repetidas en menores de 5 anos,2008-01-01,90,90
CUCHUMUELA (V. G. VILLARROEL),atenciones odontologicas,consultas repetidas en menores de 5 anos,2008-01-01,1,1
CUEVO,atenciones odontologicas,consultas repetidas en menores de 5 anos,2008-01-01,9,9
CULPINA,atenciones odontologicas,consultas repetidas en menores de 5 anos,2008-01-01,34,34
CURAHUARA DE CARANGAS,atenciones odontologicas,consultas repetidas en menores de 5 anos,2008-01-01,3,3
EL ALTO,atenciones odontologicas,consultas repetidas en menores de 5 anos,2008-01-01,873,873
EL PUENTE(TJA),atenciones odontologicas,consultas repetidas en menores de 5 anos,2008-01-01,1,1
EL TORNO,atenciones odontologicas,consultas repetidas en menores de 5 anos,2008-01-01,5,5
