municipality,group,variable,month,Acciones preventivas,TOTAL
ACACIO,atenciones odontologicas,acciones preventivas,2008-01-01,7,7
ACHACACHI,atenciones odontologicas,acciones preventivas,2008-01-01,37,37
ACHOCALLA,atenciones odontologicas,acciones preventivas,2008-01-01,70,70
AIQUILE,atenciones odontologicas,acciones preventivas,2008-01-01,27,27
ALCALA,atenciones odontologicas,acciones preventivas,2008-01-01,218,218
ANCORAIMES,atenciones odontologicas,acciones preventivas,2008-01-01,89,89
ANDAMARCA,atenciones odontologicas,acciones preventivas,2008-01-01,19,19
ANTEQUERA,atenciones odontologicas,acciones preventivas,2008-01-01,5,5
ANZALDO,atenciones odontologicas,acciones preventivas,2008-01-01,15,15
APOLO,atenciones odontologicas,acciones preventivas,2008-01-01,9,9
ARAMPAMPA,atenciones odontologicas,acciones preventivas,2008-01-01,13,13
ARANI,atenciones odontologicas,acciones preventivas,2008-01-01,66,66
ARBIETO,atenciones odontologicas,acciones preventivas,2008-01-01,3,3
ARQUE,atenciones odontologicas,acciones preventivas,2008-01-01,34,34
ASCENCION DE GUARAYOS,atenciones odontologicas,acciones preventivas,2008-01-01,30,30
ATOCHA,atenciones odontologicas,acciones preventivas,2008-01-01,92,92
AYATA,atenciones odontologicas,acciones preventivas,2008-01-01,3,3
AYO AYO,atenciones odontologicas,acciones preventivas,2008-01-01,44,44
AYOPAYA (V. DE INDEPENDENCIA),atenciones odontologicas,acciones preventivas,2008-01-01,42,42
BATALLAS,atenciones odontologicas,acciones preventivas,2008-01-01,56,56
BERMEJO,atenciones odontologicas,acciones preventivas,2008-01-01,117,117
BETANZOS,atenciones odontologicas,acciones preventivas,2008-01-01,56,56
BOLPEBRA,atenciones odontologicas,acciones preventivas,2008-01-01,49,49
BOYUIBE,atenciones odontologicas,acciones preventivas,2008-01-01,3,3
BUENA VISTA,atenciones odontologicas,acciones preventivas,2008-01-01,15,15
CABEZAS,atenciones odontologicas,acciones preventivas,2008-01-01,175,175
CAIROMA,atenciones odontologicas,acciones preventivas,2008-01-01,178,178
"CAIZA ""D""",atenciones odontologicas,acciones preventivas,2008-01-01,4,4
CAJUATA,atenciones odontologicas,acciones preventivas,2008-01-01,69,69
CALACOTO,atenciones odontologicas,acciones preventivas,2008-01-01,12,12
CALAMARCA,atenciones odontologicas,acciones preventivas,2008-01-01,21,21
CAMARGO,atenciones odontologicas,acciones preventivas,2008-01-01,67,67
CAMATAQUI (C. VILLA ABECIA),atenciones odontologicas,acciones preventivas,2008-01-01,35,35
CAMIRI,atenciones odontologicas,acciones preventivas,2008-01-01,777,777
CAPINOTA,atenciones odontologicas,acciones preventivas,2008-01-01,99,99
CAQUIAVIRI,atenciones odontologicas,acciones preventivas,2008-01-01,1,1
CARACOLLO,atenciones odontologicas,acciones preventivas,2008-01-01,99,99
CARANAVI,atenciones odontologicas,acciones preventivas,2008-01-01,160,160
CARAPARI,atenciones odontologicas,acciones preventivas,2008-01-01,42,42
CARIPUYO,atenciones odontologicas,acciones preventivas,2008-01-01,79,79
CARMEN RIVERO TORREZ,atenciones odontologicas,acciones preventivas,2008-01-01,36,36
CATACORA,atenciones odontologicas,acciones preventivas,2008-01-01,4,4
CHALLAPATA,atenciones odontologicas,acciones preventivas,2008-01-01,195,195
CHAQUI,atenciones odontologicas,acciones preventivas,2008-01-01,10,10
CHARAGUA,atenciones odontologicas,acciones preventivas,2008-01-01,49,49
CHAYANTA,atenciones odontologicas,acciones preventivas,2008-01-01,34,34
CHIMORE,atenciones odontologicas,acciones preventivas,2008-01-01,71,71
CHULUMANI (V. DE LA LIBERTAD),atenciones odontologicas,acciones preventivas,2008-01-01,111,111
CHUMA,atenciones odontologicas,acciones preventivas,2008-01-01,17,17
CLIZA,atenciones odontologicas,acciones preventivas,2008-01-01,100,100
COBIJA,atenciones odontologicas,acciones preventivas,2008-01-01,324,324
COCHABAMBA,atenciones odontologicas,acciones preventivas,2008-01-01,8045,8045
COLCAPIRHUA,atenciones odontologicas,acciones preventivas,2008-01-01,234,234
"COLCHA ""K""",atenciones odontologicas,acciones preventivas,2008-01-01,2,2
COLLANA,atenciones odontologicas,acciones preventivas,2008-01-01,1,1
COLOMI,atenciones odontologicas,acciones preventivas,2008-01-01,1,1
COLPA BELGICA,atenciones odontologicas,acciones preventivas,2008-01-01,165,165
COLQUECHACA,atenciones odontologicas,acciones preventivas,2008-01-01,11,11
COLQUENCHA,atenciones odontologicas,acciones preventivas,2008-01-01,1,1
COLQUIRI,atenciones odontologicas,acciones preventivas,2008-01-01,202,202
COMARAPA,atenciones odontologicas,acciones preventivas,2008-01-01,100,100
COMBAYA,atenciones odontologicas,acciones preventivas,2008-01-01,6,6
CONCEPCION,atenciones odontologicas,acciones preventivas,2008-01-01,12,12
COPACABANA,atenciones odontologicas,acciones preventivas,2008-01-01,6,6
CORIPATA,atenciones odontologicas,acciones preventivas,2008-01-01,11,11
CORO CORO,atenciones odontologicas,acciones preventivas,2008-01-01,2,2
COROICO,atenciones odontologicas,acciones preventivas,2008-01-01,46,46
CORQUE,atenciones odontologicas,acciones preventivas,2008-01-01,25,25
COTOCA,atenciones odontologicas,acciones preventivas,2008-01-01,57,57
CUCHUMUELA (V. G. VILLARROEL),atenciones odontologicas,acciones preventivas,2008-01-01,33,33
CUEVO,atenciones odontologicas,acciones preventivas,2008-01-01,16,16
CULPINA,atenciones odontologicas,acciones preventivas,2008-01-01,99,99
CURAHUARA DE CARANGAS,atenciones odontologicas,acciones preventivas,2008-01-01,75,75
DESAGUADERO,atenciones odontologicas,acciones preventivas,2008-01-01,1,1
EL ALTO,atenciones odontologicas,acciones preventivas,2008-01-01,2463,2463
EL PUENTE(STC),atenciones odontologicas,acciones preventivas,2008-01-01,4,4
EL PUENTE(TJA),atenciones odontologicas,acciones preventivas,2008-01-01,47,47
EL TORNO,atenciones odontologicas,acciones preventivas,2008-01-01,30,30
EL VILLAR,atenciones odontologicas,acciones preventivas,2008-01-01,45,45
ENTRE RIOS,atenciones odontologicas,acciones preventivas,2008-01-01,120,120
ENTRE RIOS,atenciones odontologicas,acciones preventivas,2008-01-01,32,32
EUCALIPTUS,atenciones odontologicas,acciones preventivas,2008-01-01,12,12
FILADELFIA,atenciones odontologicas,acciones preventivas,2008-01-01,2,2
GENERAL SAAVEDRA,atenciones odontologicas,acciones preventivas,2008-01-01,67,67
GRAL. J.J. PEREZ (CHARAZANI),atenciones odontologicas,acciones preventivas,2008-01-01,133,133
GUANAY,atenciones odontologicas,acciones preventivas,2008-01-01,10,10
GUAQUI,atenciones odontologicas,acciones preventivas,2008-01-01,10,10
GUAYARAMERIN,atenciones odontologicas,acciones preventivas,2008-01-01,66,66
GUTIERREZ,atenciones odontologicas,acciones preventivas,2008-01-01,106,106
HUACAYA (VILLA DE HUACAYA),atenciones odontologicas,acciones preventivas,2008-01-01,4,4
HUACHACALLA,atenciones odontologicas,acciones preventivas,2008-01-01,14,14
HUANUNI,atenciones odontologicas,acciones preventivas,2008-01-01,307,307
HUARACAJE,atenciones odontologicas,acciones preventivas,2008-01-01,40,40
HUAYLLAMARCA,atenciones odontologicas,acciones preventivas,2008-01-01,12,12
ICHOCA,atenciones odontologicas,acciones preventivas,2008-01-01,21,21
ICLA,atenciones odontologicas,acciones preventivas,2008-01-01,90,90
INCAHUASI,atenciones odontologicas,acciones preventivas,2008-01-01,55,55
INQUISIVI,atenciones odontologicas,acciones preventivas,2008-01-01,1,1
IRUPANA (VILLA DE LANZA),atenciones odontologicas,acciones preventivas,2008-01-01,18,18
IXIAMAS,atenciones odontologicas,acciones preventivas,2008-01-01,18,18
JESUS DE MACHACA,atenciones odontologicas,acciones preventivas,2008-01-01,9,9
LA ASUNTA,atenciones odontologicas,acciones preventivas,2008-01-01,16,16
LA GUARDIA,atenciones odontologicas,acciones preventivas,2008-01-01,34,34
LA PAZ,atenciones odontologicas,acciones preventivas,2008-01-01,4540,4540
LAGUNILLAS,atenciones odontologicas,acciones preventivas,2008-01-01,83,83
LAJA,atenciones odontologicas,acciones preventivas,2008-01-01,4,4
LLALLAGUA,atenciones odontologicas,acciones preventivas,2008-01-01,113,113
LLICA,atenciones odontologicas,acciones preventivas,2008-01-01,2,2
LURIBAY,atenciones odontologicas,acciones preventivas,2008-01-01,10,10
MACHACAMARCA,atenciones odontologicas,acciones preventivas,2008-01-01,131,131
MACHARETI,atenciones odontologicas,acciones preventivas,2008-01-01,104,104
MAGDALENA,atenciones odontologicas,acciones preventivas,2008-01-01,16,16
MAIRANA,atenciones odontologicas,acciones preventivas,2008-01-01,22,22
MAPIRI,atenciones odontologicas,acciones preventivas,2008-01-01,44,44
MECAPACA,atenciones odontologicas,acciones preventivas,2008-01-01,3,3
MINEROS,atenciones odontologicas,acciones preventivas,2008-01-01,30,30
MIZQUE,atenciones odontologicas,acciones preventivas,2008-01-01,107,107
MOCOMOCO,atenciones odontologicas,acciones preventivas,2008-01-01,4,4
MONTEAGUDO,atenciones odontologicas,acciones preventivas,2008-01-01,209,209
MONTERO,atenciones odontologicas,acciones preventivas,2008-01-01,157,157
MORO MORO,atenciones odontologicas,acciones preventivas,2008-01-01,11,11
MOROCHATA,atenciones odontologicas,acciones preventivas,2008-01-01,62,62
OKINAWA,atenciones odontologicas,acciones preventivas,2008-01-01,9,9
OMEREQUE,atenciones odontologicas,acciones preventivas,2008-01-01,23,23
ORURO,atenciones odontologicas,acciones preventivas,2008-01-01,2349,2349
PADCAYA,atenciones odontologicas,acciones preventivas,2008-01-01,18,18
PADILLA,atenciones odontologicas,acciones preventivas,2008-01-01,53,53
PAILON,atenciones odontologicas,acciones preventivas,2008-01-01,78,78
PALCA,atenciones odontologicas,acciones preventivas,2008-01-01,63,63
PALOS BLANCOS,atenciones odontologicas,acciones preventivas,2008-01-01,70,70
PAMPA AULLAGAS,atenciones odontologicas,acciones preventivas,2008-01-01,17,17
PAPEL PAMPA,atenciones odontologicas,acciones preventivas,2008-01-01,3,3
PASORAPA,atenciones odontologicas,acciones preventivas,2008-01-01,35,35
PATACAMAYA,atenciones odontologicas,acciones preventivas,2008-01-01,16,16
PAZÑA,atenciones odontologicas,acciones preventivas,2008-01-01,37,37
PELECHUCO,atenciones odontologicas,acciones preventivas,2008-01-01,4,4
POCOATA,atenciones odontologicas,acciones preventivas,2008-01-01,15,15
POCONA,atenciones odontologicas,acciones preventivas,2008-01-01,10,10
POJO (CBBA),atenciones odontologicas,acciones preventivas,2008-01-01,2,2
POOPO,atenciones odontologicas,acciones preventivas,2008-01-01,31,31
