municipality,group,variable,month,Actividades Odontológicas en la Comunidad,TOTAL
ACHACACHI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,32,32
ACHOCALLA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,2,2
ALCALA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,16,16
ANCORAIMES,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,10,10
ANDAMARCA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,1,1
ANZALDO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,50,50
ATOCHA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,1,1
AYO AYO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,2,2
BATALLAS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,2,2
BETANZOS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,7,7
CAIROMA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,36,36
CAJUATA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,4,4
CALACOTO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,1,1
CALAMARCA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,15,15
CAMATAQUI (C. VILLA ABECIA),atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,6,6
CARACOLLO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,10,10
CARANAVI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,8,8
CATACORA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,1,1
CHALLAPATA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,19,19
CHULUMANI (V. DE LA LIBERTAD),atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,4,4
CLIZA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,20,20
COCHABAMBA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,10,10
COLCAPIRHUA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,180,180
COLLANA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,1,1
COLOMI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,2,2
COTAGAITA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,3,3
CURAHUARA DE CARANGAS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,2,2
EL ALTO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,79,79
EL PUENTE(TJA),atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,7,7
ENTRE RIOS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,3,3
GENERAL SAAVEDRA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,17,17
GRAL. J.J. PEREZ (CHARAZANI),atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,88,88
GUANAY,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,12,12
GUAQUI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,4,4
GUAYARAMERIN,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,210,210
HUAYLLAMARCA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,3,3
ICHOCA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,9,9
INQUISIVI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-01-01,1,1
