municipality,group,variable,month,Exodoncias,TOTAL
ACACIO,atenciones odontologicas,exodoncias,2008-01-01,6,6
ACHACACHI,atenciones odontologicas,exodoncias,2008-01-01,182,182
ACHOCALLA,atenciones odontologicas,exodoncias,2008-01-01,62,62
AIQUILE,atenciones odontologicas,exodoncias,2008-01-01,26,26
ALCALA,atenciones odontologicas,exodoncias,2008-01-01,39,39
ANCORAIMES,atenciones odontologicas,exodoncias,2008-01-01,57,57
ANDAMARCA,atenciones odontologicas,exodoncias,2008-01-01,17,17
ANTEQUERA,atenciones odontologicas,exodoncias,2008-01-01,18,18
ANZALDO,atenciones odontologicas,exodoncias,2008-01-01,18,18
APOLO,atenciones odontologicas,exodoncias,2008-01-01,35,35
ARAMPAMPA,atenciones odontologicas,exodoncias,2008-01-01,4,4
ARANI,atenciones odontologicas,exodoncias,2008-01-01,26,26
ARBIETO,atenciones odontologicas,exodoncias,2008-01-01,2,2
ARQUE,atenciones odontologicas,exodoncias,2008-01-01,23,23
ASCENCION DE GUARAYOS,atenciones odontologicas,exodoncias,2008-01-01,42,42
ATOCHA,atenciones odontologicas,exodoncias,2008-01-01,150,150
AYATA,atenciones odontologicas,exodoncias,2008-01-01,35,35
AYO AYO,atenciones odontologicas,exodoncias,2008-01-01,35,35
AYOPAYA (V. DE INDEPENDENCIA),atenciones odontologicas,exodoncias,2008-01-01,63,63
BATALLAS,atenciones odontologicas,exodoncias,2008-01-01,90,90
BAURES,atenciones odontologicas,exodoncias,2008-01-01,43,43
BERMEJO,atenciones odontologicas,exodoncias,2008-01-01,278,278
BETANZOS,atenciones odontologicas,exodoncias,2008-01-01,95,95
BOLIVAR,atenciones odontologicas,exodoncias,2008-01-01,15,15
BOLPEBRA,atenciones odontologicas,exodoncias,2008-01-01,22,22
BOYUIBE,atenciones odontologicas,exodoncias,2008-01-01,33,33
BUENA VISTA,atenciones odontologicas,exodoncias,2008-01-01,35,35
CABEZAS,atenciones odontologicas,exodoncias,2008-01-01,59,59
CAIROMA,atenciones odontologicas,exodoncias,2008-01-01,133,133
