municipality,group,variable,month,Periodoncias,TOTAL
ACACIO,atenciones odontologicas,periodoncias,2008-01-01,5,5
ACHACACHI,atenciones odontologicas,periodoncias,2008-01-01,2,2
ACHOCALLA,atenciones odontologicas,periodoncias,2008-01-01,5,5
AIQUILE,atenciones odontologicas,periodoncias,2008-01-01,25,25
ALCALA,atenciones odontologicas,periodoncias,2008-01-01,203,203
ANCORAIMES,atenciones odontologicas,periodoncias,2008-01-01,34,34
ANZALDO,atenciones odontologicas,periodoncias,2008-01-01,14,14
ARAMPAMPA,atenciones odontologicas,periodoncias,2008-01-01,1,1
ARANI,atenciones odontologicas,periodoncias,2008-01-01,7,7
ARBIETO,atenciones odontologicas,periodoncias,2008-01-01,7,7
ASCENCION DE GUARAYOS,atenciones odontologicas,periodoncias,2008-01-01,27,27
ATOCHA,atenciones odontologicas,periodoncias,2008-01-01,20,20
BATALLAS,atenciones odontologicas,periodoncias,2008-01-01,1,1
BAURES,atenciones odontologicas,periodoncias,2008-01-01,7,7
BERMEJO,atenciones odontologicas,periodoncias,2008-01-01,19,19
BETANZOS,atenciones odontologicas,periodoncias,2008-01-01,13,13
BUENA VISTA,atenciones odontologicas,periodoncias,2008-01-01,1,1
CABEZAS,atenciones odontologicas,periodoncias,2008-01-01,23,23
CAIROMA,atenciones odontologicas,periodoncias,2008-01-01,2,2
CAJUATA,atenciones odontologicas,periodoncias,2008-01-01,2,2
CALAMARCA,atenciones odontologicas,periodoncias,2008-01-01,3,3
CAMARGO,atenciones odontologicas,periodoncias,2008-01-01,14,14
CAMATAQUI (C. VILLA ABECIA),atenciones odontologicas,periodoncias,2008-01-01,5,5
CAMIRI,atenciones odontologicas,periodoncias,2008-01-01,84,84
CAPINOTA,atenciones odontologicas,periodoncias,2008-01-01,31,31
CARACOLLO,atenciones odontologicas,periodoncias,2008-01-01,20,20
CARANAVI,atenciones odontologicas,periodoncias,2008-01-01,5,5
CARAPARI,atenciones odontologicas,periodoncias,2008-01-01,37,37
CARIPUYO,atenciones odontologicas,periodoncias,2008-01-01,1,1
CARMEN RIVERO TORREZ,atenciones odontologicas,periodoncias,2008-01-01,3,3
CATACORA,atenciones odontologicas,periodoncias,2008-01-01,2,2
CHALLAPATA,atenciones odontologicas,periodoncias,2008-01-01,10,10
CHAQUI,atenciones odontologicas,periodoncias,2008-01-01,5,5
CHARAGUA,atenciones odontologicas,periodoncias,2008-01-01,5,5
CHULUMANI (V. DE LA LIBERTAD),atenciones odontologicas,periodoncias,2008-01-01,4,4
CHUMA,atenciones odontologicas,periodoncias,2008-01-01,4,4
CLIZA,atenciones odontologicas,periodoncias,2008-01-01,27,27
COBIJA,atenciones odontologicas,periodoncias,2008-01-01,155,155
COCHABAMBA,atenciones odontologicas,periodoncias,2008-01-01,1074,1074
COLCAPIRHUA,atenciones odontologicas,periodoncias,2008-01-01,27,27
COLOMI,atenciones odontologicas,periodoncias,2008-01-01,7,7
COLPA BELGICA,atenciones odontologicas,periodoncias,2008-01-01,22,22
COMARAPA,atenciones odontologicas,periodoncias,2008-01-01,27,27
CONCEPCION,atenciones odontologicas,periodoncias,2008-01-01,4,4
CORO CORO,atenciones odontologicas,periodoncias,2008-01-01,1,1
COROICO,atenciones odontologicas,periodoncias,2008-01-01,15,15
CORQUE,atenciones odontologicas,periodoncias,2008-01-01,1,1
COTOCA,atenciones odontologicas,periodoncias,2008-01-01,2,2
CUCHUMUELA (V. G. VILLARROEL),atenciones odontologicas,periodoncias,2008-01-01,4,4
CUEVO,atenciones odontologicas,periodoncias,2008-01-01,1,1
EL ALTO,atenciones odontologicas,periodoncias,2008-01-01,449,449
EL PUENTE(STC),atenciones odontologicas,periodoncias,2008-01-01,3,3
EL PUENTE(TJA),atenciones odontologicas,periodoncias,2008-01-01,25,25
EL TORNO,atenciones odontologicas,periodoncias,2008-01-01,1,1
EL VILLAR,atenciones odontologicas,periodoncias,2008-01-01,8,8
ENTRE RIOS,atenciones odontologicas,periodoncias,2008-01-01,10,10
ENTRE RIOS,atenciones odontologicas,periodoncias,2008-01-01,10,10
EUCALIPTUS,atenciones odontologicas,periodoncias,2008-01-01,1,1
FERNANDEZ ALONSO,atenciones odontologicas,periodoncias,2008-01-01,11,11
FILADELFIA,atenciones odontologicas,periodoncias,2008-01-01,2,2
GENERAL SAAVEDRA,atenciones odontologicas,periodoncias,2008-01-01,11,11
GRAL. J.J. PEREZ (CHARAZANI),atenciones odontologicas,periodoncias,2008-01-01,13,13
GUANAY,atenciones odontologicas,periodoncias,2008-01-01,20,20
GUAQUI,atenciones odontologicas,periodoncias,2008-01-01,2,2
GUAYARAMERIN,atenciones odontologicas,periodoncias,2008-01-01,21,21
GUTIERREZ,atenciones odontologicas,periodoncias,2008-01-01,24,24
HUACARETA,atenciones odontologicas,periodoncias,2008-01-01,2,2
HUACHACALLA,atenciones odontologicas,periodoncias,2008-01-01,4,4
HUANUNI,atenciones odontologicas,periodoncias,2008-01-01,16,16
HUARACAJE,atenciones odontologicas,periodoncias,2008-01-01,35,35
ICLA,atenciones odontologicas,periodoncias,2008-01-01,6,6
INCAHUASI,atenciones odontologicas,periodoncias,2008-01-01,13,13
INQUISIVI,atenciones odontologicas,periodoncias,2008-01-01,1,1
IRUPANA (VILLA DE LANZA),atenciones odontologicas,periodoncias,2008-01-01,6,6
LA ASUNTA,atenciones odontologicas,periodoncias,2008-01-01,2,2
LA GUARDIA,atenciones odontologicas,periodoncias,2008-01-01,20,20
LA PAZ,atenciones odontologicas,periodoncias,2008-01-01,1234,1234
